ID,Gender,DOB,Lead_Creation_Date,City_Code,City_Category,Employer_Code,Employer_Category1,Employer_Category2,Monthly_Income,Customer_Existing_Primary_Bank_Code,Primary_Bank_Type,Contacted,Source,Source_Category,Existing_EMI,Loan_Amount,Loan_Period,Interest_Rate,EMI,Var1,Approved
APPW60398589604,Female,12/03/85,01/07/16,C10004,A,COM0022726,B,4,1200,B002,P,N,S133,C,0,,,,,0,0
APPX20851623713,Male,04/05/67,01/07/16,C10004,A,COM0002676,A,4,6000,B031,G,Y,S122,B,1700,30000,3,14.85,1038,10,0
APPY20728762828,Female,09/09/79,01/07/16,C10283,C,COM0031372,A,4,6000,B025,G,N,S134,B,1400,,,,,7,0
APPZ40374482932,Male,22/12/81,01/07/16,C10004,A,COM0005614,A,4,4900,B018,G,Y,S133,B,0,50000,3,,,10,0
APPA10368428015,Female,21/03/90,01/07/16,C10003,A,COM0004878,A,4,1680,B001,P,Y,S133,F,0,38000,5,,,2,0
APPC40661369203,Female,05/09/88,08/07/16,C10030,B,COM0000225,B,4,2824.8,B001,P,N,S133,B,442.4,,,,,0,0
APPD60169998314,Male,03/06/84,01/07/16,C10001,A,COM0002788,C,4,3200,B002,P,Y,S133,E,0,20000,5,16.75,494,10,0
APPE80499171433,Male,17/04/78,01/07/16,C10492,C,COM0009005,A,4,3200,B003,G,Y,S133,E,0,20000,3,16.75,711,7,0
APPF60827918546,Female,27/03/82,01/07/16,C10003,A,COM0003027,A,4,1200,B025,G,N,S122,B,0,,,,,0,0
APPH70914946713,Female,10/11/62,01/07/16,C10519,C,COM0036037,A,4,5000,B003,G,Y,S133,E,950.7,20000,2,,,7,0
APPI50999506822,Female,06/01/83,01/07/16,C10376,C,COM0001241,A,4,3950,B003,G,Y,S133,B,550,20000,4,16.5,572,7,0
APPL10781772115,Female,31/03/59,01/07/16,C10018,C,COM0050107,A,4,1800,B033,G,Y,S133,C,0,40000,5,20,1060,2,0
APPM10209351226,Female,28/06/97,01/07/16,C10140,C,COM0014582,A,4,3000,,,N,S159,B,0,,,,,0,0
APPN50870546331,Female,19/09/89,01/07/16,C10260,C,COM0008300,A,4,900,B001,P,N,S133,B,200,,,,,0,0
APPO20947523444,Male,09/10/91,01/07/16,C10004,A,COM0000029,B,3,1800,B001,P,Y,S133,B,0,11000,1,,,2,0
APPP80876282503,Male,27/06/66,01/07/16,C10140,C,COM0014582,A,4,3000,,,Y,S159,B,0,20000,5,24,575,7,0
APPQ90006078611,Male,19/07/76,01/07/16,C10004,A,COM0056321,B,4,3000,B002,P,Y,S123,B,0,30000,3,15.5,1047,7,0
APPR70185552738,Male,11/01/90,01/07/16,C10002,A,COM0000005,A,1,10000,B001,P,Y,S122,B,0,100000,5,,,10,0
APPS30325101843,Male,31/08/76,01/07/16,C10001,A,COM0000438,C,4,10050,B001,P,Y,S143,B,0,30000,2,14.85,1452,10,0
APPU60496535022,Male,10/03/90,01/07/16,C10001,A,COM0000833,B,4,5000,B005,P,Y,S133,E,0,30000,3,,,10,0
APPV20785952136,Female,30/08/87,01/07/16,C10005,A,COM0000265,B,4,1700,,,N,S133,B,0,,,,,0,0
APPX70088104309,Male,30/08/87,01/07/16,C10005,A,COM0000265,B,4,2000,,,Y,S133,B,0,10000,2,,,4,0
APPY80621206413,Female,01/09/85,01/07/16,C10013,B,COM0037020,A,4,1150,B003,G,N,S133,B,300,,,,,0,0
APPZ30226988548,Male,30/10/79,01/07/16,C10251,C,COM0052858,A,4,2500,B003,G,Y,S159,B,0,50000,5,15.75,1209,7,0
APPA90558181601,Male,03/03/75,01/07/16,C10434,C,COM0024193,B,4,4500,B003,G,Y,S133,B,1500,30000,3,20,1115,10,0
APPB70840045715,Female,20/08/83,01/07/16,C10005,A,COM0000210,A,4,8500,B007,G,N,S133,E,1060.8,,,,,10,0
APPC60656466823,Male,13/09/89,01/07/16,C10148,C,COM0030600,A,4,1579.5,B002,P,Y,S122,B,0,10000,5,,,2,0
APPD40162666949,Male,23/06/88,01/07/16,C10002,A,COM0000249,C,4,8000,B001,P,Y,S133,B,0,240000,5,13.99,5583,10,0
APPE50761821046,Male,13/10/87,01/07/16,C10039,B,COM0000056,A,1,4600,B003,G,Y,S134,B,0,50000,5,,,10,0
APPF20326232104,Male,30/08/92,01/07/16,C10027,A,COM0038430,C,4,2500,B004,P,Y,S156,B,0,20000,4,15.75,564,7,0
APPG10200623227,Male,07/10/93,01/07/16,C10009,B,COM0006342,B,4,2600,,,Y,S133,B,0,20000,4,19,598,10,0
APPH80882649347,Female,07/07/86,01/07/16,C10014,B,COM0040809,A,4,1500,,,Y,S127,B,0,10000,3,20,372,2,0
APPI50488508427,Male,21/11/85,01/07/16,C10003,A,COM0002209,A,4,8300,B014,P,Y,S133,C,0,116000,3,,,10,0
APPJ60678719543,Male,16/09/86,01/07/16,C10004,A,COM0000008,A,1,8000,B005,P,Y,S159,B,3000,100000,5,13.99,2326,10,0
APPK20164823615,Female,13/11/90,01/07/16,C10001,A,COM0057111,A,4,1100,B010,G,N,S133,B,220,,,,,0,0
APPL80898121725,Male,19/10/89,01/07/16,C10005,A,COM0032449,C,4,2475,B028,P,Y,S133,C,0,36000,5,32.5,1221,4,0
APPM80826263837,Female,27/11/82,01/07/16,C10021,B,COM0008332,A,4,5000,B003,G,N,S133,E,2700,,,,,0,0
APPN80754444901,Male,27/11/82,01/07/16,C10021,B,COM0008332,A,4,5000,B003,G,Y,S133,E,0,25000,2,15.5,1218,10,0
APPO50586032011,Male,08/11/86,01/07/16,C10001,A,COM0009400,A,4,1888.2,B003,G,Y,S159,B,0,20000,3,20,743,2,0
APPP90838484136,Female,30/04/91,01/07/16,C10001,A,COM0055473,B,4,1800,,,N,S133,B,600,,,,,0,0
APPQ60075625248,Male,04/06/78,01/07/16,C10007,A,COM0019397,C,4,1600,B006,P,Y,S133,B,0,10000,4,20,304,2,0
APPR80404068308,Male,30/01/89,01/07/16,C10004,A,COM0002011,B,4,2350,B003,G,Y,S122,B,0,10000,2,18.25,500,4,0
APPT50801948538,Female,07/06/87,01/07/16,C10011,B,COM0003829,A,4,1300,B016,G,N,S159,B,362.6,,,,,0,0
APPU30168964609,Female,21/11/86,01/07/16,C10005,A,COM0000147,B,4,2550,B011,P,N,S133,B,1028,,,,,0,0
APPV40395871718,Male,26/07/89,01/07/16,C10221,C,COM0044623,A,4,2500,B012,G,Y,S133,B,0,20000,3,15.75,701,7,0
APPX40236132943,Female,21/11/86,01/07/16,C10005,A,COM0000147,B,4,2530,B011,P,N,S133,B,1028,,,,,0,0
APPY20604404011,Male,09/04/93,01/07/16,C10003,A,COM0002294,B,4,2400,B003,G,Y,S133,C,0,28000,3,,,4,0
APPZ90595276125,Male,05/10/80,01/07/16,C10007,A,COM0029105,C,4,1850,B001,P,Y,S133,C,0,41000,5,20,1086,2,0
APPA50305475231,Male,11/01/90,01/07/16,C10001,A,COM0000005,A,1,10000,B001,P,Y,S122,B,0,30000,3,,,10,0
APPB40272977309,Male,16/01/72,01/07/16,C10004,A,COM0000657,C,4,4500,B005,P,Y,S133,C,0,74000,5,24,2129,10,0
APPC10917984411,Female,06/07/75,01/07/16,C10002,A,COM0048536,A,4,2480,B002,P,Y,S133,B,300,17000,3,20,632,4,0
APPD10731661543,Male,02/03/82,01/07/16,C10001,A,COM0011323,A,4,4300,B023,G,Y,S143,B,890.2,20000,3,,,10,1
APPF30910113718,Female,06/02/90,01/07/16,C10268,C,COM0000196,C,4,4800,B004,P,N,S133,B,2100,,,,,0,0
APPG90888946828,Male,13/12/89,01/07/16,C10167,C,COM0050687,A,4,1500,,,Y,S133,B,500,15000,5,20,397,2,0
APPI80657322044,Female,13/07/84,01/07/16,C10005,A,COM0008241,A,4,1500,B003,G,N,S133,B,150,,,,,0,0
APPJ10903445104,Female,06/02/90,01/07/16,C10268,C,COM0000196,C,4,4800,B004,P,N,S133,B,2100,,,,,0,0
APPK90640665214,Male,06/02/90,01/07/16,C10268,C,COM0000196,C,4,4800,B004,P,Y,S133,B,1168.7,45000,5,13.99,1047,7,0
APPM20187894439,Female,15/12/80,01/07/16,C10004,A,COM0056711,A,4,1500,B022,G,N,S133,B,250,,,,,0,0
APPN30457043548,Male,15/06/86,01/07/16,C10027,A,COM0000014,A,,3500,B005,P,Y,S133,B,0,50000,5,,,7,0
APPO80621959605,Female,05/04/92,01/07/16,C10001,A,COM0003897,B,4,2153.3,B001,P,N,S159,B,0,,,,,0,0
APPQ70469345829,Male,02/08/92,01/07/16,C10006,A,COM0029738,B,4,3500,B001,P,Y,S133,B,0,92000,5,,,10,0
APPR90078611938,Female,15/12/66,01/07/16,C10112,C,COM0024153,A,4,2400,B039,G,N,S127,B,0,,,,,4,0
APPS20423685046,Male,24/08/83,01/07/16,C10003,A,COM0048846,B,4,6000,B011,P,Y,S133,B,0,70000,5,14.85,1660,10,0
APPT20115904121,Female,19/01/95,01/07/16,C10017,B,COM0033914,B,4,800,B010,G,N,S159,C,0,,,,,0,0
APPU70048105233,Male,30/08/90,01/07/16,C10014,B,COM0001510,C,4,3000,B003,G,Y,S133,C,0,49000,5,16.75,1211,4,0
APPV90490424349,Male,03/12/87,01/07/16,C10103,C,COM0027809,A,4,3000,B001,P,Y,S133,B,4.8,20000,4,15.5,562,7,0
APPW70978579408,Male,21/03/83,01/07/16,C10001,A,COM0052257,A,4,3000,B020,G,Y,S143,F,0,45000,5,24,1295,4,0
APPX60060678519,Female,11/10/64,01/07/16,C10006,A,COM0056133,A,4,4000,B012,G,Y,S133,F,0,64000,5,,,4,0
APPY20402447628,Male,14/01/73,01/07/16,C10091,B,COM0000925,C,4,3500,B001,P,Y,S151,B,0,92000,5,,,7,0
APPZ30694917731,Male,16/10/83,01/07/16,C10002,A,COM0036598,A,4,21000,B004,P,Y,S122,B,619.6,20000,3,,,10,0
APPA10423722802,Female,03/06/83,01/07/16,C10004,A,COM0018364,A,4,3000,B003,G,N,S133,E,0,,,,,7,0
APPB10354405921,Male,08/06/93,01/07/16,C10019,B,COM0000011,A,1,2000,B003,G,Y,S133,F,0,29000,5,16.75,717,4,0
APPC50368689037,Male,13/12/75,01/07/16,C10006,A,COM0033955,A,4,20000,,,Y,S133,E,600,20000,5,15.5,481,10,0
APPD30129963147,Female,02/04/95,01/07/16,C10094,C,COM0034666,A,4,1000,B003,G,N,S133,B,500,,,,,0,0
APPE90232723213,Male,25/01/88,01/07/16,C10007,A,COM0006831,C,4,4800,B016,G,Y,S133,C,0,59000,3,,,7,0
APPF10724337326,Female,02/04/95,01/07/16,C10094,C,COM0024682,A,4,2000,B003,G,Y,S133,B,500,26000,5,20,689,4,0
APPG60013275436,Female,05/07/67,01/07/16,C10060,C,COM0000011,A,1,4000,B003,G,N,S143,B,1700,,,,,0,0
APPH70347598544,Male,21/01/84,01/07/16,C10001,A,COM0002854,A,4,5000,B001,P,Y,S123,B,0,100000,5,,,10,0
APPI70144406604,Female,17/02/91,01/07/16,C10003,A,COM0000123,C,3,1800,B009,G,N,S133,E,0,,,,,2,0
APPJ60753287728,Male,13/12/75,01/07/16,C10006,A,COM0033973,C,4,19850,,,Y,S122,E,600,20000,5,15.5,481,10,0
APPL50999089944,Female,30/12/86,01/07/16,C10013,B,COM0033349,A,4,3300,B004,P,Y,S143,C,0,51000,5,24,1467,10,0
APPM10994445001,Female,06/07/61,01/07/16,C10002,A,COM0000729,C,4,2100,B047,P,Y,S159,C,0,33000,5,15.75,798,4,0
APPO20716263239,Male,20/06/92,01/07/16,C10003,A,COM0002811,B,4,3000,B006,P,Y,S122,B,0,30000,3,16.75,1066,7,0
APPP80872603349,Female,16/08/92,01/07/16,C10001,A,COM0000300,A,4,1400,B001,P,N,S122,B,0,,,,,0,0
APPQ50836231419,Female,09/01/91,01/07/16,C10006,A,COM0024783,A,4,5000,B004,P,N,S122,B,0,,,,,10,0
APPR40132419544,Male,04/08/83,01/07/16,C10033,C,COM0002032,C,4,3600,B002,P,Y,S159,C,0,63000,5,23.5,1794,7,0
APPS60177124629,Male,20/01/81,01/07/16,C10020,A,COM0056045,B,4,4150,B004,P,Y,S133,F,0,68000,5,14.85,1612,7,0
APPT70168438747,Male,10/06/86,01/07/16,C10005,A,COM0000007,C,1,1900,B002,P,Y,S133,B,0,30000,3,13.49,1018,2,0
APPU70338598807,Female,31/05/90,01/07/16,C10130,C,COM0017038,B,4,2400,B009,G,N,S133,B,0,,,,,4,0
APPV70538889918,Male,07/01/85,01/07/16,C10021,B,COM0056542,B,4,2100,B012,G,Y,S133,E,600,24000,5,,,4,0
APPW50316184031,Female,30/05/78,01/07/16,C10001,A,COM0000972,A,4,1500,B003,G,N,S122,B,0,,,,,0,0
APPX20457208148,Male,12/05/89,01/07/16,C10013,B,COM0038664,A,4,3500,B039,G,Y,S151,B,0,50000,5,14.85,1186,10,0
APPY70529177201,Male,19/04/76,01/07/16,C10015,C,COM0023700,A,4,6500,B001,P,Y,S134,C,0,112000,5,23.5,3190,7,0
APPZ20073517315,Male,20/04/95,01/07/16,C10006,A,COM0047389,A,4,2050,B007,G,Y,S133,C,0,30000,5,20,795,4,0
APPA50324041433,Male,29/08/76,01/07/16,C10040,C,COM0000324,C,4,2500,B003,G,Y,S133,C,0,47000,5,,,7,0
APPB40237575507,Male,18/02/88,01/07/16,C10003,A,COM0000002,C,1,5000,B002,P,Y,S122,F,0,88000,5,,,10,0
APPC30549209627,Male,10/09/80,01/07/16,C10003,A,COM0040593,C,4,1950,B011,P,Y,S159,C,0,44000,5,,,2,0
APPD40158151749,Female,08/08/89,01/07/16,C10003,A,COM0000019,A,1,2800,,,Y,S133,E,0,15000,2,19,756,7,0
APPE10572961812,Female,11/10/93,01/07/16,C10263,C,COM0038059,C,4,500,,,N,S159,B,450,,,,,0,0
APPF30995018933,Female,23/12/79,01/07/16,C10002,A,COM0000027,B,2,10600,B001,P,N,S133,B,4400,,,,,0,0
APPI50733559201,Male,23/01/90,01/07/16,C10023,B,COM0000019,A,1,4000,B003,G,Y,S133,C,0,64000,5,16.5,1573,4,0
APPJ20521672338,Male,22/10/91,01/07/16,C10008,A,COM0004399,C,4,1900,B002,P,Y,S133,C,0,44000,5,15,1047,2,0
APPL30816748513,Female,15/02/89,01/07/16,C10003,A,COM0017259,B,4,1820,B002,P,N,S122,B,0,,,,,2,0
APPM30460849621,Male,25/01/89,01/07/16,C10010,A,COM0002283,B,4,1900,B004,P,Y,S133,C,0,43000,5,20,1139,2,0
APPN30304616702,Male,19/11/90,01/07/16,C10033,C,COM0006028,B,4,3250,B003,G,Y,S134,B,0,20000,3,15.75,701,7,0
APPO20115105823,Male,26/05/71,01/07/16,C10251,C,COM0001357,C,4,4500,B001,P,Y,S159,B,1554.6,60000,5,,,7,0
APPP40053208944,Female,21/05/96,01/07/16,C10006,A,COM0000015,C,3,1350,B001,P,N,S133,B,800,,,,,0,0
