customer,gender,married,income,first_purchase,sow,clv,loyalty
190,0,0,3,146.73,80,2077.51,1
191,0,0,2,83.03,37,205.89,0
192,0,0,1,157.88,47,1160.56,1
193,1,0,1,156.34,32,580.96,1
194,1,1,2,101.33,60,1886.7,1
195,1,0,2,136.36,25,353.17,1
196,0,1,5,72.76,42,850.34,1
197,1,0,6,176.14,99,2969.39,1
198,0,1,4,194.5,99,2327.15,1
199,0,0,3,129.19,61,1769.6,0
200,1,1,2,131.37,34,990.5,1
201,0,0,3,78.32,66,1274.02,0
202,1,0,6,146.03,100,2125.49,1
203,0,1,6,119.77,100,2229.54,0
204,0,0,5,98.79,60,1323.18,1
205,1,0,4,85.85,28,487.31,1
206,1,1,4,199.94,74,1780.93,1
207,1,0,2,173.31,16,160.52,1
208,1,0,5,54.26,77,1452.18,1
209,0,0,2,165.02,99,2221.63,1
210,1,0,5,104.29,45,969.38,1
211,1,0,2,57.75,16,143.82,0
212,0,0,4,206.34,100,3562.45,1
213,1,0,1,176.53,86,1669.2,1
214,1,0,3,122.77,71,1329.62,1
215,1,0,2,118.47,39,862.01,1
216,1,0,1,62.15,8,391.83,1
217,0,1,4,123.18,72,1579.45,1
218,1,0,3,150.2,46,548.99,1
219,0,1,5,96.13,44,513.91,0
220,1,1,3,119.02,17,292.84,1
221,0,0,5,56,44,883.34,1
222,1,0,5,156.46,38,949.87,0
223,0,1,2,155.59,27,268.75,1
224,0,0,5,164.87,100,2586.72,1
225,1,0,3,141.23,62,849.74,1
226,1,0,4,147.52,100,2430.24,0
227,0,0,5,144.96,87,2062.82,1
228,0,0,4,95.24,42,206.32,1
229,0,0,1,109.88,1,17.47,1
230,1,1,3,81.24,31,369.52,1
231,1,0,6,170.62,96,2004.46,0
232,1,1,2,78.59,22,438.57,1
233,1,0,5,125.52,35,603.93,1
234,0,0,5,114.72,10,544.68,0
235,0,0,4,171.77,36,355.54,1
236,0,0,5,174.37,30,407.74,0
237,0,0,3,31.14,67,1256.04,1
238,1,1,4,99.97,89,2200.44,1
239,0,0,4,177.97,42,650.84,1
240,0,0,3,168.28,62,1261.23,0
241,1,0,1,182.52,19,578.99,0
242,1,0,3,154.14,19,164.33,1
243,0,0,2,68.74,9,-8.52,1
244,0,0,4,89.32,77,1932.03,1
245,0,0,2,140.27,46,1028.55,1
246,1,0,3,123.04,15,228,1
247,0,1,1,203.66,32,449.63,1
248,0,1,3,191.82,41,815.13,1
249,0,0,3,101.2,57,1206.76,1
250,0,0,2,85.61,71,1593.38,1
251,0,0,2,171.21,55,1457.12,0
252,0,0,2,110.54,69,1279.11,1
253,1,0,2,130.79,29,146.9,1
254,1,0,4,172.23,100,2415.64,1
255,1,1,5,198.86,64,1475.91,0
256,1,1,4,156.49,23,305.48,1
257,1,1,3,155.05,46,956.56,1
258,1,1,4,194.6,63,1665.61,1
259,1,0,4,105.69,33,537.22,0
260,0,0,3,68.88,21,-80.84,0
261,0,0,4,105.37,36,1067.43,1
262,0,0,3,66.65,26,322.53,1
263,1,0,4,106.37,46,1200.86,0
264,0,0,5,105.21,95,2282.16,1
265,1,1,3,125.77,56,953.26,1
266,1,0,5,56.36,61,799.79,1
267,1,0,5,158.89,55,746.89,1
268,1,0,4,53.04,94,1477.08,1
269,0,1,5,138.48,100,2389.05,1
270,0,0,5,43.11,90,2190.75,1
271,1,1,3,166.59,86,2071.07,0
272,0,0,4,104.63,8,238.2,0
273,0,0,3,111.94,67,1398.91,1
274,1,0,5,102.62,86,2280.86,1
275,0,1,1,25.45,14,159.12,1
276,1,0,4,127.09,89,2289.38,1
277,1,1,6,29.23,100,2855.14,1
278,1,1,2,101.77,32,292.47,1
279,0,1,2,79.3,44,668.94,1
280,0,1,2,62.79,89,1504.51,1
281,1,0,3,206.89,57,1351.68,1
282,0,0,3,138.93,78,1482.57,1
283,0,1,1,103,35,235.34,0
284,0,1,3,125.76,35,292.96,1
285,0,1,3,56.15,19,50.06,1
286,0,0,4,96.98,58,616.38,1
287,0,0,4,108.35,73,1941.08,0
288,0,0,3,71,32,432.28,0
289,0,0,4,82.25,40,591.5,1
290,1,0,3,172.05,74,1417.67,1
291,1,0,4,52.46,73,1835.32,1
292,0,0,1,161.2,60,1122.81,1
293,1,1,3,169.74,42,345.17,1
294,0,1,2,202.68,37,536.6,1
295,1,0,4,204.01,65,1495.75,1
296,1,1,6,141.04,47,395.55,0
297,1,0,4,173.06,82,2417.36,1
298,0,0,2,167.17,54,1048.92,1
299,1,0,5,77.61,76,900.2,1
300,0,0,1,83.22,30,558.63,1
301,1,1,2,120.23,24,237.85,1
302,0,0,4,94.35,15,135.39,0
303,1,0,2,189.02,29,242.32,1
304,1,0,6,41.86,38,636.74,1
305,1,0,2,105.39,1,148.66,1
306,0,1,4,155.08,43,645.37,1
307,1,0,5,110.59,93,1538.49,1
308,1,1,3,89.53,46,963.02,0
309,0,0,4,76.68,34,617.8,0
310,1,0,3,154.33,30,683.95,1
311,1,0,4,141.29,57,1185.65,0
312,1,1,5,171.77,30,575.31,1
313,1,0,1,82.6,24,608.41,0
314,0,0,5,130.32,58,1252.81,1
315,0,0,4,126.14,46,546.03,0
316,1,0,4,141.02,68,2247.36,1
317,0,0,6,131.36,10,145.25,1
318,0,0,2,67.31,13,490.12,0
319,0,0,5,86.81,50,1254.84,1
320,0,0,3,139.59,36,817.39,1
321,0,0,2,46.98,30,339.9,1
322,1,0,5,164.89,38,307.37,0
323,1,0,4,63.58,93,1560.06,1
324,1,0,2,186.24,22,700.8,1
325,1,0,5,211.83,100,2610.61,1
326,0,0,3,125.24,11,258.61,1
327,0,0,3,113.7,37,218.75,1
328,1,0,5,166.84,100,2477.44,1
329,1,0,3,142.23,100,2613.46,0
330,1,0,5,53.21,76,2058.32,1
331,1,0,3,107.47,100,2349.25,0
332,0,0,4,88.86,44,630.95,1
333,0,0,5,55.08,89,2179.69,0
334,0,0,6,171.22,100,3014.43,0
335,1,1,3,94.19,11,256.41,1
336,1,1,5,198.09,96,1984.78,0
337,0,0,3,194.63,17,579.42,1
338,0,1,3,41.51,1,31.49,0
339,0,0,5,142.62,39,893.56,0
340,0,1,3,180.82,24,325.12,1
341,1,0,2,93.19,9,105.84,1
342,0,0,2,127.33,38,362.37,1
343,1,0,1,166.83,27,260,1
344,1,0,4,198.08,100,2502.74,1
345,0,1,2,53.87,11,702.86,1
346,1,0,5,88.54,96,2436.58,0
347,1,0,2,106.51,17,267.15,0
348,0,1,4,156.27,96,2411.24,1
349,1,0,2,160.37,94,2322.73,1
350,0,1,2,157.78,100,2245.56,1
351,1,0,5,187.67,100,2515.56,1
352,0,1,5,164.63,45,630.15,0
353,1,0,4,64.79,33,212.92,0
354,1,0,1,77.06,17,335.73,0
355,0,0,5,71.17,40,502.24,0
356,1,0,4,96.37,9,177.94,1
357,0,0,4,144.06,100,2436.61,1
358,0,0,3,182,23,356.67,0
359,0,0,2,111.33,45,971.11,1
360,0,0,2,225.77,67,1469.88,1
361,1,0,3,143.16,76,1204.77,1
362,1,1,4,158.18,100,2574.35,1
363,0,1,2,65.2,6,280.97,1
364,0,0,6,189.15,70,1725.02,0
365,1,0,5,91.58,22,786.3,0
366,0,0,5,136.59,100,2587.59,1
367,1,0,2,29.52,1,-14.72,0
368,0,0,4,218.84,52,1022.77,1
369,0,0,5,185.97,33,286.6,1
370,1,1,3,97.62,26,539.63,0
371,1,1,5,87.56,56,893.55,1
372,1,0,6,157.46,100,3015.62,0
373,1,1,5,72.08,90,2229.67,0
374,1,0,4,127.03,23,426.09,0
375,1,0,4,130.31,66,1472.5,1
376,0,0,4,172.35,71,1364.2,1
377,0,0,3,153.8,14,128.75,0
378,1,0,5,137.36,76,1843.99,1
379,0,0,2,129.96,58,1166.72,1
380,0,1,3,90.19,79,1720.83,1
381,1,0,2,117.19,28,452.22,0
382,0,0,2,153.47,32,613.04,1
383,1,0,3,72.66,98,2010.5,1
384,0,0,5,199.68,51,990.99,1
385,0,0,6,133.21,50,801.02,1
386,0,0,2,137.76,9,311.62,0
387,1,0,5,193.71,94,3101.48,1
388,1,1,3,210.45,100,2351.29,1
389,1,0,3,55.12,68,1415.07,1
390,0,0,4,137.66,71,1259.99,1
391,0,0,2,131.67,33,1015.39,1
392,0,0,4,181.65,100,2228.62,1
393,1,0,1,110.66,18,156.59,1
394,1,0,6,100.8,96,1808.53,0
395,0,0,3,114.37,71,1608.19,1
396,1,1,5,64.86,40,722.74,1
397,0,0,3,179.11,36,207.08,1
398,0,1,3,54.21,42,512.79,1
399,1,1,2,164.24,63,1725.8,1
400,1,0,2,95.97,51,258.14,1
401,0,1,3,63.69,59,1253.1,1
402,0,0,4,218.94,100,2905.17,0
403,1,1,1,167.15,25,643.15,0
404,0,0,6,198.8,82,2778.68,1
405,0,0,3,130.35,19,330.94,1
406,0,1,5,119.36,56,1305.02,0
407,1,0,3,73.08,42,769.4,0
408,1,0,6,69.39,100,2417.24,1
409,1,0,3,162.7,50,593.92,1
410,0,0,5,159.9,23,408.54,0
411,0,0,6,122.06,86,2207.75,0
412,0,1,3,106.49,53,1214.93,1
413,0,0,4,165.47,78,1831.54,0
414,0,1,2,127.21,13,165.27,0
415,0,0,3,191.03,93,2167.81,1
416,1,0,6,105.66,44,403.65,0
417,1,0,4,66.65,57,1594.7,0
418,1,0,2,164.89,7,309.16,1
419,0,0,2,169.9,45,425.79,1
420,0,0,5,107.83,33,223.14,1
421,1,1,4,170.9,43,575.1,0
422,0,0,5,34.71,53,808.79,1
423,0,0,2,173.79,75,1799.38,1
424,1,0,3,190.03,73,1365.45,1
425,1,0,2,106.07,35,317.13,1
426,0,1,2,170.61,32,430.76,1
427,1,0,4,38.64,20,505.48,1
428,0,0,3,76.28,18,410.46,0
429,1,0,3,139.65,35,591.43,1
430,1,0,4,162.41,30,475.45,0
431,1,0,1,123.58,50,899.83,0
432,1,0,1,150.12,22,494.08,1
433,1,1,1,134.56,30,310.65,1
434,1,0,3,134.54,38,292.26,1
435,1,0,5,170.92,100,3201.42,1
436,1,1,4,168.33,91,2563.05,1
437,0,0,2,95.26,56,1372.15,1
438,0,0,2,58.97,44,994.4,1
439,0,0,6,59.85,79,1898.89,1
440,0,0,6,175.11,30,256.91,0
441,1,0,1,108.3,39,424.81,1
442,0,0,4,172.63,46,1414.72,1
443,1,0,3,24.66,34,218.7,1
444,1,0,4,134.08,39,267.16,0
445,1,0,6,179.5,38,1041.25,1
446,0,1,1,51.31,31,356.72,1
447,0,1,4,187.53,100,2587.82,0
448,0,0,1,160.29,30,418.46,1
449,1,0,1,87.49,20,188.64,0
450,1,0,3,136.71,100,2275.37,1
451,0,0,5,101.21,57,638.68,0
452,1,0,4,126.65,100,2386.86,1
453,0,0,1,81.56,48,888.15,0
454,1,1,5,174.05,100,2264.46,0
455,1,0,5,191.98,100,2910.35,0
456,1,1,2,177.97,45,712.05,1
457,1,0,5,120.04,37,630.55,1
458,1,1,6,144.42,84,2295.97,1
459,0,1,4,91.93,1,178.95,1
460,1,0,1,223.27,10,544.79,1
461,1,1,6,165.57,69,1464.4,1
462,0,0,1,110.36,14,742.6,0
463,1,1,3,64.19,33,591.72,1
464,1,0,6,211.27,31,343.97,0
465,0,0,1,126.31,12,168.55,0
466,0,1,6,54.19,99,2301.65,1
467,1,0,2,146.13,42,670.43,0
468,1,0,2,151.88,69,1144.35,1
469,1,0,6,129.72,100,2944.97,1
470,0,0,2,79.18,17,135.85,1
471,0,0,1,156.93,36,263.12,1
472,0,0,4,111.74,32,314.34,1
473,1,0,2,125.31,30,381.4,1
474,0,0,4,112.24,18,274.1,1
475,1,0,2,185.05,23,529.43,0
476,1,0,3,130.31,95,2362.75,1
477,0,0,5,77.21,100,2445.44,1
478,0,0,6,49.46,52,912.69,1
479,0,0,6,19.17,41,71.14,1
480,0,0,5,27.55,22,-27.35,1
481,0,0,4,184.89,61,1277.83,0
482,0,1,5,98.01,59,1673.05,0
483,1,0,1,78.28,9,-40.55,1
484,1,0,2,157.34,100,2286.87,1
485,0,1,6,105.28,99,2327.86,1
486,1,1,1,166.58,31,302.92,1
487,0,0,4,136.54,22,601.42,1
488,1,1,4,111.76,53,1156.55,0
489,0,0,3,190.47,42,1029.71,0
490,0,0,5,94.14,45,934.52,1
491,0,0,6,134.09,100,2940.89,1
492,1,0,5,70.49,39,304.4,1
493,1,0,2,75,23,765.96,0
494,1,1,1,33.13,32,355.79,0
495,0,1,6,91.68,100,2532.05,1
496,0,0,1,63.97,1,-0.14,1
497,1,0,6,187.35,100,2793.27,1
498,1,0,4,133.81,61,723.11,1
499,0,0,1,87.41,7,208.86,1
500,0,1,3,138.03,18,567.62,1
