customer,duration,avg_ret_exp,avg_ret_exp_sq,industry,revenue,employees,total_crossbuy,total_freq,total_freq_sq,censor
80,730,36.92,1363.0864,1,41.65,71,5,4,16,1
81,539,77.5,6006.25,1,40.17,918,5,12,144,0
82,730,11.52,132.7104,1,35.54,995,2,14,196,1
83,600,69.74,4863.6676,1,20.91,841,4,18,324,0
84,730,0.02,4.00E-04,0,35.69,207,3,11,121,1
85,470,99.63,9926.1369,1,40.08,1172,4,18,324,0
86,730,5.3,28.09,1,35.66,1397,4,6,36,1
87,730,14.51,210.5401,1,61.76,1377,3,7,49,1
88,640,68.99,4759.6201,1,41.23,682,4,20,400,0
89,449,70.27,4937.8729,1,30.77,1184,1,20,400,0
90,584,29.61,876.7521,0,41.6,142,1,18,324,0
91,730,28.87,833.4769,1,59.63,972,1,6,36,1
92,730,71.47,5107.9609,1,38.57,1597,6,17,289,1
93,730,10.25,105.0625,0,43.12,842,4,4,16,1
94,730,27.45,753.5025,0,69.95,723,4,19,361,1
95,730,74.17,5501.1889,1,50.1,1238,4,17,289,1
96,730,49.17,2417.6889,1,41.6,1351,1,18,324,1
97,569,61,3721,1,66.19,1033,2,4,16,0
98,730,0.34,0.1156,0,55.72,1056,2,17,289,1
99,730,6.38,40.7044,1,67.4,270,4,11,121,1
100,226,97.82,9568.7524,1,48.54,125,4,16,256,0
101,730,22.76,518.0176,0,51.07,237,5,17,289,1
102,730,24.16,583.7056,0,30.67,321,6,6,36,1
103,590,80.58,6493.1364,0,49.6,1078,5,18,324,0
104,618,74.38,5532.3844,1,40.99,1502,3,15,225,0
105,730,13.62,185.5044,0,36.45,1321,5,13,169,1
106,610,13.43,180.3649,1,36.82,283,2,13,169,0
107,162,106.28,11295.4384,1,44.65,253,4,9,81,0
108,548,87.5,7656.25,0,24.62,338,6,14,196,0
109,634,17.94,321.8436,1,53.87,284,3,14,196,0
110,730,5.27,27.7729,1,68.73,572,4,5,25,1
111,730,50.82,2582.6724,1,45.19,1769,4,16,256,1
112,730,74.24,5511.5776,1,55.88,1566,5,3,9,1
113,714,65.58,4300.7364,1,43.65,424,6,5,25,0
114,730,31.25,976.5625,0,52.39,736,3,19,361,1
115,730,22.41,502.2081,1,40.68,1121,2,10,100,1
116,730,26.71,713.4241,1,45.32,291,5,20,400,1
117,495,63.58,4042.4164,0,33.7,327,4,9,81,0
118,730,0.54,0.2916,1,36.55,1391,3,20,400,1
119,616,60.57,3668.7249,1,50.74,149,4,9,81,0
120,730,43.22,1867.9684,0,30.11,1802,2,11,121,1
121,538,14.58,212.5764,1,26.68,115,3,5,25,0
122,506,44.71,1998.9841,1,32.05,243,2,8,64,0
123,298,91.83,8432.7489,0,57.46,158,3,3,9,0
124,730,0.1,0.01,1,29.95,1707,4,6,36,1
125,730,23.59,556.4881,1,69.99,209,5,14,196,1
126,730,28.82,830.5924,1,37.8,769,2,19,361,1
127,267,112.5,12656.25,0,58.12,1354,4,9,81,0
128,730,18.18,330.5124,1,39.76,503,5,9,81,1
129,730,2.57,6.6049,0,57.12,1689,1,14,196,1
130,697,12.09,146.1681,1,61.21,1028,1,19,361,0
131,730,41.87,1753.0969,0,69.97,38,3,3,9,1
132,688,14.64,214.3296,1,50.89,167,2,21,441,0
133,538,78.82,6212.5924,0,53.56,1238,3,12,144,0
134,730,1.87,3.4969,1,26.94,878,6,18,324,1
135,611,74.98,5622.0004,1,30.74,776,5,10,100,0
136,710,10.22,104.4484,0,44.21,377,3,9,81,0
137,628,4.22,17.8084,1,46.82,538,1,17,289,0
138,532,41.59,1729.7281,1,48.15,134,3,8,64,0
139,730,11.08,122.7664,1,26.5,590,5,6,36,1
140,730,37.97,1441.7209,0,43.44,1422,5,11,121,1
141,730,22.88,523.4944,0,5.9,625,6,13,169,1
142,730,18.75,351.5625,1,33.21,855,6,15,225,1
143,730,13.71,187.9641,0,43.35,1459,4,2,4,1
144,609,60.4,3648.16,1,18.54,164,4,16,256,0
145,551,64.21,4122.9241,1,60.67,165,2,16,256,0
146,223,100.5,10100.25,1,48.52,731,3,17,289,0
147,692,35.91,1289.5281,0,57.92,1020,2,2,4,0
148,730,10.6,112.36,1,45.67,1320,5,5,25,1
149,730,35.73,1276.6329,1,28.03,242,5,16,256,1
150,730,9.99,99.8001,1,59.11,201,4,4,16,1
151,730,52.54,2760.4516,1,57.13,1309,5,6,36,1
152,730,44.33,1965.1489,0,63.64,344,4,4,16,1
153,639,12.79,163.5841,1,14.13,204,3,8,64,0
154,730,20.09,403.6081,1,57.48,370,3,16,256,1
155,686,0.37,0.1369,1,51.62,368,2,4,16,0
156,730,19.27,371.3329,1,26.73,303,6,19,361,1
157,730,61.09,3731.9881,0,44.54,1742,4,8,64,1
158,730,1.91,3.6481,0,43.08,1543,4,21,441,1
159,730,28.99,840.4201,0,43.95,398,3,21,441,1
160,420,66.77,4458.2329,1,52.55,266,3,3,9,0
161,730,48.71,2372.6641,0,52.18,761,2,21,441,1
162,730,17.29,298.9441,0,47,875,6,9,81,1
163,296,71.79,5153.8041,0,39.83,219,2,3,9,0
164,730,42.18,1779.1524,1,31.94,532,3,5,25,1
165,730,7.83,61.3089,1,41.93,1454,3,17,289,1
166,730,3.23,10.4329,1,14.79,929,2,3,9,1
167,730,8.71,75.8641,0,40.78,910,4,10,100,1
168,698,17.42,303.4564,1,42.08,248,5,7,49,0
169,730,2.3,5.29,0,34.95,1051,5,13,169,1
170,730,21.28,452.8384,0,50.95,896,1,6,36,1
171,696,35.46,1257.4116,1,47.61,706,1,5,25,0
172,730,14.62,213.7444,1,44.73,319,3,16,256,1
173,730,26.13,682.7769,1,16.91,966,3,21,441,1
174,730,1.47,2.1609,1,21.58,396,3,18,324,1
175,681,1.26,1.5876,1,32.19,263,6,6,36,0
176,730,12.62,159.2644,0,26.76,863,6,13,169,1
177,730,21.84,476.9856,0,43.64,580,4,16,256,1
178,730,27.23,741.4729,1,31.28,365,6,17,289,1
179,235,109.78,12051.6484,1,52.42,1213,1,13,169,0
180,604,53.7,2883.69,1,11.23,103,4,4,16,0
181,730,25.06,628.0036,0,25.6,1011,2,4,16,1
182,588,0.07,0.0049,1,63.58,222,2,6,36,0
183,730,46,2116,1,51.56,1081,3,8,64,1
184,730,66.49,4420.9201,1,43.27,878,5,17,289,1
185,728,32.59,1062.1081,1,61.79,746,1,13,169,0
186,730,51.76,2679.0976,0,53.19,1446,1,2,4,1
187,730,54.82,3005.2324,1,64.66,1063,1,20,400,1
188,730,2.95,8.7025,0,37.52,633,6,19,361,1
189,205,107.64,11586.3696,1,9.45,347,6,2,4,0
190,730,21.95,481.8025,0,56.91,1375,3,19,361,1
191,730,8.51,72.4201,0,76.77,1276,3,6,36,1
192,730,2.58,6.6564,1,41.78,207,5,10,100,1
193,683,0.31,0.0961,0,42.99,994,2,19,361,0
194,730,7.24,52.4176,1,33.75,920,1,16,256,1
195,417,83.47,6967.2409,0,74.97,161,5,2,4,0
196,730,9.14,83.5396,1,13.25,247,5,13,169,1
197,730,16.38,268.3044,0,32.37,761,3,7,49,1
198,730,18.18,330.5124,1,72.25,28,5,16,256,1
199,730,15.2,231.04,1,16.68,844,4,14,196,1
200,730,20.34,413.7156,1,37.23,684,2,5,25,1
201,730,4.54,20.6116,1,31.77,725,3,3,9,1
202,553,10.36,107.3296,1,33.27,224,2,8,64,0
203,730,47.16,2224.0656,1,60.26,825,4,11,121,1
204,653,5.37,28.8369,0,56.93,744,3,3,9,0
205,410,79.78,6364.8484,1,70.01,364,4,9,81,0
206,730,52.69,2776.2361,1,31.82,217,4,5,25,1
207,730,5.85,34.2225,0,40.04,1553,3,3,9,1
208,574,0.26,0.0676,0,38.75,836,2,7,49,0
209,730,65.4,4277.16,0,26.86,1053,2,18,324,1
210,637,6.94,48.1636,1,29.8,450,1,19,361,0
211,118,126.98,16123.9204,1,42.86,1035,1,20,400,0
212,730,20.36,414.5296,0,43.46,1527,2,4,16,1
213,730,11.33,128.3689,0,32.06,646,5,18,324,1
214,212,98.37,9676.6569,0,35.62,105,3,4,16,0
215,648,0.31,0.0961,1,21.07,276,4,14,196,0
216,633,27.19,739.2961,1,44.56,332,2,14,196,0
217,559,76.66,5876.7556,1,7.42,1042,3,15,225,0
218,191,107.29,11511.1441,1,53.74,297,4,3,9,0
219,324,89.4,7992.36,0,10.28,334,3,19,361,0
220,730,9.2,84.64,0,54.02,293,5,5,25,1
221,730,57.58,3315.4564,1,46,1675,4,17,289,1
222,657,23.23,539.6329,1,60.67,366,1,7,49,0
223,730,6.88,47.3344,1,46.88,1261,2,8,64,1
224,697,12.64,159.7696,1,16.4,318,4,9,81,0
225,730,57.96,3359.3616,0,51.75,247,5,18,324,1
226,665,8.82,77.7924,0,50.87,259,3,19,361,0
227,730,13.62,185.5044,1,27.09,289,3,20,400,1
228,672,23.62,557.9044,1,12.54,370,5,11,121,0
229,163,96.51,9314.1801,0,49.89,134,2,3,9,0
230,596,20.85,434.7225,1,13,103,1,10,100,0
231,730,25.83,667.1889,0,27.39,856,2,2,4,1
232,639,8.22,67.5684,0,9.78,951,3,3,9,0
233,730,43.03,1851.5809,1,52.51,650,4,14,196,1
234,563,0.8,0.64,1,22.18,232,1,18,324,0
235,410,88.62,7853.5044,1,41.86,62,6,19,361,0
236,730,53.11,2820.6721,1,40.14,1216,1,4,16,1
237,545,2.68,7.1824,1,25.21,287,3,10,100,0
238,730,10.56,111.5136,1,67.87,1054,6,10,100,1
239,180,109.25,11935.5625,1,47.61,886,1,21,441,0
240,611,61.43,3773.6449,0,65.31,203,4,18,324,0
241,730,3.78,14.2884,1,26.07,846,6,12,144,1
242,683,17.21,296.1841,0,14.47,325,5,16,256,0
243,730,0.21,0.0441,0,33.84,1329,3,18,324,1
244,730,0.05,0.0025,0,39.48,853,6,9,81,1
245,553,56.25,3164.0625,1,54.43,577,4,3,9,0
246,730,1.31,1.7161,0,64.76,1189,3,3,9,1
247,730,40.88,1671.1744,1,46.45,1506,5,16,256,1
248,730,67.6,4569.76,0,49.98,1203,5,8,64,1
249,730,4.9,24.01,1,61.37,1224,2,20,400,1
250,730,31.97,1022.0809,0,26.55,1871,2,11,121,1
251,730,4.71,22.1841,1,26.8,785,4,16,256,1
252,611,3.12,9.7344,0,22.96,961,2,11,121,0
253,155,108.93,11865.7449,1,35.5,666,3,4,16,0
254,128,107.96,11655.3616,0,28.18,64,4,8,64,0
255,299,90.12,8121.6144,1,38.01,591,4,14,196,0
256,639,7.2,51.84,0,30.86,82,3,2,4,0
257,135,101.76,10355.0976,1,28.07,305,2,1,1,0
258,717,7.73,59.7529,1,41.97,336,2,4,16,0
259,405,98.34,9670.7556,0,32.39,915,4,15,225,0
260,730,23.28,541.9584,1,71.56,921,2,17,289,1
261,730,13.68,187.1424,1,27.1,627,4,10,100,1
262,730,9.24,85.3776,1,28.1,701,2,21,441,1
263,626,6.65,44.2225,0,28.76,167,2,8,64,0
264,730,61.17,3741.7689,0,52.12,912,5,20,400,1
265,483,1.79,3.2041,1,34.11,500,1,20,400,0
266,70,124.5,15500.25,1,23.81,141,2,21,441,0
267,717,1.15,1.3225,1,48.6,382,1,11,121,0
268,730,26.83,719.8489,0,11.79,533,3,8,64,1
269,730,60.27,3632.4729,0,37.73,1346,2,10,100,1
270,604,0.6,0.36,0,37.48,259,3,10,100,0
271,641,31.38,984.7044,0,65.89,753,1,2,4,0
272,730,26.25,689.0625,1,32.98,265,3,15,225,1
273,657,7.07,49.9849,1,28.99,434,4,14,196,0
274,473,0.13,0.0169,1,43.7,377,1,13,169,0
275,386,67.05,4495.7025,1,20.47,169,4,10,100,0
276,700,50,2500,0,60.38,368,5,19,361,0
277,730,1.94,3.7636,1,59.31,1655,6,7,49,1
278,730,59.93,3591.6049,0,29.2,1259,5,12,144,1
279,502,91.48,8368.5904,0,30.52,1422,2,9,81,0
280,528,65.7,4316.49,0,26.79,642,1,6,36,0
281,711,25.72,661.5184,1,59.55,387,4,7,49,0
282,330,97.85,9574.6225,1,48.19,966,5,2,4,0
283,486,76.53,5856.8409,0,63.28,118,3,20,400,0
284,730,25.17,633.5289,0,70.21,380,4,9,81,1
285,104,122.68,15050.3824,1,35.84,871,1,12,144,0
286,730,50.42,2542.1764,1,54.53,861,2,15,225,1
287,526,71.2,5069.44,1,57.97,42,3,6,36,0
288,730,33.41,1116.2281,1,62.8,1357,4,7,49,1
289,702,15.55,241.8025,1,37.21,1117,2,4,16,0
290,206,89.87,8076.6169,1,28.38,478,1,15,225,0
291,461,74.42,5538.3364,1,41.1,690,4,17,289,0
292,730,10.67,113.8489,0,48.98,1039,5,3,9,1
293,730,47.28,2235.3984,0,37.32,407,3,6,36,1
294,564,10.48,109.8304,1,17.88,41,2,11,121,0
295,451,1.26,1.5876,1,11.03,84,2,20,400,0
296,119,129.48,16765.0704,0,21.34,990,5,6,36,0
297,730,3.48,12.1104,0,37.76,458,5,13,169,1
298,331,94.03,8841.6409,1,38.61,1030,1,5,25,0
299,730,22.17,491.5089,0,49.38,336,6,18,324,1
300,730,20,400,1,64.95,349,2,15,225,1
301,584,5.01,25.1001,1,48.69,125,2,14,196,0
302,574,2.26,5.1076,0,37.09,660,1,20,400,0
303,331,70.9,5026.81,1,17.22,4,3,15,225,0
304,730,12.42,154.2564,1,23.4,617,5,13,169,1
305,706,7.9,62.41,1,47.92,260,1,17,289,0
306,660,16.57,274.5649,1,38.93,695,2,5,25,0
307,730,2.16,4.6656,0,54.68,1255,2,15,225,1
308,36,145.16,21071.4256,1,2.35,1256,1,12,144,0
309,730,44.52,1982.0304,0,15.61,245,3,9,81,1
310,583,10.74,115.3476,1,26.46,175,2,2,4,0
311,730,7.34,53.8756,1,36.05,351,6,9,81,1
312,730,0.22,0.0484,1,18.03,669,3,9,81,1
313,730,26.77,716.6329,0,41.27,354,4,11,121,1
314,730,51.23,2624.5129,1,32.26,1100,4,3,9,1
315,491,78.3,6130.89,1,47.24,625,5,16,256,0
316,709,32.32,1044.5824,0,43.62,308,2,3,9,0
317,730,5.65,31.9225,0,70.35,911,1,13,169,1
318,730,30.69,941.8761,1,63.8,877,5,15,225,1
319,474,77.7,6037.29,1,57.66,293,6,12,144,0
320,730,1.9,3.61,1,33.05,1419,1,7,49,1
321,730,20.35,414.1225,0,38.37,1600,2,6,36,1
322,730,21.8,475.24,1,52.64,112,3,11,121,1
323,470,1.12,1.2544,1,62.84,82,1,19,361,0
324,730,63.2,3994.24,0,39.95,371,5,19,361,1
325,532,73.58,5414.0164,1,12.73,299,5,21,441,0
326,730,27.67,765.6289,0,54.2,1434,5,14,196,1
327,456,87.84,7715.8656,1,25.13,1546,5,6,36,0
328,730,39.56,1564.9936,1,14.1,240,6,1,1,1
329,730,29.2,852.64,0,45.55,704,5,12,144,1
330,658,53.34,2845.1556,1,52.68,166,6,4,16,0
331,730,46.63,2174.3569,1,33.79,987,5,2,4,1
332,730,3.37,11.3569,0,48.79,841,2,14,196,1
333,730,18.71,350.0641,1,32.43,1025,5,14,196,1
334,200,106.52,11346.5104,1,60.28,159,2,10,100,0
335,730,18.32,335.6224,1,19.94,1247,4,6,36,1
336,730,13.38,179.0244,0,14.79,313,6,12,144,1
337,730,3.45,11.9025,1,34.08,1286,6,12,144,1
338,730,80.24,6438.4576,0,61.71,1238,6,18,324,1
339,73,122.36,14971.9696,0,50.13,135,2,19,361,0
340,730,18.04,325.4416,1,35.61,1950,1,20,400,1
341,730,5.95,35.4025,1,30.93,264,5,17,289,1
342,730,22.11,488.8521,1,23.44,1083,2,8,64,1
343,665,10.51,110.4601,0,48.9,587,3,9,81,0
344,125,99.17,9834.6889,0,30.31,56,2,2,4,0
345,730,12.65,160.0225,0,22.81,1645,2,14,196,1
346,730,13.73,188.5129,1,46.73,673,6,12,144,1
347,730,2.41,5.8081,0,43.93,102,5,3,9,1
348,730,9.84,96.8256,1,37.14,156,5,4,16,1
349,702,10.11,102.2121,0,37.12,281,5,1,1,0
350,455,56.76,3221.6976,1,13.19,281,2,10,100,0
351,363,60.97,3717.3409,0,36.43,332,1,19,361,0
352,616,12.48,155.7504,1,51.72,261,3,18,324,0
353,730,38.5,1482.25,1,47.64,667,5,15,225,1
354,682,0.93,0.8649,1,53.78,167,3,10,100,0
355,696,6.83,46.6489,0,43.48,737,3,15,225,0
356,730,39.94,1595.2036,1,60.34,270,5,10,100,1
357,730,19.82,392.8324,1,51.91,398,6,13,169,1
358,730,26.43,698.5449,0,13.16,387,6,14,196,1
359,730,47.28,2235.3984,1,53.79,1462,5,2,4,1
360,545,6.5,42.25,1,10.97,854,1,14,196,0
361,730,0.84,0.7056,1,55.46,322,5,21,441,1
362,730,11.38,129.5044,1,38.08,616,5,6,36,1
363,730,19.43,377.5249,1,37.96,356,2,14,196,1
364,271,104.94,11012.4036,1,19.94,743,4,13,169,0
365,730,0.76,0.5776,0,32.63,1197,5,18,324,1
366,581,23,529,1,56.83,505,1,18,324,0
367,730,55.06,3031.6036,1,28.06,945,3,19,361,1
368,65,132.69,17606.6361,0,33.69,594,2,4,16,0
369,730,51.46,2648.1316,0,8.01,468,5,17,289,1
370,589,1.07,1.1449,1,36.52,637,2,19,361,0
371,730,27.57,760.1049,0,39.45,373,3,16,256,1
372,730,7.96,63.3616,0,27.01,106,4,8,64,1
373,730,35.1,1232.01,1,38.1,331,4,14,196,1
374,730,0.37,0.1369,0,59.91,1270,4,21,441,1
375,730,4.67,21.8089,0,57.69,640,4,8,64,1
376,583,58.46,3417.5716,1,49.47,327,4,6,36,0
377,544,14.72,216.6784,1,66.25,349,1,5,25,0
378,730,20.92,437.6464,0,47.91,951,2,19,361,1
379,730,39.68,1574.5024,0,61.67,1489,2,5,25,1
380,121,116.03,13462.9609,0,17.06,1124,2,20,400,0
381,730,3.43,11.7649,1,36.62,1168,4,8,64,1
382,730,44.05,1940.4025,1,33.73,422,2,16,256,1
383,580,49.61,2461.1521,1,15.05,469,4,16,256,0
384,730,3.78,14.2884,1,66,1032,3,13,169,1
385,730,10.65,113.4225,1,52.74,658,4,14,196,1
386,730,19.24,370.1776,1,56.39,1160,4,1,1,1
387,533,16.58,274.8964,1,12.27,740,1,19,361,0
388,730,26.32,692.7424,0,40.03,579,3,9,81,1
389,730,14.35,205.9225,1,38.08,638,6,6,36,1
390,730,44.4,1971.36,1,27.43,1157,3,12,144,1
391,489,65.81,4330.9561,1,23.76,806,2,18,324,0
392,601,68.96,4755.4816,0,49.77,1067,1,6,36,0
393,564,53.85,2899.8225,0,11.65,261,6,8,64,0
394,730,4.06,16.4836,1,12.1,499,5,18,324,1
395,730,2.42,5.8564,1,50.98,1235,1,18,324,1
396,730,10.16,103.2256,0,63.98,735,2,7,49,1
397,730,11.85,140.4225,1,59.75,1559,3,13,169,1
398,639,50.52,2552.2704,1,53.68,714,4,3,9,0
399,730,4.43,19.6249,1,67.21,1647,4,13,169,1
400,730,3.43,11.7649,1,7.22,329,3,15,225,1
401,730,3.74,13.9876,0,44.62,599,5,18,324,1
402,730,18.36,337.0896,0,33.39,927,4,4,16,1
403,633,0.39,0.1521,1,39.33,133,5,19,361,0
404,177,111.64,12463.4896,1,43.49,479,1,18,324,0
405,730,32.44,1052.3536,0,41.93,1648,4,4,16,1
406,565,23.23,539.6329,1,22.69,134,2,6,36,0
407,730,2.96,8.7616,0,30.46,244,5,7,49,1
408,730,19,361,0,29.25,1239,3,6,36,1
409,399,65.63,4307.2969,1,43.67,639,1,13,169,0
410,730,0.04,0.0016,1,43.36,1300,2,6,36,1
411,730,4.14,17.1396,0,47.56,675,5,8,64,1
412,730,34.91,1218.7081,0,73.75,730,5,3,9,1
413,578,27.12,735.4944,1,60.88,321,3,2,4,0
414,383,67.38,4540.0644,1,27.61,338,3,10,100,0
415,730,8.22,67.5684,1,56.63,94,4,16,256,1
416,567,15.81,249.9561,0,69.29,116,1,16,256,0
417,550,23.29,542.4241,1,43.06,257,3,5,25,0
418,268,96.72,9354.7584,1,32.23,944,1,4,16,0
419,730,4.46,19.8916,0,55.82,1546,5,2,4,1
420,730,4.59,21.0681,1,23.68,1064,4,9,81,1
421,730,16.95,287.3025,0,50.97,645,6,12,144,1
422,139,113.78,12945.8884,1,47.47,801,2,11,121,0
423,730,21.26,451.9876,0,62.8,204,6,8,64,1
424,730,7.7,59.29,1,7.86,203,3,15,225,1
425,722,15.58,242.7364,1,28.15,368,2,10,100,0
426,730,31.07,965.3449,0,50.07,768,3,3,9,1
427,614,21.33,454.9689,0,68.75,136,2,12,144,0
428,730,48.34,2336.7556,0,35.79,1726,1,19,361,1
429,438,67.5,4556.25,1,42.49,59,2,9,81,0
430,730,40.57,1645.9249,1,60.27,289,4,4,16,1
431,730,56.69,3213.7561,1,64.89,452,3,18,324,1
432,730,18.41,338.9281,1,8.04,206,5,14,196,1
433,592,31.54,994.7716,1,22.08,249,2,15,225,0
434,653,12.39,153.5121,0,42.06,761,2,19,361,0
435,278,78.47,6157.5409,1,52.73,100,2,6,36,0
436,730,37.03,1371.2209,0,32.8,855,3,10,100,1
437,449,62.15,3862.6225,1,27.26,125,4,19,361,0
438,318,76.72,5885.9584,0,23.45,133,5,3,9,0
439,663,72.11,5199.8521,1,43.54,1239,5,12,144,0
440,652,22.97,527.6209,0,69.76,82,5,2,4,0
441,730,26.23,688.0129,1,34.03,619,4,18,324,1
442,599,3.84,14.7456,1,29.21,382,3,20,400,0
443,309,101.51,10304.2801,1,60.76,243,4,19,361,0
444,590,11.92,142.0864,1,20.51,328,5,3,9,0
445,363,23.91,571.6881,1,20.56,11,1,4,16,0
446,308,101.26,10253.5876,1,23.48,1000,2,18,324,0
447,706,3.59,12.8881,0,38.24,209,2,17,289,0
448,730,17,289,1,47.63,192,4,9,81,1
449,730,3.97,15.7609,0,73.71,260,5,13,169,1
450,730,10.17,103.4289,0,16.25,398,6,15,225,1
451,670,28.47,810.5409,0,6.16,116,2,11,121,0
452,730,12.27,150.5529,1,50.21,1149,5,12,144,1
453,569,72.21,5214.2841,1,42.85,395,5,1,1,0
454,730,42.42,1799.4564,1,43.87,142,6,15,225,1
455,730,0.61,0.3721,1,29.93,248,5,18,324,1
456,583,10.94,119.6836,0,43.2,23,4,19,361,0
457,730,24.27,589.0329,0,25.01,1060,3,19,361,1
458,212,106.69,11382.7561,1,12.55,254,5,4,16,0
459,730,16.07,258.2449,1,65.29,452,3,13,169,1
460,730,31.11,967.8321,1,67.89,346,2,19,361,1
461,730,7.07,49.9849,1,25,278,5,3,9,1
462,547,0.24,0.0576,1,21.79,508,1,9,81,0
463,486,49.04,2404.9216,1,10.54,80,2,12,144,0
464,730,79.62,6339.3444,1,38.61,1661,5,18,324,1
465,730,44.89,2015.1121,0,37.27,1009,4,2,4,1
466,413,82.54,6812.8516,1,22.75,1968,1,1,1,0
467,730,10.35,107.1225,0,19.95,779,5,9,81,1
468,301,87.76,7701.8176,1,16,653,3,11,121,0
469,730,6.92,47.8864,0,60.16,728,6,13,169,1
470,730,4.11,16.8921,1,48.48,1099,3,12,144,1
