 ? What is your gender   , ? Are you a shopping person ,  ? Rate your shopping behavior out of 5 , ? Are you a heavy shopper  ,   ? How many times do you go to super market a week (nearly),What is the most entertainment  ad you watched recently  ?,Type of ads you prefer or watch ?,How many adverts do you watch ads daily (nearly) ?,Do you prefer internet ads or tv ads more ?,Have you ever search for an advert advert before ?,-        What is you’re the most advert paradigm(method) you deal with ?,What Do you watch TV more  advertisements or social media (internet)  advertisements ?,How many times did you search for an advert ? (nearly),When I watch advertisements I buy or go shopping ? ,"After watching advertisements , do you search for it ?",Have you ever bought something due to an advertisements ?,Did you think that the advert can change your buying behavior ?,Did you find information in the adverts beneficial ?,Do you think that advertisements is important for businesses ?,What do you think can make you buy from an advert ? [The way introducing product ],What do you think can make you buy from an advert ? [the script ],What do you think can make you buy from an advert ? [the actors that work on ],What do you think can make you buy from an advert ? [the company made it]
Male,Yes,3,3,6,other,Funny ads,7,TV,No,Telecom companies advertisements,TV advertisements,1--3 times,2,Yes,Yes,Yes,No,Yes,Agree,Neutral,Agree,Agree
Female,No,2,2,2,Zain ad,Funny ads,2,TV,Yes,Telecom companies advertisements,Internet advertisements,1--3 times,1,No,No,No,No,No,Neutral,Agree,Neutral,Agree
Male,No,2,2,2,Vodafone ad,Funny ads,4,Internet,No,Charities advertisements,TV advertisements,1--3 times,1,No,No,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Agree,Neutral
Male,Yes,4,3,4,Vodafone ad,Funny ads,7,Internet,Yes,Real estate ads,TV advertisements,1--3 times,2,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Agree,Neutral,Strongly Agree
Male,No,5,1,2,other,Emotional ads,3,Internet,No,business ads,Internet advertisements,1--3 times,1,No,No,No,No,Yes,Strongly Agree,Agree,Neutral,Strongly Agree
Female,Yes,5,3,,Zain ad,Funny ads,,Internet,Yes,,TV advertisements,1--3 times,,,,,,,Disagree,Disagree,Disagree,Agree
Female,Yes,2,1,4,Etisalat ad,Funny ads,2,Internet,Yes,Telecom companies advertisements,Internet advertisements,1--3 times,1,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Disagree,Disagree,Neutral
Female,Yes,5,5,4,Vodafone ad,Cartoon ads,8,Internet,Yes,business ads,TV advertisements,1--3 times,4,No,Yes,No,Yes,Yes,Agree,Disagree,Disagree,Disagree
Female,Yes,4,3,4,Vodafone ad,Funny ads,5,TV,No,Real estate ads,Internet advertisements,1--3 times,3,Yes,No,Yes,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Strongly Agree
Female,No,3,3,2,Vodafone ad,Funny ads,4,TV,No,Telecom companies advertisements,Internet advertisements,1--3 times,2,No,No,Yes,Yes,Yes,Agree,Neutral,Agree,Strongly Agree
Male,Yes,5,5,6,Vodafone ad,Funny ads,8,TV,No,Real estate ads,TV advertisements,6--9 times,5,No,Yes,Yes,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Agree
Male,No,3,3,2,other,Funny ads,5,Internet,No,business ads,Internet advertisements,1--3 times,2,No,Yes,Yes,Yes,Yes,Agree,Neutral,Neutral,Neutral
Male,Yes,4,4,2,Vodafone ad,Emotional ads,5,TV,Yes,Charities advertisements,TV advertisements,3--6 times,3,Yes,Yes,Yes,Yes,Yes,Agree,Neutral,Neutral,Strongly Agree
Male,Yes,3,3,2,Etisalat ad,Emotional ads,4,Internet,No,business ads,Internet advertisements,1--3 times,3,No,Yes,Yes,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Strongly Agree
Female,Yes,4,3,2,Vodafone ad,Emotional ads,10,TV,No,Telecom companies advertisements,Internet advertisements,more than 9 times,1,No,Yes,No,No,Yes,Neutral,Neutral,Neutral,Agree
Female,Yes,4,4,more than 6,Vodafone ad,Emotional ads,7,Internet,No,business ads,Internet advertisements,3--6 times,3,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Neutral,Strongly Agree
Female,Yes,3,3,2,Vodafone ad,Emotional ads,5,TV,Yes,Charities advertisements,TV advertisements,1--3 times,2,No,Yes,Yes,Yes,Yes,Strongly Agree,Neutral,Strongly Disagree,Agree
Female,Yes,4,3,more than 6,Vodafone ad,Emotional ads,4,TV,No,business ads,Internet advertisements,1--3 times,3,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Neutral,Disagree,Agree
Male,No,2,3,2,Vodafone ad,Emotional ads,3,Internet,No,Telecom companies advertisements,Internet advertisements,1--3 times,1,No,No,No,Yes,Yes,Neutral,Neutral,Neutral,Neutral
Female,Yes,4,4,4,Vodafone ad,Funny ads,9,Internet,Yes,,Internet advertisements,3--6 times,1,No,Yes,No,No,Yes,Agree,Agree,Agree,Agree
Male,No,1,2,2,other,Funny ads,1,TV,Yes,,TV advertisements,6--9 times,2,No,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Neutral,Strongly Agree
Male,No,1,1,2,Vodafone ad,Funny ads,2,Internet,Yes,Real estate ads,Internet advertisements,1--3 times,1,No,Yes,No,No,Yes,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree
Female,Yes,3,3,4,Vodafone ad,Funny ads,4,Internet,No,Real estate ads,Internet advertisements,1--3 times,2,No,No,Yes,No,Yes,Agree,Neutral,Agree,Neutral
Female,Yes,4,3,4,Vodafone ad,Emotional ads,4,Internet,No,Real estate ads,Internet advertisements,3--6 times,4,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Neutral,Agree,Strongly Agree
Female,Yes,2,5,2,other,Cartoon ads,1,TV,No,Telecom companies advertisements,TV advertisements,1--3 times,3,No,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Neutral
Female,Yes,4,4,4,Vodafone ad,Emotional ads,2,Internet,Yes,business ads,Internet advertisements,1--3 times,5,Yes,No,No,Yes,No,Strongly Agree,Agree,Agree,Neutral
Female,Yes,3,3,4,Vodafone ad,Funny ads,5,Internet,Yes,business ads,Internet advertisements,3--6 times,3,Yes,Yes,Yes,Yes,Yes,Neutral,Agree,Agree,Strongly Agree
Female,Yes,5,3,more than 6,Vodafone ad,Funny ads,6,Internet,Yes,Charities advertisements,Internet advertisements,1--3 times,2,No,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree
Female,Yes,3,3,2,Vodafone ad,Emotional ads,5,Internet,Yes,Real estate ads,Internet advertisements,1--3 times,3,Yes,Yes,Yes,Yes,Yes,Neutral,Agree,Neutral,Strongly Agree
Female,Yes,5,5,6,other,Cartoon ads,3,Internet,Yes,Charities advertisements,Internet advertisements,1--3 times,5,Yes,Yes,Yes,Yes,Yes,Strongly Disagree,Neutral,Neutral,Strongly Disagree
Female,Yes,4,3,2,other,Funny ads,6,TV,Yes,Charities advertisements,TV advertisements,6--9 times,2,No,No,Yes,No,Yes,Neutral,Neutral,Agree,Strongly Agree
Female,Yes,5,5,4,other,Cartoon ads,2,Internet,No,Charities advertisements,Internet advertisements,1--3 times,4,No,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree
Female,No,1,1,2,Zain ad,Funny ads,3,TV,Yes,Charities advertisements,TV advertisements,3--6 times,1,Yes,No,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Female,Yes,2,1,4,Vodafone ad,Funny ads,1,,Yes,Telecom companies advertisements,TV advertisements,3--6 times,1,Yes,Yes,No,No,Yes,Strongly Agree,Agree,Strongly Agree,Neutral
Female,Yes,4,4,6,Vodafone ad,Cartoon ads,4,,,Real estate ads,Internet advertisements,6--9 times,1,No,No,No,No,No,Strongly Agree,Neutral,Disagree,Strongly Agree
Female,Yes,5,5,4,Vodafone ad,Emotional ads,6,TV,Yes,Charities advertisements,TV advertisements,3--6 times,3,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Neutral,Agree
Female,Yes,3,2,4,other,Funny ads,4,TV,Yes,Charities advertisements,Internet advertisements,1--3 times,2,No,Yes,No,No,Yes,Agree,Agree,Strongly Disagree,Agree
Female,Yes,4,3,2,other,Cartoon ads,4,Internet,No,Telecom companies advertisements,Internet advertisements,3--6 times,3,,Yes,Yes,Yes,Yes,Strongly Agree,Neutral,Agree,Neutral
Male,No,3,3,,Etisalat ad,Funny ads,5,,No,business ads,TV advertisements,3--6 times,4,Yes,No,Yes,No,Yes,Neutral,Neutral,Neutral,Neutral
Female,Yes,5,5,2,Vodafone ad,Cartoon ads,5,Internet,Yes,Telecom companies advertisements,Internet advertisements,3--6 times,4,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Neutral,Agree,Agree
Female,Yes,3,3,6,Vodafone ad,Cartoon ads,9,TV,Yes,Charities advertisements,TV advertisements,1--3 times,4,No,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Male,Yes,4,4,4,other,Funny ads,5,TV,Yes,Charities advertisements,TV advertisements,1--3 times,2,No,Yes,Yes,Yes,Yes,Agree,Neutral,Neutral,Strongly Agree
Female,Yes,3,3,2,other,Funny ads,5,TV,No,Telecom companies advertisements,TV advertisements,1--3 times,1,No,No,Yes,No,Yes,Agree,Agree,Agree,Agree
Female,Yes,3,3,6,Vodafone ad,Cartoon ads,5,TV,Yes,Real estate ads,TV advertisements,1--3 times,2,No,No,No,No,Yes,Strongly Agree,Agree,Agree,Strongly Agree
Male,Yes,3,3,2,Vodafone ad,Funny ads,2,Internet,No,business ads,TV advertisements,1--3 times,1,Yes,Yes,No,Yes,No,Neutral,Disagree,Strongly Agree,Strongly Agree
Male,Yes,5,5,4,Etisalat ad,Cartoon ads,6,Internet,Yes,Telecom companies advertisements,Internet advertisements,3--6 times,3,No,Yes,No,Yes,No,Disagree,Disagree,Disagree,Disagree
Male,Yes,4,5,more than 6,Zain ad,Funny ads,10,Internet,Yes,Telecom companies advertisements,Internet advertisements,6--9 times,5,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Neutral
Female,Yes,3,2,4,other,Funny ads,1,Internet,Yes,Telecom companies advertisements,TV advertisements,1--3 times,3,No,No,Yes,Yes,Yes,Strongly Agree,Agree,Agree,Strongly Agree
Female,Yes,2,1,2,Etisalat ad,Emotional ads,4,Internet,Yes,business ads,Internet advertisements,1--3 times,1,No,Yes,No,Yes,Yes,Agree,Strongly Agree,Agree,Strongly Agree
Male,Yes,5,5,6,Zain ad,Funny ads,10,Internet,Yes,Telecom companies advertisements,Internet advertisements,1--3 times,5,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Disagree,Disagree
Male,Yes,5,4,4,Vodafone ad,Emotional ads,5,TV,No,business ads,Internet advertisements,1--3 times,3,Yes,Yes,Yes,Yes,Yes,Neutral,Neutral,Neutral,Strongly Agree
Male,Yes,3,3,2,Vodafone ad,Cartoon ads,4,Internet,Yes,Telecom companies advertisements,Internet advertisements,1--3 times,2,Yes,Yes,Yes,Yes,Yes,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree
