material_id,formula_pretty,n_elements,contains_transition_metal,formation_energy_per_atom,energy_per_atom,band_gap,density,volume,elements,Target
mp-760174,Li7Fe4NiO12,4,TRUE,0.2526437445,0.2465476042,-0.8682128618,0.263411257,-0.6333899913,"['Fe', 'Li', 'Ni', 'O']",FALSE
mp-753986,Li6Mn(OF2)2,4,TRUE,-0.7188067633,0.4973363507,1.016011281,-1.048983883,-0.3391924166,"['F', 'Li', 'Mn', 'O']",TRUE
mp-773065,Li5V5Cr2O12,4,FALSE,-0.4185582001,-0.1873394331,-0.6770008099,0.3094121997,-0.5718440468,"['Cr', 'Li', 'O', 'V']",FALSE
mp-1210887,LiGa2,2,FALSE,2.075006951,-0.358235401,-0.8682128618,0.2713126764,-0.5625401702,"['Ga', 'Li']",FALSE
mp-1174556,Li4MnCo2O7,4,TRUE,0.1131118129,0.2069586203,-0.2341119888,0.3041404756,-0.5252885415,"['Co', 'Li', 'Mn', 'O']",FALSE
mp-1180450,LiVTeO5,4,FALSE,0.6029475877,0.2877989417,-0.2051999682,-0.4122726199,0.3865386369,"['Li', 'O', 'Te', 'V']",FALSE
mp-1174351,Li4Mn3O7,3,TRUE,-0.1694264707,0.04836052517,-0.05847315649,0.08747988333,-0.4855510975,"['Li', 'Mn', 'O']",FALSE
mp-752665,Li3Ti3VO8,4,FALSE,-1.067403896,-0.2530813684,-0.8682128618,-0.01023611453,-0.3565321399,"['Li', 'O', 'Ti', 'V']",FALSE
mp-782652,Li4Ti3Cr3(NiO8)2,5,TRUE,-0.5262697539,-0.1648551028,-0.2485341443,0.1915207095,-0.4057539704,"['Cr', 'Li', 'Ni', 'O', 'Ti']",FALSE
mp-758470,LiFe2P5O16,4,TRUE,-0.5050671088,-0.1067642754,0.9336086364,-0.7981465049,0.7474464217,"['Fe', 'Li', 'O', 'P']",TRUE
mp-1663998,Li2Mn3FeO8,4,TRUE,-0.006338380891,-0.1075896861,-0.5399564782,0.3080720087,-0.4124717876,"['Fe', 'Li', 'Mn', 'O']",FALSE
mp-1371287,LiFeSi3O8,4,TRUE,3.500890565,0.9836569481,-0.8682128618,-0.5734490375,-0.326481456,"['Fe', 'Li', 'O', 'Si']",FALSE
mp-1304742,Li4Mn3NbO8,4,TRUE,-0.3942213514,-0.103117117,-0.2131897069,0.2734009819,-0.2847141978,"['Li', 'Mn', 'Nb', 'O']",FALSE
mp-772109,LiSiBiO4,4,FALSE,-0.5739822962,0.1017716275,1.274729854,1.667170645,-0.2917568072,"['Bi', 'Li', 'O', 'Si']",TRUE
mp-1316403,Li8CoO5F,4,TRUE,-0.08686616051,0.5668992706,-0.2223305097,-0.7297077351,-0.468471223,"['Co', 'F', 'Li', 'O']",FALSE
mp-777558,Li32Ti3Cr13O48,4,FALSE,-0.4401496682,0.06936649945,-0.1969393909,-0.1525580984,1.225377981,"['Cr', 'Li', 'O', 'Ti']",FALSE
mp-1195676,LiCuSO4F,5,FALSE,0.05556105623,0.3981782234,-0.5764519796,-0.2632896279,-0.1779561017,"['Cu', 'F', 'Li', 'O', 'S']",FALSE
mp-605860,Ba2LiN,3,FALSE,1.771069173,0.9841427487,-0.8682128618,-0.03279079182,1.825464797,"['Ba', 'Li', 'N']",FALSE
mp-1222909,Li2MgSi5O12,4,FALSE,-1.170166589,-0.1038115632,2.624995695,-0.2755539185,0.8910721929,"['Li', 'Mg', 'O', 'Si']",TRUE
mp-775869,Li4Cr5SbO12,4,FALSE,-0.3433095396,-0.1265680862,0.09136829913,0.1850124297,0.1943359341,"['Cr', 'Li', 'O', 'Sb']",TRUE
mp-861948,LiPm2Al,3,FALSE,1.919474362,-2.902044089,-0.8682128618,0.9417133859,-0.937013522,"['Al', 'Li', 'Pm']",FALSE
mp-705341,Li3Mo4P9O32,4,FALSE,-0.5967086028,-0.1671768023,0.373514411,-0.4248619984,2.441541139,"['Li', 'Mo', 'O', 'P']",TRUE
mp-1196213,LiNbO3,3,FALSE,-1.003605493,-0.2842558828,1.250828347,0.1902629376,0.1675073363,"['Li', 'Nb', 'O']",TRUE
mp-780694,Li2Mn(PO3)4,4,TRUE,-0.7251108563,-0.08820882662,2.090495718,-0.8495896664,1.73661208,"['Li', 'Mn', 'O', 'P']",TRUE
mp-20657,Li2BPd3,3,FALSE,1.668831589,-1.938174145,-0.8682128618,2.407096405,-0.3403631076,"['B', 'Li', 'Pd']",FALSE
mp-1195467,Li2MgB12(H4O7)4,5,FALSE,-0.2719316069,0.09760777885,3.092530829,-1.226557165,0.3427543642,"['B', 'H', 'Li', 'Mg', 'O']",TRUE
mp-753703,Li3Ni2O2F3,4,TRUE,-0.4156205143,0.4738465576,0.8403724483,0.2978193594,-0.7188018976,"['F', 'Li', 'Ni', 'O']",TRUE
mp-1174185,Li4Mn3CoO8,4,TRUE,-0.03970144188,0.04420022002,-0.8682128618,0.2575600983,-0.7980955536,"['Co', 'Li', 'Mn', 'O']",FALSE
mp-1235990,KLiNi2H3(SeO5)2,6,TRUE,0.701390712,0.4828540025,-0.7769402535,-0.1727381381,-0.5730697446,"['H', 'K', 'Li', 'Ni', 'O', 'Se']",FALSE
mp-1100481,Li9Mn7O16,3,TRUE,-0.1847382013,0.03492744291,-0.2633625576,0.1231467846,-0.3813348844,"['Li', 'Mn', 'O']",FALSE
mp-757477,Li4MnV3(PO4)4,5,TRUE,-0.7264040015,-0.1541118599,0.955952821,-0.3049599218,-0.3424369843,"['Li', 'Mn', 'O', 'P', 'V']",TRUE
mp-1110972,Cs2LiPrF6,4,FALSE,-1.707158008,-1.83510713,3.870988676,0.5872317286,-0.6914595905,"['Cs', 'F', 'Li', 'Pr']",TRUE
mp-26575,Li3Fe(PO4)2,4,TRUE,-0.6299987763,0.03354529252,0.4541566042,-0.4076454509,-0.8311447055,"['Fe', 'Li', 'O', 'P']",TRUE
mp-765628,Li4Cu3Bi(PO4)4,5,FALSE,-0.292809015,0.1698304785,-0.8003000827,0.3219777983,-0.3233872408,"['Bi', 'Cu', 'Li', 'O', 'P']",FALSE
mp-771192,Li5Fe2Cu5O12,4,TRUE,0.5883418704,0.4081253019,-0.8682128618,0.6993084664,-0.5821027155,"['Cu', 'Fe', 'Li', 'O']",FALSE
mp-1175969,Li9Mn2Co5O16,4,TRUE,0.1812484949,0.2234161998,-0.8682128618,0.3188269683,-0.4179615466,"['Co', 'Li', 'Mn', 'O']",FALSE
mp-1307939,Li4Co3NiO8,4,TRUE,0.376573291,0.2888855779,-0.5657538549,0.5255633232,-0.4109337865,"['Co', 'Li', 'Ni', 'O']",FALSE
mp-10520,LiNdTiO4,4,FALSE,-1.587773871,-0.3043793953,0.6772599012,0.8856290792,-0.7409828323,"['Li', 'Nd', 'O', 'Ti']",TRUE
mp-1175537,Li9Mn2Co5O16,4,TRUE,0.2203410988,0.2337260313,-0.8682128618,0.268889431,-0.4032177967,"['Co', 'Li', 'Mn', 'O']",FALSE
mp-673090,LiSb2P5O18,4,FALSE,-0.3850665709,0.02766911035,-0.8416706789,-0.1453436244,0.6437757146,"['Li', 'O', 'P', 'Sb']",FALSE
mp-774334,Na5Li3V8O24,4,FALSE,-0.4500381739,-0.05865372311,1.256651377,-0.6315394758,0.3462430661,"['Li', 'Na', 'O', 'V']",TRUE
mp-752856,Li10Fe4S9,3,TRUE,0.9685918206,0.6561330599,-0.8682128618,-0.8745441809,1.043913309,"['Fe', 'Li', 'S']",FALSE
mp-1219572,RbLiMnS2,4,TRUE,0.9488845836,0.6093672559,-0.8682128618,-0.175277443,-0.9474547088,"['Li', 'Mn', 'Rb', 'S']",FALSE
mp-754285,Li5MnO4,3,TRUE,-0.06812931685,0.4037629773,-0.02949342626,-0.8244732812,-0.6529908017,"['Li', 'Mn', 'O']",FALSE
mp-934,LiTl,2,FALSE,1.890502401,-6.023838395,-0.8682128618,3.25341049,-1.12050224,"['Li', 'Tl']",FALSE
mp-766626,Li3VPCO7,5,FALSE,-0.4882872622,-0.02046038054,-0.4827418239,-0.7103881839,0.379472227,"['C', 'Li', 'O', 'P', 'V']",FALSE
mp-1222446,LiLa2Nb8O24,4,FALSE,-1.224268835,-0.53613426,-0.8682128618,0.5740137969,0.2310613196,"['La', 'Li', 'Nb', 'O']",FALSE
mp-753468,LiNi2OF3,4,TRUE,-0.1975295862,0.4852899898,0.8216845849,0.3256500554,-0.7915336337,"['F', 'Li', 'Ni', 'O']",TRUE
mp-771089,Li4MnFe5O12,4,TRUE,0.2227606436,0.0343545486,-0.6755789073,0.1368129971,-0.5665448888,"['Fe', 'Li', 'Mn', 'O']",FALSE
mp-765227,Li6Sn5(P2O7)4,4,FALSE,-0.532233131,0.08119298151,0.9451869866,-0.2763689535,2.586603871,"['Li', 'O', 'P', 'Sn']",TRUE
mp-1078753,LiTl,2,FALSE,2.084299898,-5.972728483,-0.8682128618,2.1400994,-0.6548730877,"['Li', 'Tl']",FALSE
mp-570813,Li2UI6,3,FALSE,0.7692414829,0.9597314512,-0.8682128618,0.7521605345,0.7554654091,"['I', 'Li', 'U']",FALSE
mp-1213704,Cs3LiPb4,3,FALSE,1.899733565,1.333134046,-0.3559893589,1.446895188,0.7639846125,"['Cs', 'Li', 'Pb']",FALSE
mp-756519,Li(ReO3)4,3,FALSE,-0.1647989062,-0.4005134001,-0.8682128618,2.453301512,-0.6280316775,"['Li', 'O', 'Re']",FALSE
mp-772545,Li3Ti(Si2O5)3,4,FALSE,-1.220670729,-0.1804473722,-0.6494429824,-0.7868472376,2.317338507,"['Li', 'O', 'Si', 'Ti']",FALSE
mp-698205,LiB(HO2)2,4,FALSE,0.1338266859,0.2984692817,1.587074469,-1.227393388,-0.3995073704,"['B', 'H', 'Li', 'O']",TRUE
mp-763347,Li2VO2F,4,FALSE,-0.7479978154,0.1464879559,-0.6058379677,-0.2016182349,-0.5940544811,"['F', 'Li', 'O', 'V']",FALSE
mp-1001790,LiO3,2,FALSE,1.48425292,0.7149976963,-0.8147222382,-1.085426316,-1.114351608,"['Li', 'O']",FALSE
mp-757990,Li3V3(PO4)4,4,FALSE,-0.7657384299,-0.1564231592,0.3993117877,-0.4147466556,0.4576137451,"['Li', 'O', 'P', 'V']",TRUE
mp-1235544,SrLiU2O6,4,FALSE,-1.426774195,-0.4586371805,-0.8682128618,3.290340579,-0.8693990115,"['Li', 'O', 'Sr', 'U']",FALSE
mp-757742,Li2Fe(CoO3)2,4,TRUE,0.4237003894,0.1669858352,-0.8682128618,0.4741631062,-0.6282313359,"['Co', 'Fe', 'Li', 'O']",FALSE
mp-775639,Li3MnV(PO4)3,5,TRUE,-0.6656022935,-0.08164098698,-0.8682128618,-0.5110545301,1.40541005,"['Li', 'Mn', 'O', 'P', 'V']",FALSE
mp-761213,Li3Fe8(BO3)8,4,TRUE,-0.3050412073,-0.1994020703,0.08568068852,-0.3744412279,0.1716012691,"['B', 'Fe', 'Li', 'O']",TRUE
mp-1199747,Li2MgB4(H17N3)2,5,FALSE,1.740409519,0.7777028323,2.822233906,-1.969221303,3.509362155,"['B', 'H', 'Li', 'Mg', 'N']",TRUE
mp-1185231,Li3Ce,2,FALSE,2.538763154,-0.5481577864,-0.8682128618,-0.7764488018,-0.9401663883,"['Ce', 'Li']",FALSE
mp-1177906,Li2Ti3CoO8,4,TRUE,-0.9979240233,-0.2626526927,-0.8682128618,0.02215008441,0.5078518107,"['Co', 'Li', 'O', 'Ti']",FALSE
mp-26345,LiNiP2O7,4,TRUE,-0.3399032728,0.0470207483,-0.8682128618,-0.3471289441,0.1838463838,"['Li', 'Ni', 'O', 'P']",FALSE
mp-1175256,Li7Mn4CoO12,4,TRUE,-0.07431807281,0.1104946142,-0.3619478081,0.1218790819,-0.6049885744,"['Co', 'Li', 'Mn', 'O']",FALSE
mp-758966,LiBi(PO3)4,4,FALSE,-0.5882155798,-0.01611726302,2.327411783,-0.07133134386,0.1615520642,"['Bi', 'Li', 'O', 'P']",TRUE
mp-1175337,Li7Mn5O12,3,TRUE,-0.1745317406,0.05954071148,-0.8682128618,0.08627654247,-0.6012413892,"['Li', 'Mn', 'O']",FALSE
mp-753133,Li3(FeO3)2,3,TRUE,0.3476110126,0.2494699703,-0.6057025484,-0.1774458852,-0.6093502777,"['Fe', 'Li', 'O']",FALSE
mp-773191,Li6Cr3Sb3O16,4,FALSE,-0.1688859696,0.1267172184,-0.4980442048,0.344321213,-0.3174670216,"['Cr', 'Li', 'O', 'Sb']",FALSE
mp-761173,LiV(SO4)3,4,FALSE,0.08678330155,0.1487349755,-0.08528617792,-0.8644278046,0.1119196952,"['Li', 'O', 'S', 'V']",FALSE
mp-763831,Li8Mn(O2F)2,4,TRUE,-0.3162486376,0.5258543422,0.8020487863,-0.9689245179,-0.3530771448,"['F', 'Li', 'Mn', 'O']",TRUE
mp-1178111,Li10Co3Ni7O20,4,TRUE,0.4881778608,0.362492109,-0.8682128618,0.6174903516,-0.2356389139,"['Co', 'Li', 'Ni', 'O']",FALSE
mp-568365,Li6Br3N,3,FALSE,0.7621380159,1.02301046,0.6710983231,-0.7217963496,3.003077129,"['Br', 'Li', 'N']",TRUE
mp-765841,LiV2O3F,4,FALSE,-0.6988345062,-0.172324108,-0.1329537716,0.09116220533,-0.3704789697,"['F', 'Li', 'O', 'V']",FALSE
mp-862684,LiHf2Os,3,FALSE,1.665589472,-8.588777857,-0.8682128618,6.431612631,-1.039311206,"['Hf', 'Li', 'Os']",FALSE
mp-685266,LiMg7N5,3,FALSE,1.250700481,0.1452216875,-0.8164149795,-0.8847259837,1.690016069,"['Li', 'Mg', 'N']",FALSE
mp-1393717,Li2MnVP2(O4F)2,6,TRUE,1.921274492,0.6616972109,-0.8682128618,-0.4009783361,-0.7090318841,"['F', 'Li', 'Mn', 'O', 'P', 'V']",FALSE
mp-759494,Li4V3P8O29,4,FALSE,-0.6565163525,-0.09634931814,-0.180079688,-0.8144734184,2.140458095,"['Li', 'O', 'P', 'V']",FALSE
mp-772597,Li2CuNiO4,4,TRUE,0.5733015237,0.475355186,-0.8682128618,0.5187630257,-0.8140920119,"['Cu', 'Li', 'Ni', 'O']",FALSE
mp-1290742,Li4MgNi3O8,4,TRUE,0.2876111881,0.4142967815,-0.7126160859,0.3366926073,-0.4351869667,"['Li', 'Mg', 'Ni', 'O']",FALSE
mp-769278,LiCuPO4,4,FALSE,-0.1731983751,0.1992076756,-0.491814917,-0.4185596152,-0.2225279924,"['Cu', 'Li', 'O', 'P']",FALSE
mp-758359,Li2CrSi4O11,4,FALSE,-0.9986565038,-0.168905555,-0.5107059094,-0.699155278,0.01750782731,"['Cr', 'Li', 'O', 'Si']",FALSE
mp-863361,Li3V3P8O29,4,FALSE,-0.6032808857,-0.103428041,-0.1901007162,-0.8471102462,2.180008346,"['Li', 'O', 'P', 'V']",FALSE
mp-756200,Li2SiNiO4,4,TRUE,-0.5247941481,0.1376601224,1.396471804,-0.3156125107,-0.2748732709,"['Li', 'Ni', 'O', 'Si']",TRUE
mp-1175086,Li7Mn2(CoO4)3,4,TRUE,0.1392650328,0.2158719702,-0.8682128618,0.1891203048,-0.611267146,"['Co', 'Li', 'Mn', 'O']",FALSE
mp-1211089,LiMnP2,3,TRUE,2.452135162,0.5967575268,-0.8682128618,-0.3349439405,-1.055438183,"['Li', 'Mn', 'P']",FALSE
mp-1018026,LiAg,2,FALSE,1.988882767,-1.381147233,-0.8682128618,1.374449576,-1.048469665,"['Ag', 'Li']",FALSE
mp-773801,NaLi5Fe2P2(CO7)2,6,TRUE,-0.375800737,0.02923654446,1.472103484,-0.6291446503,0.3978092704,"['C', 'Fe', 'Li', 'Na', 'O', 'P']",TRUE
mp-1210750,Li2ZnPb,3,FALSE,1.929994113,1.410132421,-0.8682128618,1.729359437,-1.021306045,"['Li', 'Pb', 'Zn']",FALSE
mp-761226,LiFe2(BO3)2,4,TRUE,-0.3238498308,-0.1792751843,0.2666008735,-0.3458223754,0.1632444504,"['B', 'Fe', 'Li', 'O']",TRUE
mp-25401,Li2TiPO4F,5,FALSE,-0.8060988992,0.07419236267,-0.8616450257,-0.5425847087,-0.6648355896,"['F', 'Li', 'O', 'P', 'Ti']",FALSE
mp-768354,Li4Mn5Co3O16,4,TRUE,0.1442014576,-0.01916597219,-0.8682128618,0.5350540189,-0.4633175413,"['Co', 'Li', 'Mn', 'O']",FALSE
mp-772169,Li4Fe3Ni3(TeO8)2,5,TRUE,0.2999792336,0.2102357084,-0.8682128618,0.7930800483,-0.3807349168,"['Fe', 'Li', 'Ni', 'O', 'Te']",FALSE
mp-774252,Li4Cr2Fe3Sb3O16,5,TRUE,-0.04051421235,0.03685387404,-0.2437944688,0.700981971,-0.3181674995,"['Cr', 'Fe', 'Li', 'O', 'Sb']",FALSE
mp-774742,Li3Sc2(PO4)3,4,FALSE,-1.261003165,-0.1576996894,2.293895506,-0.7386750126,1.629550157,"['Li', 'O', 'P', 'Sc']",TRUE
mp-780162,Li4Ti3(CoO4)3,4,TRUE,-0.4981116281,-0.07101847527,-0.4301314258,0.1262386014,0.07694241376,"['Co', 'Li', 'O', 'Ti']",FALSE
mp-1177146,Li5Bi(P2O7)2,4,FALSE,-0.6953194098,0.09362392895,1.963743253,-0.1723928491,0.3861843996,"['Bi', 'Li', 'O', 'P']",TRUE
mp-1180608,LiUAs(H4O5)2,5,FALSE,0.09022792688,0.2567285964,0.852424766,-0.2612062615,0.1545921299,"['As', 'H', 'Li', 'O', 'U']",TRUE
mp-1111113,Li2CuIrF6,4,FALSE,0.1487475901,-0.9386328035,-0.3678385477,0.5281993969,-0.8329454743,"['Cu', 'F', 'Ir', 'Li']",FALSE
mp-766697,Li2Si4NiO10,4,TRUE,-0.9146030672,-0.08114599467,1.800969254,-0.8786239203,1.476377053,"['Li', 'Ni', 'O', 'Si']",TRUE
mp-752721,LiCu2F5,3,FALSE,-0.1643739618,0.05516846517,-0.8682128618,0.03138895695,-0.6597367506,"['Cu', 'F', 'Li']",FALSE
mp-757513,Li2Mn3CoO8,4,TRUE,0.0303553915,-0.07021159629,0.09868094134,0.3265572189,0.4164158369,"['Co', 'Li', 'Mn', 'O']",TRUE
mp-30766,Li5Sn2,2,FALSE,1.732119758,1.267552078,-0.8682128618,-0.1059042834,-0.8748861789,"['Li', 'Sn']",FALSE
mp-775432,Li2V3TeO8,4,FALSE,-0.2843154913,-0.06564849605,-0.05380119064,0.3243278213,0.67440136,"['Li', 'O', 'Te', 'V']",FALSE
mp-1101504,LiMo(PO4)2,4,FALSE,-0.5179833826,-0.1252185301,0.09773300624,-0.82963615,-0.6788082728,"['Li', 'Mo', 'O', 'P']",TRUE
mp-26425,Li3Cr2P5O16,4,FALSE,-0.6945273452,-0.1094075068,1.054267233,-0.6741447064,0.6348892361,"['Cr', 'Li', 'O', 'P']",TRUE
mp-1101509,LiMo(PO4)2,4,FALSE,-0.5239942735,-0.126803773,0.0669928251,-0.7617267533,-0.7005461894,"['Li', 'Mo', 'O', 'P']",TRUE
mp-1235148,KLiNi2H3(SeO5)2,6,TRUE,0.713798252,0.4861262237,-0.4708249255,-0.08554377722,-0.5969977648,"['H', 'K', 'Li', 'Ni', 'O', 'Se']",FALSE
mp-759298,Li5V3P8O29,4,FALSE,-0.707472757,-0.08960813857,-0.07154111896,-0.8026901159,2.14322605,"['Li', 'O', 'P', 'V']",FALSE
mp-1310605,Li2Ti2V3O10,4,FALSE,-0.9258789516,-0.3497122286,-0.01662859274,-0.08939960284,-0.1180158629,"['Li', 'O', 'Ti', 'V']",FALSE
mp-772967,Li2Cr3BiO8,4,FALSE,-0.1651040659,-0.08507094386,-0.5801083007,0.9380855651,0.6485985623,"['Bi', 'Cr', 'Li', 'O']",FALSE
mp-1177562,Li3MnV(PO4)3,5,TRUE,-0.695875343,-0.08962485115,-0.5057631049,-0.5332696764,1.435132596,"['Li', 'Mn', 'O', 'P', 'V']",FALSE
mp-24104,LiAlSi2H2O7,5,FALSE,-0.8770696927,0.01447736103,2.421121939,-1.02247171,-0.3572578781,"['Al', 'H', 'Li', 'O', 'Si']",TRUE
mp-753635,Li4V2Cr3Co3O16,5,TRUE,-0.03066002367,-0.07892795432,-0.8682128618,0.4068484631,-0.4477544299,"['Co', 'Cr', 'Li', 'O', 'V']",FALSE
mp-1299584,Li2TiVO4,4,FALSE,-0.8503612376,-0.1576131517,-0.8682128618,0.07838690585,-0.3618927949,"['Li', 'O', 'Ti', 'V']",FALSE
mp-754917,Li(NiO2)2,3,TRUE,0.8951597542,0.396174967,-0.6399636314,0.675504332,-0.4792993595,"['Li', 'Ni', 'O']",FALSE
mp-1176685,LiMnP2O7,4,TRUE,-0.5840865963,-0.1065813342,-0.5121955217,-0.4990920234,1.772906095,"['Li', 'Mn', 'O', 'P']",FALSE
mp-26721,Li2Nb(PO4)2,4,FALSE,-0.8492086425,-0.1210746134,-0.8059199837,-0.4789837579,-0.3003417061,"['Li', 'Nb', 'O', 'P']",FALSE
mp-861725,LiTl2Rh,3,FALSE,2.007627366,-7.5705921,-0.8682128618,5.300860211,-1.02512057,"['Li', 'Rh', 'Tl']",FALSE
mp-1176119,Li9Mn2Co5O16,4,TRUE,0.1899793752,0.2257187813,-0.8528427712,0.2623175024,-0.4012379122,"['Co', 'Li', 'Mn', 'O']",FALSE
mp-757708,Li7V3P8O29,4,FALSE,-0.780842791,-0.07117438671,-0.4786792449,-0.7792511082,2.148898658,"['Li', 'O', 'P', 'V']",FALSE
mp-1204768,Li2B12H33N7,4,FALSE,1.72332461,0.6264396491,2.251103008,-1.959369641,5.179205319,"['B', 'H', 'Li', 'N']",TRUE
mp-1277613,Li2MgCo3O8,4,TRUE,0.3334698722,0.2499030091,-0.3162437943,0.2038432032,-0.4269966956,"['Co', 'Li', 'Mg', 'O']",FALSE
mp-776767,Li2VF4,3,FALSE,-1.159869091,0.3807768278,-0.6530315938,-0.8073311898,0.3545992428,"['F', 'Li', 'V']",FALSE
mp-1662153,Li2Ti3CoO8,4,TRUE,-1.046752048,-0.2755300316,0.471422565,0.04722691065,0.4907241247,"['Co', 'Li', 'O', 'Ti']",TRUE
mp-787524,Li4Fe(WO4)3,4,TRUE,-0.2617022646,-0.1892643897,0.6509208474,1.501529462,0.08506362849,"['Fe', 'Li', 'O', 'W']",TRUE
mp-725039,Li5Cr2P5O18,4,FALSE,2.327115283,0.7501844335,-0.8682128618,-0.4640259642,0.5863911712,"['Cr', 'Li', 'O', 'P']",FALSE
mp-8406,Li3NdAs2,3,FALSE,0.8863137013,-1.418793533,-0.8168212374,0.645170363,-0.9178709554,"['As', 'Li', 'Nd']",FALSE
mp-1175998,Li9Mn2Co5O16,4,TRUE,0.1800483202,0.2230996796,-0.6734121985,0.2780952163,-0.4059754677,"['Co', 'Li', 'Mn', 'O']",FALSE
mp-1177699,Li3Mn3CrO8,4,TRUE,-0.1609727342,-0.09853442716,-0.8682128618,0.1916365423,-0.8038391541,"['Cr', 'Li', 'Mn', 'O']",FALSE
mp-760783,Li3V2F12,3,FALSE,-1.176483488,0.4286852884,-0.7012408647,-1.114910328,1.98958681,"['F', 'Li', 'V']",FALSE
mp-861746,Li4V3CrO8,4,FALSE,-0.5235966145,-0.1248588996,-0.1705326274,0.1260898874,-0.3602157753,"['Cr', 'Li', 'O', 'V']",FALSE
mp-1177633,Li3Mn3CoO8,4,TRUE,0.05918229714,0.008264369745,-0.4566058989,0.4035361575,-0.4174410952,"['Co', 'Li', 'Mn', 'O']",FALSE
mp-766120,Li3VSi2O7,4,FALSE,-0.9460154394,-0.05650895362,0.5656066883,-0.6210941684,1.207961955,"['Li', 'O', 'Si', 'V']",TRUE
mp-25413,LiNiPO4F,5,TRUE,-0.2823694533,0.2017726688,-0.8079512732,-0.2436715518,-0.7294772057,"['F', 'Li', 'Ni', 'O', 'P']",FALSE
mp-849555,LiFeP2O7,4,TRUE,-0.5209360969,-0.07167398605,0.3177216593,-0.484938565,1.763351461,"['Fe', 'Li', 'O', 'P']",TRUE
mp-1177807,Li3Cr4P5O24,4,FALSE,-0.3206942029,-0.07850524891,-0.2301171194,-0.5863998676,1.323559753,"['Cr', 'Li', 'O', 'P']",FALSE
mp-860961,LiMnPO4,4,TRUE,-0.6537957896,-0.1373912096,1.252995056,-0.3748155048,0.6479520272,"['Li', 'Mn', 'O', 'P']",TRUE
mp-1367287,Li5Co2Ni3O10,4,TRUE,2.332353013,0.8390372752,-0.8682128618,0.6531044741,-0.742417778,"['Co', 'Li', 'Ni', 'O']",FALSE
mp-757654,Li7V3P8O29,4,FALSE,-0.7824105264,-0.07158784314,-0.8682128618,-0.7749465544,2.14049131,"['Li', 'O', 'P', 'V']",FALSE
mp-1236230,LiMn6(OF2)4,4,TRUE,-0.5770581246,-0.01810800934,-0.3945838595,-0.1014477096,-0.501903183,"['F', 'Li', 'Mn', 'O']",FALSE
mp-864601,LiMg2Rh,3,FALSE,1.770702719,1.096549363,-0.8682128618,0.2583529377,-1.054464947,"['Li', 'Mg', 'Rh']",FALSE
mp-1177035,Li6V3P8O29,4,FALSE,-0.7541079094,-0.08260470594,0.04261735107,-0.7917351279,2.147588241,"['Li', 'O', 'P', 'V']",TRUE
