,Price,Bedroom,Bathroom,sqft,zipcode,Address
101,"$168,800",4 Bd,2 Bath,"1,248 Sqft",13031,"63 North Street,
       
        Camillus, NY 13031"
102,"$289,900",4 Bd,3 Bath,"2,068 Sqft",13090,"8033 Princess Path,
       
        Clay, NY 13090"
103,"$399,000",3 Bd,4 Bath,"2,230 Sqft",13041,"8555 Mcnamara Drive,
       
        Clay, NY 13041"
104,"$194,900",,,,13069,"554 S 1st St,
       
        Fulton, NY 13069"
105,"$85,000",,,,13069,"364 South 6th Street,
       
        Fulton, NY 13069"
106,"$80,000",10 Bd,6 Bath,"4,478 Sqft",13209,"207 Cogswell Avenue,
       
        Syracuse, NY 13209"
107,"$129,900",3 Bd,1 Bath,"1,031 Sqft",13069,"109 W 3rd Street S,
       
        Fulton, NY 13069"
108,"$189,900",,,,13029,"9653 Black Creek Rd,
       
        Brewerton, NY 13029"
109,"$164,900",,,,13069,"8 N 7th St,
       
        Fulton, NY 13069"
110,"$260,000",3 Bd,2 Bath,"1,335 Sqft",13030,"1252 Palmer Circle,
       
        Sullivan, NY 13030"
111,"$299,900",4 Bd,2 Bath,"1,352 Sqft",13082,"8835 Bridgeport-Kirkville Road,
       
        Sullivan, NY 13082"
112,"$229,995",,,,13493,"15 Beach Road,
       
        Amboy, NY 13493"
113,"$149,900",3 Bd,1 Bath,730 Sqft,13316,"72 Sherman Hill Dr,
       
        Camden, NY 13316"
114,"$474,800",4 Bd,3 Bath,"2,080 Sqft",13032,"2998 State Route 31,
       
        Lenox, NY 13032"
115,"$25,000",,,,13032,"8899 N Main Street,
       
        Lenox, NY 13032"
116,"$124,900",,,,13063,"1041 County Route 37 Rd,
       
        Central Square, NY 13063"
117,"$249,900",2 Bd,1 Bath,"1,056 Sqft",13032,"8618 Stephens Road,
       
        Lenox, NY 13032"
118,"$649,900",1 Bd,1 Bath,800 Sqft,13493,"130 Base Bridge Rd,
       
        Williamstown, NY 13493"
119,"$220,000",,,,13057,"506 Fremont Rd,
       
        East Syracuse, NY 13057"
120,"$264,900",4 Bd,2 Bath,"1,736 Sqft",13212,"7191 Rosewood Circle,
       
        Cicero, NY 13212"
121,"$209,900",3 Bd,2 Bath,"1,535 Sqft",13316,"69 2nd Street,
       
        Camden, NY 13316"
122,"$175,000",,,,13157,"309 23rd Ave,
       
        Sylvan Beach, NY 13157"
123,"$234,000",3 Bd,2 Bath,"1,352 Sqft",13483,"11386 Westdale Road,
       
        Camden, NY 13483"
124,"$194,500",,,,13057,"103 Broadmore Ln,
       
        East Syracuse, NY 13057"
125,"$399,000",,,,13032,"8307 Lewis Point Rd,
       
        Canastota, NY 13032"
126,"$149,900",2 Bd,1 Bath,750 Sqft,13057,"523 Roby Avenue,
       
        Dewitt, NY 13057"
127,"$299,000",,,,13066,"523 E Genesee St,
       
        Fayetteville, NY 13066"
128,"$229,900",,,,13054,"7152 Cove Rd,
       
        Durhamville, NY 13054"
129,"$79,900",4 Bd,2 Bath,"2,524 Sqft",13032,"3085 Seneca Turnpike,
       
        Lenox, NY 13032"
130,"$199,900",,,,13206,"1130 N Glencove Rd Rd,
       
        Syracuse, NY 13206"
131,"$159,900",,,,13302,"93 Maple Landing Rd,
       
        Altmar, NY 13302"
132,"$189,900",,,,13029,"9653 Black Creek Rd,
       
        Brewerton, NY 13029"
133,"$124,900",,,,13063,"1041 County Route 37 Rd,
       
        Central Square, NY 13063"
134,"$399,000",3 Bd,4 Bath,"2,230 Sqft",13041,"8555 Mcnamara Drive,
       
        Clay, NY 13041"
135,"$169,000",3 Bd,1 Bath,900 Sqft,13076,"111 Pangborn Road,
       
        Hastings, NY 13076"
136,"$269,000",3 Bd,3 Bath,"1,804 Sqft",13088,"7369 Cedarpost Road,
       
        Clay, NY 13088"
137,"$289,900",4 Bd,3 Bath,"2,068 Sqft",13090,"8033 Princess Path,
       
        Clay, NY 13090"
138,"$264,900",4 Bd,2 Bath,"1,736 Sqft",13212,"7191 Rosewood Circle,
       
        Cicero, NY 13212"
139,"$524,900",3 Bd,3 Bath,"2,143 Sqft",13088,"4980 Astilbe,
       
        Clay, NY 13088"
140,"$329,900",3 Bd,3 Bath,"1,776 Sqft",13090,"3720 Black Brant Drive,
       
        Clay, NY 13090"
141,"$209,000",2 Bd,2 Bath,"1,200 Sqft",13090,"3647 Black Brant Drive,
       
        Clay, NY 13090"
142,"$194,900",2 Bd,2 Bath,"1,114 Sqft",13088,"121 Lueck Lane,
       
        Sloan, NY 13088"
143,"$170,000",2 Bd,1 Bath,"1,288 Sqft",13208,"518 CRAIG STREET,
       
        SYRACUSE, NY 13208"
144,"$134,900",,,,13135,"36 Spring St,
       
        Phoenix, NY 13135"
145,"$1,000",,,,13208,"510 Bear St,
       
        Syracuse, NY 13208"
146,"$29,900",3 Bd,1 Bath,"1,144 Sqft",13203,"244 Hier Ave,
       
        Syracuse, NY 13203"
147,"$149,900",2 Bd,1 Bath,750 Sqft,13057,"523 Roby Avenue,
       
        Dewitt, NY 13057"
148,"$110,000",,,,13208,"1803 Lodi St,
       
        Syracuse, NY 13208"
149,"$85,000",,,,13203,"104 S Alvord St,
       
        Syracuse, NY 13203"
150,"$194,500",,,,13057,"103 Broadmore Ln,
       
        East Syracuse, NY 13057"
151,"$224,900",3 Bd,2 Bath,"1,392 Sqft",13203,"817 Winton Street,
       
        Syracuse, NY 13203"
152,"$199,900",,,,13206,"1130 N Glencove Rd Rd,
       
        Syracuse, NY 13206"
153,"$209,000",,,,13206,"406 Plymouth Dr,
       
        Syracuse, NY 13206"
154,"$210,000",,,,13030,"0WP Bull St,
       
        Bridgeport, NY 13030"
155,"$260,000",3 Bd,2 Bath,"1,335 Sqft",13030,"1252 Palmer Circle,
       
        Sullivan, NY 13030"
156,"$299,900",4 Bd,2 Bath,"1,352 Sqft",13082,"8835 Bridgeport-Kirkville Road,
       
        Sullivan, NY 13082"
157,"$220,000",,,,13057,"506 Fremont Rd,
       
        East Syracuse, NY 13057"
158,"$194,500",,,,13057,"103 Broadmore Ln,
       
        East Syracuse, NY 13057"
159,"$264,900",4 Bd,2 Bath,"1,736 Sqft",13212,"7191 Rosewood Circle,
       
        Cicero, NY 13212"
160,"$149,900",2 Bd,1 Bath,750 Sqft,13057,"523 Roby Avenue,
       
        Dewitt, NY 13057"
161,"$299,000",,,,13066,"523 E Genesee St,
       
        Fayetteville, NY 13066"
162,"$199,900",,,,13206,"1130 N Glencove Rd Rd,
       
        Syracuse, NY 13206"
163,"$209,000",,,,13206,"406 Plymouth Dr,
       
        Syracuse, NY 13206"
164,"$220,900",,,,13206,"1028 Sunnycrest Rd,
       
        Syracuse, NY 13206"
165,"$124,900",,,,13063,"1041 County Route 37 Rd,
       
        Central Square, NY 13063"
166,"$238,000",,,,13104,"112 Academy St,
       
        Manlius, NY 13104"
167,"$224,900",3 Bd,2 Bath,"1,392 Sqft",13203,"817 Winton Street,
       
        Syracuse, NY 13203"
168,"$310,000",,,,13224,"218 Scott Ave,
       
        Syracuse, NY 13224"
169,"$29,900",3 Bd,1 Bath,"1,144 Sqft",13203,"244 Hier Ave,
       
        Syracuse, NY 13203"
170,"$170,000",2 Bd,1 Bath,"1,288 Sqft",13208,"518 CRAIG STREET,
       
        SYRACUSE, NY 13208"
171,"$269,000",3 Bd,3 Bath,"1,804 Sqft",13088,"7369 Cedarpost Road,
       
        Clay, NY 13088"
172,"$85,000",,,,13203,"104 S Alvord St,
       
        Syracuse, NY 13203"
173,"$524,900",3 Bd,3 Bath,"2,143 Sqft",13088,"4980 Astilbe,
       
        Clay, NY 13088"
174,"$110,000",,,,13208,"1803 Lodi St,
       
        Syracuse, NY 13208"
175,"$1,000",,,,13208,"510 Bear St,
       
        Syracuse, NY 13208"
176,"$309,900",,,,13031,"117 Munro Dr,
       
        Camillus, NY 13031"
177,"$89,000",,,,13031,"120 Gulf Rd,
       
        Camillus, NY 13031"
178,"$168,800",4 Bd,2 Bath,"1,248 Sqft",13031,"63 North Street,
       
        Camillus, NY 13031"
179,"$230,000",2 Bd,1 Bath,936 Sqft,13112,"6520 CHURCH ST,
       
        MEMPHIS, NY 13112"
180,"$199,900",,,,13209,"123 Peck Rd Ext,
       
        Syracuse, NY 13209"
181,"$234,787",,,,13209,"123 Peck Road Ext,
       
        Van Buren Pt, NY 13209"
182,"$399,900",5 Bd,4 Bath,"2,920 Sqft",13027,"33 Waterfront Drive,
       
        Van Buren Pt, NY 13027"
183,"$235,000",1 Bd,1 Bath,697 Sqft,13027,"1082 LYNCH RD,
       
        BALDWINSVILLE, NY 13027"
184,"$80,000",10 Bd,6 Bath,"4,478 Sqft",13209,"207 Cogswell Avenue,
       
        Syracuse, NY 13209"
185,"$165,000",,,,13112,"7991 Plainville Rd,
       
        Memphis, NY 13112"
186,"$215,000",,,,13219,"216 Draper Ave,
       
        Syracuse, NY 13219"
187,"$235,000",4 Bd,1 Bath,"1,762 Sqft",13219,"306 MONTROSE AVENUE,
       
        SYRACUSE, NY 13219"
188,"$105,000",,,,13204,"121 Hayden Ave,
       
        Syracuse, NY 13204"
189,"$209,000",2 Bd,2 Bath,"1,200 Sqft",13090,"3647 Black Brant Drive,
       
        Clay, NY 13090"
190,"$329,900",3 Bd,3 Bath,"1,776 Sqft",13090,"3720 Black Brant Drive,
       
        Clay, NY 13090"
191,"$289,900",4 Bd,3 Bath,"2,068 Sqft",13090,"8033 Princess Path,
       
        Clay, NY 13090"
192,"$194,900",2 Bd,2 Bath,"1,114 Sqft",13088,"121 Lueck Lane,
       
        Sloan, NY 13088"
193,"$1,000",4 Bd,2 Bath,"2,722 Sqft",13204,"106 Onondaga Ave,
       
        Syracuse, NY 13204"
194,"$15,000",6 Bd,4 Bath,"3,906 Sqft",13204,"757 Onondaga St W,
       
        Syracuse, NY 13204"
195,"$129,900",,,,13207,"161 Charmouth Dr,
       
        Syracuse, NY 13207"
196,"$10,000",10 Bd,2 Bath,"5,198 Sqft",13204,"678 Onondaga St W,
       
        Syracuse, NY 13204"
197,"$135,000",,,,13207,"109 Elmwood Ave,
       
        Syracuse, NY 13207"
198,"$249,900",2 Bd,1 Bath,"1,056 Sqft",13032,"8618 Stephens Road,
       
        Lenox, NY 13032"
199,"$19,900",2 Bd,1 Bath,"1,440 Sqft",13032,"6006 Quarry Road,
       
        Lincolndale, NY 13032"
200,"$249,900",,,,13032,"103 Rasbach St,
       
        Canastota, NY 13032"
201,"$399,000",,,,13032,"8307 Lewis Point Rd,
       
        Canastota, NY 13032"
202,"$287,000",,,,13032,"4009 Seeber Rd,
       
        Canastota, NY 13032"
203,"$474,800",4 Bd,3 Bath,"2,080 Sqft",13032,"2998 State Route 31,
       
        Lenox, NY 13032"
204,"$79,900",4 Bd,2 Bath,"2,524 Sqft",13032,"3085 Seneca Turnpike,
       
        Lenox, NY 13032"
205,"$115,000",5 Bd,4 Bath,"2,402 Sqft",13032,"215 James Street,
       
        Lenox, NY 13032"
206,"$225,000",3 Bd,2 Bath,"2,112 Sqft",13032,"214 Prospect Street,
       
        Lenox, NY 13032"
207,"$25,000",,,,13032,"8899 N Main Street,
       
        Lenox, NY 13032"
208,"$599,000",,,,13035,"4955 Nelson Rd,
       
        Cazenovia, NY 13035"
209,"$649,900",2 Bd,1 Bath,850 Sqft,13783,"9003 County Highway 28,
       
        Hancock, NY 13783"
210,"$499,900",4 Bd,3 Bath,"2,474 Sqft",13035,"1697 North Lake Road,
       
        Cazenovia, NY 13035"
211,"$149,500",3 Bd,1 Bath,"1,009 Sqft",13035,"11 Lyman Street,
       
        Cazenovia, NY 13035"
212,"$595,000",,,,13035,"1030 Marlyn Park,
       
        azenovia, NY 13035"
213,"$59,000",4 Bd,1 Bath,912 Sqft,13408,"5206 Swamp Road,
       
        Smithfield, NY 13408"
214,"$439,000",,,,13408,"4762 South Butler,
       
        Morrisville, NY 13408"
215,"$34,800",3 Bd,1 Bath,"1,600 Sqft",13421,"387 Washington Avenue,
       
        Oneida, NY 13421"
216,"$200,000",3 Bd,2 Bath,"1,694 Sqft",13421,"256 Belmont Avenue,
       
        Oneida, NY 13421"
217,"$139,900",6 Bd,2 Bath,"2,606 Sqft",13421,"230 W Walnut Street,
       
        Oneida, NY 13421"
218,"$105,000",4 Bd,2 Bath,"1,907 Sqft",13421,"212 Bates Avenue,
       
        Oneida, NY 13421"
219,"$238,000",,,,13104,"112 Academy St,
       
        Manlius, NY 13104"
220,"$325,000",,,,13033,"11468 Calkins Rd,
       
        Cato, NY 13033"
221,"$165,000",,,,13112,"7991 Plainville Rd,
       
        Memphis, NY 13112"
222,"$494,900",4 Bd,4 Bath,"2,476 Sqft",13166,"4 Ross Circle,
       
        Brutus, NY 13166"
223,"$235,000",1 Bd,1 Bath,697 Sqft,13027,"1082 LYNCH RD,
       
        BALDWINSVILLE, NY 13027"
224,"$129,900",3 Bd,1 Bath,"1,031 Sqft",13069,"109 W 3rd Street S,
       
        Fulton, NY 13069"
225,"$384,900",4 Bd,3 Bath,"2,128 Sqft",13021,"2640 Turnpike Rd,
       
        Auburn, NY 13021"
226,"$194,900",,,,13069,"554 S 1st St,
       
        Fulton, NY 13069"
227,"$309,900",3 Bd,1 Bath,"2,318 Sqft",13021,"7242 State Street Road,
       
        Throop, NY 13021"
228,"$85,000",,,,13069,"364 South 6th Street,
       
        Fulton, NY 13069"
229,"$399,900",5 Bd,4 Bath,"2,920 Sqft",13027,"33 Waterfront Drive,
       
        Van Buren Pt, NY 13027"
230,"$164,900",,,,13069,"8 N 7th St,
       
        Fulton, NY 13069"
231,"$230,000",2 Bd,1 Bath,936 Sqft,13112,"6520 CHURCH ST,
       
        MEMPHIS, NY 13112"
232,"$169,900",3 Bd,2 Bath,"1,309 Sqft",13021,"6995 N Division Street Road,
       
        Throop, NY 13021"
233,"$269,900",3 Bd,2 Bath,"2,664 Sqft",13021,"3342 Franklin Street Road,
       
        Sennett, NY 13021"
234,"$49,900",2 Bd,1 Bath,"1,242 Sqft",13021,"53 West Street,
       
        Auburn, NY 13021"
235,"$150,000",,,,13021,"5 Lafayette Pl,
       
        Auburn, NY 13021"
236,"$329,900",3 Bd,1 Bath,"1,378 Sqft",14590,"7809 Eagle Road,
       
        Wolcott, NY 14590"
237,"$349,900",4 Bd,2 Bath,"1,680 Sqft",13021,"6439 Sharon Drive,
       
        Sennett, NY 13021"
238,"$283,500",,,,13126,"145 Hillside Ave,
       
        Oswego, NY 13126"
239,"$249,900",3 Bd,2 Bath,"1,632 Sqft",13021,"7336 Owasco Road,
       
        Owasco, NY 13021"
240,"$156,900",3 Bd,2 Bath,"1,506 Sqft",13021,"29 Van Patten,
       
        Auburn, NY 13021"
241,"$224,900",3 Bd,2 Bath,"1,144 Sqft",13021,"42 Wilbur Avenue,
       
        Auburn, NY 13021"
242,"$880,000",6 Bd,4 Bath,"2,600 Sqft",13034,"5885 Waynes Point,
       
        New York, NY 13034"
243,"$309,999",3 Bd,2 Bath,"1,539 Sqft",13034,"6689 State Route 90 N,
       
        New York, NY 13034"
244,"$199,900",3 Bd,1 Bath,"1,444 Sqft",13021,"1370 W Genesee Street Road,
       
        New York, NY 13021"
245,"$269,000",3 Bd,2 Bath,"2,214 Sqft",13148,"2263 Lower Lake Road,
       
        Seneca Falls, NY 13148"
246,"$249,900",3 Bd,1 Bath,"1,300 Sqft",13148,"3221 Jackson Road,
       
        Seneca Falls, NY 13148"
247,"$150,000",,,,13021,"5 Lafayette Pl,
       
        Auburn, NY 13021"
248,"$156,900",3 Bd,2 Bath,"1,506 Sqft",13021,"29 Van Patten,
       
        Auburn, NY 13021"
249,"$169,900",3 Bd,2 Bath,"1,309 Sqft",13021,"6995 N Division Street Road,
       
        Throop, NY 13021"
250,"$49,900",2 Bd,1 Bath,"1,242 Sqft",13021,"53 West Street,
       
        Auburn, NY 13021"
251,"$159,900",4 Bd,2 Bath,"1,731 Sqft",13148,"2925 E Bayard Street Extension,
       
        Seneca Falls, NY 13148"
252,"$309,900",3 Bd,1 Bath,"2,318 Sqft",13021,"7242 State Street Road,
       
        Throop, NY 13021"
253,"$172,000",4 Bd,2 Bath,"1,796 Sqft",13148,"16 Courtney Drive,
       
        Seneca Falls, NY 13148"
254,"$269,900",3 Bd,2 Bath,"1,722 Sqft",13021,"5505 State Route 34,
       
        Fleming, NY 13021"
255,"$189,900",4 Bd,2 Bath,"1,856 Sqft",13148,"22 Washington Street,
       
        Seneca Falls, NY 13148"
256,"$169,900",3 Bd,1 Bath,"1,555 Sqft",13148,"117 State Street,
       
        Seneca Falls, NY 13148"
