customer,duration,profit,acq_exp,ret_exp,acq_exp_sq,ret_exp_sq,freq,freq_sq,crossbuy,sow,industry,revenue,employees,acquisition
113,1066,3708.51,492,440.75,242064,194260.56,7,49,8,39,0,40.25,814,1
114,1049,3718.4,472.35,435.92,223114.52,190026.25,4,16,3,80,1,60.71,505,1
115,1524,5318.89,864.1,782.61,746668.81,612478.41,10,100,7,74,1,63.17,677,1
116,1121,4353.54,720.21,486.72,518702.44,236896.36,4,16,3,57,1,46.12,818,1
117,1109,4002.32,478.51,502.16,228971.82,252164.67,9,81,7,72,0,38.75,1117,1
118,1242,4152.24,491.32,536.85,241395.34,288207.92,6,36,8,68,1,46.04,620,1
119,0,-121.18,121.18,0,14684.59,0,0,0,0,0,0,40.57,512,0
120,0,-754.02,754.02,0,568546.16,0,0,0,0,0,0,34.3,609,0
121,1077,4112.32,695.24,440.44,483358.66,193987.39,9,81,8,49,1,19.15,1105,1
122,0,-768.8,768.8,0,591053.44,0,0,0,0,0,1,44.61,500,0
123,0,-343.87,343.87,0,118246.58,0,0,0,0,0,0,51.88,600,0
124,806,3098.96,417.38,369.04,174206.06,136190.52,16,256,7,71,1,42.6,632,1
125,1164,3816.4,504.7,500.2,254722.09,250200.04,7,49,4,54,0,35.62,653,1
126,1006,3581.72,485.44,421.93,235651.99,178024.92,10,100,7,99,0,47.32,764,1
127,1088,4134.45,579.53,482.93,335855.02,233221.38,11,121,9,55,1,53.26,488,1
128,1246,4174.12,584.75,558.02,341932.56,311386.32,9,81,5,78,0,27.7,843,1
129,0,-463.6,463.6,0,214924.96,0,0,0,0,0,1,32.43,440,0
130,1073,3528.98,450.21,448.42,202689.04,201080.5,6,36,7,46,0,55.3,538,1
131,1268,4449.03,676.58,550.58,457760.5,303138.34,4,16,7,92,0,34.69,937,1
132,950,3461.42,521.44,383.3,271899.67,146918.89,8,64,8,51,1,38.48,523,1
133,1386,4662.24,701.9,657.69,492663.61,432556.14,6,36,2,72,1,31.4,448,1
134,0,-409.29,409.29,0,167518.3,0,0,0,0,0,0,26.52,440,0
135,0,-748.57,748.57,0,560357.04,0,0,0,0,0,0,52.96,694,0
136,861,3025.64,414.37,306.72,171702.5,94077.16,7,49,11,66,0,49.51,774,1
137,1020,3173.13,333.96,477.17,111529.28,227691.21,14,196,5,47,1,41.55,447,1
138,986,4023.97,727.27,425.71,528921.65,181229,14,196,9,80,1,50.16,657,1
139,0,-868.21,868.21,0,753788.6,0,0,0,0,0,0,42.7,398,0
140,1222,4335.83,504.25,543.99,254268.06,295925.12,8,64,9,94,1,30.24,818,1
141,0,-388.71,388.71,0,151095.46,0,0,0,0,0,0,37.23,851,0
142,0,-613.33,613.33,0,376173.69,0,0,0,0,0,0,31.16,871,0
143,1273,3814.44,344.62,610.82,118762.94,373101.07,5,25,4,7,1,54.6,414,1
144,854,3251.59,473.22,335.25,223937.17,112392.56,5,25,5,31,1,45.36,982,1
145,887,3645.39,571.39,352.09,326486.53,123967.37,11,121,11,54,1,33.82,1016,1
146,689,2517.84,386.08,234.06,149057.77,54784.08,7,49,6,63,0,50.41,559,1
147,0,-407.88,407.88,0,166366.09,0,0,0,0,0,0,33.23,423,0
148,905,3475.39,515.48,383.92,265719.63,147394.57,11,121,4,63,1,39.67,972,1
149,0,-684.62,684.62,0,468704.54,0,0,0,0,0,0,47.66,734,0
150,0,-383.14,383.14,0,146796.26,0,0,0,0,0,0,14.49,576,0
151,996,3836.25,771.33,395.14,594949.97,156135.62,12,144,6,80,0,46.77,542,1
152,860,3257.06,481.93,323.86,232256.52,104885.3,5,25,8,67,1,43.04,478,1
153,1270,4562.1,527,694.04,277729,481691.52,15,225,3,36,0,46.51,883,1
154,833,3262.6,569.93,326,324820.2,106276,11,121,3,100,0,51.99,636,1
155,0,-238.33,238.33,0,56801.19,0,0,0,0,0,0,33.72,770,0
156,950,3651.27,605.85,364.97,367054.22,133203.1,5,25,7,46,1,33.53,896,1
157,0,-462.49,462.49,0,213897,0,0,0,0,0,0,39.45,518,0
158,883,3157.96,434.43,360.14,188729.42,129700.82,7,49,4,76,1,50.14,476,1
159,873,3518.92,502.71,463.32,252717.34,214665.42,21,441,7,79,1,22.87,1016,1
160,1205,3930.34,435.33,548.65,189512.21,301016.82,9,81,4,56,1,32.31,582,1
161,0,-891.97,891.97,0,795610.48,0,0,0,0,0,1,28.44,366,0
162,0,-264.71,264.71,0,70071.38,0,0,0,0,0,1,34.32,363,0
163,1358,3954.44,405.96,653.97,164803.52,427676.76,7,49,6,52,1,41.98,56,1
164,0,-705.68,705.68,0,497984.26,0,0,0,0,0,1,36.43,585,0
165,683,2032.95,171.6,263.35,29446.56,69353.22,11,121,3,67,1,25.03,1142,1
166,1410,4746.71,666.24,656.55,443875.74,431057.9,4,16,9,38,1,30.38,721,1
167,1118,3206.43,293.58,470.67,86189.22,221530.25,3,9,9,40,1,23.22,555,1
168,1004,3898.85,620.68,484.81,385243.66,235040.74,18,324,8,56,0,29.67,862,1
169,1354,4559.35,685.44,634,469827.99,401956,10,100,8,59,0,40.18,703,1
170,977,3500.98,492.6,404.09,242654.76,163288.73,6,36,5,41,1,45.23,658,1
171,0,-410.9,410.9,0,168838.81,0,0,0,0,0,0,52.64,445,0
172,1373,4682.82,510.51,648.18,260620.46,420137.31,9,81,10,80,0,46.44,766,1
173,1382,4703.88,596.18,672.6,355430.59,452390.76,8,64,6,61,1,49.17,475,1
174,0,-396.85,396.85,0,157489.92,0,0,0,0,0,0,29.42,565,0
175,0,-432.58,432.58,0,187125.46,0,0,0,0,0,0,43.86,365,0
176,1656,5263.9,525.1,983.56,275730.01,967390.27,8,64,6,22,0,36.74,652,1
177,990,3416.14,518.14,394,268469.06,155236,5,25,4,50,0,43.87,662,1
178,1075,3856.09,684.61,433.27,468690.85,187722.89,10,100,6,71,0,43.25,455,1
179,870,3254.38,513.66,319.94,263846.6,102361.6,3,9,6,58,0,35.67,874,1
180,969,2765.56,181.76,397.03,33036.7,157632.82,5,25,5,53,1,47.61,923,1
181,1259,4237.41,476.53,612.28,227080.84,374886.8,11,121,5,78,1,33.53,463,1
182,1070,3718.4,427.9,439.52,183098.41,193177.83,5,25,8,94,1,44.89,810,1
183,0,-185.05,185.05,0,34243.5,0,0,0,0,0,1,47.49,529,0
184,1149,3631.69,378.68,489.6,143398.54,239708.16,1,1,8,67,1,41.21,560,1
185,0,-492,492,0,242064,0,0,0,0,0,1,33.66,365,0
186,0,-619.04,619.04,0,383210.52,0,0,0,0,0,0,31.58,400,0
187,0,-570.76,570.76,0,325766.98,0,0,0,0,0,0,42.56,634,0
188,0,-470.59,470.59,0,221454.95,0,0,0,0,0,1,50.77,469,0
189,0,-233.77,233.77,0,54648.41,0,0,0,0,0,0,35.36,600,0
190,1214,4528.88,684.56,531.31,468622.39,282290.32,9,81,4,84,1,41.55,1337,1
191,0,-754.34,754.34,0,569028.84,0,0,0,0,0,0,39.88,688,0
192,1038,3596.6,460.91,447.21,212438.03,199996.78,9,81,5,38,1,37.02,693,1
193,1100,3314.93,325.63,523.8,106034.9,274366.44,16,256,7,54,0,29.62,785,1
194,1002,3958.79,565.61,453.39,319914.67,205562.49,13,169,8,69,1,46.05,925,1
195,1007,3212.36,376.18,419.24,141511.39,175762.18,12,144,8,63,0,33.86,635,1
196,0,-516.33,516.33,0,266596.67,0,0,0,0,0,0,32.54,177,0
197,1375,4639.2,456.33,664.93,208237.07,442131.9,9,81,6,116,0,44.13,1097,1
198,1054,3797.01,611.83,482.88,374335.95,233173.09,13,169,3,53,1,48.81,325,1
199,0,-229.49,229.49,0,52665.66,0,0,0,0,0,0,27.11,558,0
200,1472,5559.1,623.77,965.4,389089.01,931997.16,18,324,7,69,1,52.53,675,1
201,0,-666.21,666.21,0,443835.76,0,0,0,0,0,0,33.34,417,0
202,1061,3732.68,529.16,461.65,280010.31,213120.72,13,169,6,60,1,32.56,631,1
203,0,-597.75,597.75,0,357305.06,0,0,0,0,0,0,43.19,624,0
204,1197,3773.75,365.04,540.64,133254.2,292291.61,11,121,4,115,0,46.69,830,1
205,0,-902.47,902.47,0,814452.1,0,0,0,0,0,1,40.5,484,0
206,0,-440,440,0,193600,0,0,0,0,0,1,22.06,213,0
207,913,2719.45,323.44,362.23,104613.43,131210.57,5,25,3,1,0,47.2,590,1
208,1329,4402.36,687.16,597.08,472188.87,356504.53,4,16,4,76,0,33.94,425,1
209,1157,3795,511.23,502.92,261356.11,252928.53,7,49,4,25,1,50.74,503,1
210,1176,4119.04,485.01,555.34,235234.7,308402.52,11,121,7,54,1,36.36,784,1
211,1006,3392.04,427.17,424.83,182474.21,180480.53,10,100,3,46,0,55.94,1180,1
212,981,3046.48,288.6,421.17,83289.96,177384.17,10,100,4,18,1,47.83,705,1
213,1235,4310.66,494.84,583.05,244866.63,339947.3,10,100,6,62,1,37.78,729,1
214,0,-539.88,539.88,0,291470.41,0,0,0,0,0,0,54.41,593,0
215,0,-838.33,838.33,0,702797.19,0,0,0,0,0,1,37.11,779,0
216,953,3152.44,395.86,399.76,156705.14,159808.06,12,144,4,61,1,15.86,715,1
217,0,-633.95,633.95,0,401892.6,0,0,0,0,0,0,47.44,674,0
218,882,2782.26,334.82,342.79,112104.43,117504.98,1,1,5,31,0,39.07,896,1
219,1230,4203.64,519.82,570.27,270212.83,325207.87,5,25,4,57,1,42.27,1165,1
220,1071,3438.5,308.18,533.87,94974.91,285017.18,16,256,6,51,0,40.32,931,1
221,1340,3174.9,167.09,619.56,27919.07,383854.59,8,64,4,56,1,43.31,381,1
222,944,3168.83,467.59,396.44,218640.41,157164.67,9,81,1,30,0,41.4,626,1
223,1146,2814.55,151.04,502.95,22813.08,252958.7,9,81,5,62,1,32.24,732,1
224,1092,3935.37,659.86,458.81,435415.22,210506.62,11,121,5,66,1,47.63,348,1
225,859,3087.25,456.53,330.55,208419.64,109263.3,9,81,8,55,1,51.85,486,1
226,0,-812.99,812.99,0,660952.74,0,0,0,0,0,0,38.04,712,0
227,946,3776.15,673.9,400.12,454141.21,160096.01,13,169,7,76,0,37.24,1123,1
228,1041,3840.43,518.43,445.2,268769.66,198203.04,11,121,7,87,1,55.54,512,1
229,0,-202.01,202.01,0,40808.04,0,0,0,0,0,0,47.6,347,0
230,1232,4071.29,418.49,549.64,175133.88,302104.13,5,25,8,70,1,49.17,564,1
231,1014,3501.18,428.94,439.02,183989.52,192738.56,8,64,1,48,1,43.33,795,1
232,0,-458.09,458.09,0,209846.45,0,0,0,0,0,0,50.48,348,0
233,1498,5195.72,739.32,828.04,546594.06,685650.24,11,121,3,66,0,36.85,970,1
234,877,3645.77,641.4,399.28,411393.96,159424.52,16,256,7,43,1,42.29,684,1
235,1175,3464.67,316.47,522.82,100153.26,273340.75,4,16,5,38,0,27.98,997,1
236,1025,3432.62,543.81,423.82,295729.32,179623.39,10,100,5,44,1,31.07,245,1
237,1499,4357.45,301.76,791.52,91059.1,626503.91,1,1,5,48,0,34.6,981,1
238,0,-540.82,540.82,0,292486.27,0,0,0,0,0,0,30.12,304,0
239,0,-344.59,344.59,0,118742.27,0,0,0,0,0,0,32.27,480,0
240,0,-439.02,439.02,0,192738.56,0,0,0,0,0,0,44.76,674,0
241,1016,3964.82,644.35,415.31,415186.92,172482.4,10,100,4,91,1,48.11,799,1
242,982,3331.69,436.5,385.14,190532.25,148332.82,6,36,6,55,1,19.4,894,1
243,990,3531.38,597.58,392.24,357101.86,153852.22,12,144,6,68,0,45.79,503,1
244,1085,3684.68,458.96,460.89,210644.28,212419.59,5,25,6,40,1,48.04,934,1
245,1342,3805.36,278.34,628.03,77473.16,394421.68,6,36,5,50,1,39.78,937,1
246,984,2614.36,195.54,425,38235.89,180625,15,225,6,67,1,23.44,573,1
247,1252,4320.96,686.77,530.52,471653.03,281451.47,6,36,9,58,0,41.74,594,1
248,963,3914.33,820.69,365.55,673532.08,133626.8,5,25,5,77,1,45.46,881,1
249,778,3124.63,497.72,318.52,247725.2,101454.99,12,144,5,24,1,52.69,602,1
250,1172,4045.35,645.52,543.03,416696.07,294881.58,14,196,7,51,0,43.98,606,1
251,978,3849.98,566.34,434.91,320741,189146.71,12,144,7,70,1,34.2,803,1
252,0,-322.81,322.81,0,104206.3,0,0,0,0,0,0,26.73,986,0
253,1042,3911.29,542.3,483.71,294089.29,233975.36,14,196,4,59,1,50.98,907,1
254,1216,4219.09,571.42,534.21,326520.82,285380.32,4,16,6,67,1,39.56,937,1
255,1080,3253.63,302.14,446.24,91288.58,199130.14,1,1,5,60,1,59.7,508,1
256,678,2762.13,522.26,237.12,272755.51,56225.89,11,121,8,42,0,25.86,891,1
257,850,3261.63,522.75,346.39,273267.56,119986.03,11,121,2,42,0,41.41,1129,1
258,0,-1016.18,1016.18,0,1032621.79,0,0,0,0,0,0,31.3,397,0
259,998,3849.28,600.19,418.92,360228.04,175493.97,7,49,8,37,1,37.87,774,1
260,0,-687.87,687.87,0,473165.14,0,0,0,0,0,1,46.47,277,0
261,0,-505.65,505.65,0,255681.92,0,0,0,0,0,1,27.47,18,0
262,809,3304.82,579.93,299.08,336318.8,89448.85,9,81,3,72,1,54.37,572,1
263,1526,4548.04,302.43,790.93,91463.9,625570.26,10,100,7,62,1,20.15,849,1
264,1150,4336.06,619.67,562.43,383990.91,316327.5,14,196,6,55,1,51.71,661,1
265,0,-320.36,320.36,0,102630.53,0,0,0,0,0,1,21.3,427,0
266,788,3248.78,657.21,276.97,431924.98,76712.38,6,36,5,78,0,53.78,731,1
267,0,-256.52,256.52,0,65802.51,0,0,0,0,0,1,36.04,589,0
268,1108,4155.78,558.87,475.79,312335.68,226376.12,5,25,10,68,1,33.18,800,1
269,1449,5248.46,579.14,845.87,335403.14,715496.06,16,256,10,56,0,40.76,1080,1
270,1602,4879.96,249.9,906.24,62450.01,821270.94,6,36,8,33,1,49.32,1118,1
271,1143,3752.26,393.86,496.35,155125.7,246363.32,7,49,6,57,1,25.51,919,1
272,0,-43.15,43.15,0,1861.92,0,0,0,0,0,1,36.14,1172,0
273,946,3263,484.72,355.55,234953.48,126415.8,6,36,6,49,1,47.94,348,1
274,888,3218.62,485.37,365.2,235584.04,133371.04,11,121,5,9,1,45.48,579,1
275,1071,3862.95,520.81,477.62,271243.06,228120.86,12,144,7,62,0,38.91,933,1
276,973,3542.99,410.55,445.49,168551.3,198461.34,16,256,11,83,1,48.63,609,1
277,0,-674.66,674.66,0,455166.12,0,0,0,0,0,1,44.42,258,0
278,0,-269.82,269.82,0,72802.83,0,0,0,0,0,0,46.89,569,0
279,952,3052.25,310.14,436.26,96186.82,190322.79,14,196,4,27,1,23.17,1203,1
280,0,-508.14,508.14,0,258206.26,0,0,0,0,0,0,32.71,507,0
281,931,3359.85,473.06,359.47,223785.76,129218.68,7,49,5,54,1,45.4,837,1
282,0,-171.56,171.56,0,29432.83,0,0,0,0,0,0,43.8,475,0
283,0,-384.47,384.47,0,147817.18,0,0,0,0,0,0,36.65,534,0
284,1377,4599.76,488.97,671.47,239091.66,450871.96,8,64,4,75,0,58.32,1045,1
285,1016,3333.46,366.65,410.67,134432.22,168649.85,5,25,10,40,1,44.47,711,1
286,0,-552.92,552.92,0,305720.53,0,0,0,0,0,0,17.74,427,0
287,1460,4455.39,414.88,733.3,172125.41,537728.89,5,25,7,35,0,65.1,422,1
288,1023,3814.86,484.53,514.96,234769.32,265183.8,18,324,4,70,0,50.75,1259,1
289,1218,3222.85,276.69,527.09,76557.36,277823.87,8,64,5,56,0,45.82,521,1
290,0,-540.1,540.1,0,291708.01,0,0,0,0,0,0,41.99,767,0
291,881,3393.07,618.23,356.42,382208.33,127035.22,12,144,7,29,1,34.11,386,1
292,1497,4815.68,536.27,746.99,287585.51,557994.06,1,1,6,73,1,34.19,598,1
293,1045,3508.03,408.3,446.27,166708.89,199156.91,9,81,6,36,0,41.61,769,1
294,1026,3643.51,549.98,422.9,302478,178844.41,5,25,7,33,0,46.64,641,1
295,0,-521.42,521.42,0,271878.82,0,0,0,0,0,1,35.81,386,0
296,0,-522.48,522.48,0,272985.35,0,0,0,0,0,0,47.59,577,0
297,655,2959,532.88,231.41,283961.09,53550.59,8,64,3,80,1,45.41,817,1
298,731,3373.24,805.32,252,648540.3,63504,3,9,6,39,1,46.69,739,1
299,883,2850.39,382.1,332.35,146000.41,110456.52,9,81,6,47,0,52.41,584,1
300,1115,3751.74,369.44,528.24,136485.91,279037.5,13,169,8,68,1,35.48,822,1
301,0,-785.55,785.55,0,617088.8,0,0,0,0,0,1,33.52,454,0
302,1142,4296.13,679.82,508.02,462155.23,258084.32,13,169,8,85,1,51.91,428,1
303,850,3017.21,376.39,328.09,141669.43,107643.05,7,49,8,47,0,47.21,804,1
304,1237,4107.24,447.51,605.29,200265.2,366375.98,12,144,8,32,0,42.32,660,1
305,1328,4539.68,542.22,671.19,294002.53,450496.02,14,196,7,62,0,34.26,806,1
306,733,2987.72,500.91,281.13,250910.83,79034.08,3,9,4,40,0,34.75,1126,1
307,1284,4104.59,413.92,598.21,171329.77,357855.2,6,36,5,28,1,43.65,763,1
308,0,-677.25,677.25,0,458667.56,0,0,0,0,0,0,42.41,321,0
309,872,3169.66,492.21,336.43,242270.68,113185.14,9,81,7,100,0,49.12,400,1
310,1099,3642.03,468.61,452.21,219595.33,204493.88,7,49,7,61,0,33.09,654,1
311,1633,5433.94,579.44,1001.8,335750.71,1003603.24,11,121,7,46,0,28.59,682,1
312,0,-606.85,606.85,0,368266.92,0,0,0,0,0,1,29.19,372,0
313,1289,4221.76,429.24,634.04,184246.98,402006.72,12,144,4,81,1,43.76,985,1
314,1103,4018.83,679.68,445.68,461964.9,198630.66,5,25,10,73,1,24.93,645,1
315,1490,4930.86,483.41,766.56,233685.23,587614.23,6,36,6,72,1,23.28,732,1
316,1122,4154.39,613.46,477.83,376333.17,228321.51,2,4,9,58,1,47.63,1174,1
