customer,first_purchase,clv,duration,censor,acq_expense,acq_expense_sq,industry,revenue,employees,ret_expense,ret_expense_sq,crossbuy,frequency,frequency_sq,acquisition
29,475.35,6.7646,730,1,662.62,439065.26,1,10.18,1446,2595.34,6735789.72,1,15,225,1
30,0,0,0,0,206.7,42724.89,0,47.99,283,0,0,0,0,0,0
31,0,0,0,0,447.31,200086.24,0,1.86,86,0,0,0,0,0,0
32,0,0,0,0,116.11,13481.53,1,25.8,515,0,0,0,0,0,0
33,0,0,0,0,365.33,133466.01,0,60.24,1188,0,0,0,0,0,0
34,0,0,0,0,436.82,190811.71,0,74.86,350,0,0,0,0,0,0
35,209.07,0,371,0,776.18,602455.39,0,26.46,728,2084.17,4343764.59,1,11,121,1
36,70.85,0,205,0,818.76,670367.94,1,27.08,99,1511.85,2285690.42,3,8,64,1
37,307.88,7.2807,730,1,505.5,255530.25,1,34.46,440,1784.62,3184868.54,6,8,64,1
38,456.16,0,404,0,494.37,244401.7,1,15.75,1202,849.25,721225.56,4,2,4,1
39,0,0,0,0,250.5,62750.25,0,27.95,356,0,0,0,0,0,0
40,133.75,0,187,0,848.18,719409.31,1,42.77,52,1470.59,2162634.95,1,11,121,1
41,251.18,5.7339,730,1,602.53,363042.4,1,3.47,639,1521.6,2315266.56,3,10,100,1
42,338.8,0,404,0,774.13,599277.26,0,42.32,983,1442.47,2080719.7,5,15,225,1
43,0,0,0,0,177.91,31651.97,1,13.98,1265,0,0,0,0,0,0
44,466.61,6.7247,730,1,513.39,263569.29,1,60.06,1062,1499.05,2247150.9,1,13,169,1
45,0,0,0,0,578.08,334176.49,1,28.79,283,0,0,0,0,0,0
46,348.57,6.9044,730,1,580.63,337131.2,0,45.96,418,1947.59,3793106.81,6,5,25,1
47,661.97,6.9484,730,1,386.77,149591.03,1,50.15,1630,1040.52,1082681.87,4,10,100,1
48,582.93,0,197,0,838.94,703820.32,0,64.2,1478,1330.2,1769432.04,6,6,36,1
49,0,0,0,0,47.84,2288.67,1,15.98,1040,0,0,0,0,0,0
50,0,0,0,0,512.52,262676.75,0,40.09,85,0,0,0,0,0,0
51,0,0,0,0,405.9,164754.81,0,41.02,274,0,0,0,0,0,0
52,0,0,0,0,194.63,37880.84,0,21.31,199,0,0,0,0,0,0
53,0,0,0,0,232.14,53888.98,1,39.73,384,0,0,0,0,0,0
54,652.7,0,270,0,325.81,106152.16,0,68.71,1510,150.29,22587.08,4,1,1,1
55,0,0,0,0,280.58,78725.14,0,48.62,917,0,0,0,0,0,0
56,0,0,0,0,195.59,38255.45,0,54.45,225,0,0,0,0,0,0
57,294.14,0,421,0,541.13,292821.68,0,31.37,238,1292.41,1670323.61,5,1,1,1
58,185.62,5.5803,730,1,736.84,542933.19,1,24.61,394,1607.83,2585117.31,2,15,225,1
59,274.23,6.0416,730,1,650.55,423215.3,1,54.83,230,2771.63,7681932.86,2,6,36,1
60,248.66,0,605,0,555.1,308136.01,1,25.69,295,743.43,552688.16,1,13,169,1
61,640.29,8.7209,730,1,515.12,265348.61,1,56.65,1539,2303.57,5306434.74,6,11,121,1
62,393.88,5.6821,730,1,613.16,375965.19,1,45.67,563,1659.95,2755434,4,1,1,1
63,0,0,0,0,353.8,125174.44,1,18.52,220,0,0,0,0,0,0
64,418.87,0,86,0,815.3,664714.09,0,12.39,1403,1584.61,2510988.85,5,4,16,1
65,281.42,0,431,0,554.04,306960.32,0,14.8,596,1006.56,1013163.03,6,9,81,1
66,424.95,6.3293,730,1,560.93,314642.46,0,51.12,626,1769.78,3132121.25,5,9,81,1
67,396.8,0,468,0,733.28,537699.56,0,39.83,991,1252.27,1568180.15,5,14,196,1
68,0,0,0,0,544.61,296600.05,0,58.03,22,0,0,0,0,0,0
69,0,0,0,0,161.48,26075.79,0,57.91,877,0,0,0,0,0,0
70,570.74,6.7208,730,1,530.78,281727.41,1,15.66,1608,1163.68,1354151.14,5,15,225,1
71,320.84,7.7467,730,1,610.86,373149.94,1,67.61,76,2525.42,6377746.18,3,12,144,1
72,342.55,6.8978,730,1,668.51,446905.62,1,44.38,481,1216.2,1479142.44,6,16,256,1
73,0,0,0,0,164.06,26915.68,1,19.07,293,0,0,0,0,0,0
74,517.82,7.4376,730,1,421.5,177662.25,1,32.4,1445,1814.69,3293099.8,4,5,25,1
75,261.43,6.618,730,1,590.7,348926.49,1,40.84,132,2525.09,6376079.51,4,8,64,1
76,467.83,0,501,0,514.2,264401.64,0,41.37,846,425.6,181135.36,5,11,121,1
77,0,0,0,0,58.96,3476.28,0,16.19,379,0,0,0,0,0,0
78,397.29,6.5076,730,1,565.95,320299.4,1,3.23,1172,1958.97,3837563.46,6,1,1,1
79,573.72,6.3029,730,1,582.81,339667.5,0,55.79,1091,1025.38,1051404.14,2,14,196,1
80,140.01,0,379,0,801.72,642754.96,1,41.65,71,1532.97,2349997.02,5,7,49,1
81,443.76,5.7718,730,1,372.18,138517.95,1,40.17,918,1221.92,1493088.49,3,8,64,1
82,453.01,6.5429,730,1,395.75,156618.06,0,35.54,995,2033.1,4133495.61,2,15,225,1
83,227.79,0,316,0,804.49,647204.16,1,20.91,841,1255.11,1575301.11,4,11,121,1
84,142.96,0,65,0,857.62,735512.06,0,35.69,207,491.55,241621.4,3,14,196,1
85,535.52,7.0474,730,1,393.67,154976.07,1,40.08,1172,1289.3,1662294.49,6,9,81,1
86,0,0,0,0,49.83,2483.03,1,35.66,1397,0,0,0,0,0,0
87,0,0,0,0,248.33,61667.79,0,61.76,1377,0,0,0,0,0,0
88,0,0,0,0,353.5,124962.25,1,41.23,682,0,0,0,0,0,0
89,412.27,0,228,0,795.44,632724.79,1,30.77,1184,1318.89,1739470.83,6,3,9,1
90,0,0,0,0,447.82,200542.75,0,41.6,142,0,0,0,0,0,0
91,560.32,4.6457,730,1,527.69,278456.74,1,59.63,972,604.7,365662.09,2,10,100,1
92,488.42,0,261,0,866.66,751099.56,1,38.57,1597,2152,4631104,5,4,16,1
93,0,0,0,0,449.35,201915.42,0,43.12,842,0,0,0,0,0,0
94,499.92,5.8675,730,1,495.24,245262.66,0,69.95,723,1203.49,1448388.18,3,12,144,1
95,508.53,0,213,0,735.14,540430.82,1,50.1,1238,1291.06,1666835.92,3,2,4,1
96,495.68,0,282,0,783.02,613120.32,0,41.6,1351,1407,1979649,6,10,100,1
97,558.94,6.5434,730,1,655.41,429562.27,1,66.19,1033,1202.02,1444852.08,4,15,225,1
98,488.3,7.976,730,1,489.41,239522.15,1,55.72,1056,1916.92,3674582.29,6,14,196,1
99,261.54,0,154,0,822.52,676539.15,1,67.4,270,903.47,816258.04,4,7,49,1
100,0,0,0,0,66.43,4412.94,0,48.54,125,0,0,0,0,0,0
101,0,0,0,0,205.65,42291.92,0,51.07,237,0,0,0,0,0,0
102,319.7,6.9024,730,1,559.2,312704.64,1,30.67,321,2159.84,4664908.83,5,9,81,1
103,522.9,7.8482,730,1,460.86,212391.94,1,49.6,1078,1557.27,2425089.85,5,10,100,1
104,0,0,0,0,360.38,129873.74,1,40.99,1502,0,0,0,0,0,0
105,534.97,0,564,0,519.95,270348,1,36.45,1321,570.6,325584.36,1,7,49,1
106,70.09,0,78,0,945.68,894310.66,1,36.82,283,2507.88,6289462.09,4,2,4,1
107,0,0,0,0,361.19,130458.22,0,44.65,253,0,0,0,0,0,0
108,0,0,0,0,348.85,121696.32,1,24.62,338,0,0,0,0,0,0
109,316.52,6.2155,730,1,590.75,348985.56,1,53.87,284,2174.76,4729581.06,2,15,225,1
110,0,0,0,0,122.22,14937.73,0,68.73,572,0,0,0,0,0,0
111,545.08,0,268,0,857.57,735426.3,0,45.19,1769,1973.88,3896202.25,5,12,144,1
112,646.78,6.032,730,1,561.39,315158.73,0,55.88,1566,932.54,869630.85,3,15,225,1
113,251.42,0,228,0,757,573049,1,43.65,424,971.49,943792.82,6,2,4,1
114,362.11,0,324,0,725.64,526553.41,0,52.39,736,1428.77,2041383.71,1,7,49,1
115,0,0,0,0,364.29,132707.2,0,40.68,1121,0,0,0,0,0,0
116,330.28,4.7247,730,1,621.49,386249.82,0,45.32,291,938.65,881063.82,4,14,196,1
117,270.11,0,602,0,712.98,508340.48,1,33.7,327,1581.49,2501110.62,5,7,49,1
118,559.53,0,275,0,572.68,327962.38,0,36.55,1391,471.52,222331.11,2,9,81,1
119,0,0,0,0,678.12,459846.73,1,50.74,149,0,0,0,0,0,0
120,479.82,0,25,0,917.87,842485.34,1,30.11,1802,862.63,744130.52,4,2,4,1
121,0,0,0,0,482.6,232902.76,0,26.68,115,0,0,0,0,0,0
122,207.4,5.5895,730,1,712.77,508041.07,1,32.05,243,1666.4,2776888.96,1,15,225,1
123,293.09,0,578,0,804.09,646560.73,0,57.46,158,1659.93,2755367.6,6,16,256,1
124,641.07,8.7553,730,1,457.62,209416.06,1,29.95,1707,1749.27,3059945.53,5,12,144,1
125,0,0,0,0,184.12,33900.17,1,69.99,209,0,0,0,0,0,0
126,364.32,5.9603,730,1,632.6,400182.76,1,37.8,769,1655.71,2741375.6,1,9,81,1
127,546.11,6.2132,730,1,723.45,523379.9,1,58.12,1354,1670.77,2791472.39,4,7,49,1
128,0,0,0,0,396.58,157275.7,0,39.76,503,0,0,0,0,0,0
129,619.81,0,216,0,746.63,557456.36,0,57.12,1689,1302.36,1696141.57,5,4,16,1
130,517.67,0,191,0,702.54,493562.45,1,61.21,1028,432.44,187004.35,6,4,16,1
131,210.16,0,190,0,886.67,786183.69,1,69.97,38,1108.03,1227730.48,5,12,144,1
132,0,0,0,0,342.4,117237.76,1,50.89,167,0,0,0,0,0,0
133,462.62,0,29,0,923.96,853702.08,0,53.56,1238,957.96,917687.36,3,8,64,1
134,377.09,0,618,0,708.89,502525.03,0,26.94,878,1309.69,1715287.9,6,16,256,1
135,0,0,0,0,143.13,20486.2,0,30.74,776,0,0,0,0,0,0
136,0,0,0,0,297.01,88214.94,1,44.21,377,0,0,0,0,0,0
137,348.6,5.8413,730,1,548.13,300446.5,1,46.82,538,1188.26,1411961.83,4,11,121,1
138,0,0,0,0,209.04,43697.72,1,48.15,134,0,0,0,0,0,0
139,0,0,0,0,481.68,232015.62,1,26.5,590,0,0,0,0,0,0
140,562.07,7.5323,730,1,388.12,150637.13,1,43.44,1422,2041.13,4166211.68,1,16,256,1
141,0,0,0,0,498.77,248771.51,0,5.9,625,0,0,0,0,0,0
142,406.55,0,623,0,654.9,428894.01,0,33.21,855,1829.63,3347545.94,3,7,49,1
143,519.33,0,359,0,791.4,626313.96,1,43.35,1459,1148.83,1319810.37,2,14,196,1
144,138.63,0,388,0,796.35,634173.32,0,18.54,164,2373.36,5632837.69,5,9,81,1
145,0,0,0,0,471.13,221963.48,1,60.67,165,0,0,0,0,0,0
146,399.35,0,244,0,745.75,556143.06,1,48.52,731,710.46,504753.41,2,9,81,1
147,0,0,0,0,135.22,18284.45,0,57.92,1020,0,0,0,0,0,0
148,0,0,0,0,284.35,80854.92,1,45.67,1320,0,0,0,0,0,0
149,0,0,0,0,384.8,148071.04,1,28.03,242,0,0,0,0,0,0
150,0,0,0,0,128.22,16440.37,0,59.11,201,0,0,0,0,0,0
151,579.44,6.8391,730,1,461.64,213111.49,0,57.13,1309,1300.65,1691690.42,2,8,64,1
152,0,0,0,0,352.03,123925.12,0,63.64,344,0,0,0,0,0,0
153,8.437497179,0,24,0,932.63,869798.72,0,14.13,204,1585.74,2514571.35,6,5,25,1
154,250.29,0,325,0,855.05,731110.5,1,57.48,370,1632.21,2664109.48,3,14,196,1
155,0,0,0,0,323.54,104678.13,0,51.62,368,0,0,0,0,0,0
156,0,0,0,0,448.42,201080.5,1,26.73,303,0,0,0,0,0,0
157,0,0,0,0,44.58,1987.38,0,44.54,1742,0,0,0,0,0,0
158,0,0,0,0,93.01,8650.86,1,43.08,1543,0,0,0,0,0,0
159,263.39,0,38,0,821.34,674599.4,0,43.95,398,733.68,538286.34,3,5,25,1
160,0,0,0,0,271.19,73544.02,1,52.55,266,0,0,0,0,0,0
161,0,0,0,0,362.57,131457,0,52.18,761,0,0,0,0,0,0
162,434.89,0,350,0,648.45,420487.4,1,47,875,737.38,543729.26,1,9,81,1
163,0,0,0,0,378.17,143012.55,0,39.83,219,0,0,0,0,0,0
164,377.35,6.9507,730,1,593.14,351815.06,0,31.94,532,1700.63,2892142.4,4,13,169,1
165,590.13,6.7198,730,1,688.62,474197.5,0,41.93,1454,2225.48,4952761.23,4,10,100,1
166,411.73,0,494,0,445.84,198773.31,0,14.79,929,765.53,586036.18,1,11,121,1
167,447.99,0,444,0,461.81,213268.48,0,40.78,910,1301.45,1693772.1,1,2,4,1
168,215.47,5.9294,730,1,650.86,423618.74,0,42.08,248,1483.5,2200772.25,5,16,256,1
169,494.5,7.1835,730,1,558.93,312402.74,1,34.95,1051,1318.92,1739549.97,6,9,81,1
170,0,0,0,0,151.27,22882.61,0,50.95,896,0,0,0,0,0,0
171,306.56,0,136,0,833,693889,0,47.61,706,839.06,704021.68,5,14,196,1
172,0,0,0,0,254.59,64816.07,0,44.73,319,0,0,0,0,0,0
173,0,0,0,0,266.72,71139.56,1,16.91,966,0,0,0,0,0,0
174,0,0,0,0,646.09,417432.29,0,21.58,396,0,0,0,0,0,0
175,191.13,0,107,0,897.95,806314.2,1,32.19,263,2198.82,4834809.39,3,4,16,1
176,371.42,0,396,0,693.59,481067.09,1,26.76,863,1538.62,2367351.5,1,3,9,1
177,0,0,0,0,375.39,140917.65,0,43.64,580,0,0,0,0,0,0
178,263.24,5.8681,730,1,594.34,353240.04,1,31.28,365,2213.31,4898741.16,3,6,36,1
179,573.2,7.0896,730,1,540.43,292064.58,1,52.42,1213,1317.29,1735252.94,2,9,81,1
180,0,0,0,0,321.5,103362.25,0,11.23,103,0,0,0,0,0,0
181,344.32,0,569,0,786.32,618299.14,1,25.6,1011,2000.48,4001920.23,1,12,144,1
182,273.27,0,711,0,733.84,538521.15,1,63.58,222,2357.54,5557994.85,1,4,16,1
183,533.57,6.1795,730,1,549.47,301917.28,1,51.56,1081,1292.99,1671823.14,2,4,16,1
184,465.74,8.1066,730,1,614.78,377954.45,1,43.27,878,2518.65,6343597.82,6,14,196,1
185,467.42,6.9688,730,1,468.07,219089.52,1,61.79,746,1963.24,3854311.3,1,8,64,1
186,657.66,7.13,730,1,579.12,335379.97,0,53.19,1446,1856.62,3447037.82,4,14,196,1
187,519.43,6.0826,730,1,571.34,326429.4,1,64.66,1063,980.59,961556.75,1,14,196,1
188,258.43,0,209,0,895.36,801669.53,1,37.52,633,1749.26,3059910.55,5,12,144,1
189,0,0,0,0,304.93,92982.3,1,9.45,347,0,0,0,0,0,0
190,555.14,0,118,0,789.65,623547.12,0,56.91,1375,669.39,448082.97,2,8,64,1
191,591.43,0,308,0,684.77,468909.95,1,76.77,1276,769.75,592515.06,6,3,9,1
192,296.25,0,561,0,647.93,419813.28,1,41.78,207,1324.67,1754750.61,1,8,64,1
193,442.06,7.8826,730,1,648.5,420552.25,1,42.99,994,2833,8025889,6,16,256,1
194,463.57,7.1519,730,1,431,185761,1,33.75,920,1015.62,1031483.98,5,9,81,1
195,355.5,7.6687,730,1,499.07,249070.86,1,74.97,161,2320.43,5384395.38,5,1,1,1
196,0,0,0,0,345.34,119259.72,1,13.25,247,0,0,0,0,0,0
197,0,0,0,0,173.98,30269.04,0,32.37,761,0,0,0,0,0,0
198,359.83,6.5302,730,1,599.24,359088.58,0,72.25,28,1833.02,3359962.32,4,6,36,1
199,201.2,0,92,0,872.17,760680.51,1,16.68,844,1603.93,2572591.44,4,6,36,1
200,341.52,6.5896,730,1,648.48,420526.31,1,37.23,684,1711.22,2928273.89,5,16,256,1
201,0,0,0,0,251.51,63257.28,0,31.77,725,0,0,0,0,0,0
202,0,0,0,0,634.98,403199.6,1,33.27,224,0,0,0,0,0,0
203,0,0,0,0,480.08,230476.81,0,60.26,825,0,0,0,0,0,0
204,0,0,0,0,377.21,142287.38,1,56.93,744,0,0,0,0,0,0
205,382.55,5.5121,730,1,560.38,314025.74,0,70.01,364,924.06,853886.88,6,15,225,1
206,0,0,0,0,333.86,111462.5,1,31.82,217,0,0,0,0,0,0
207,621.82,7.0806,730,1,565.11,319349.31,0,40.04,1553,2406.93,5793312.02,1,13,169,1
208,0,0,0,0,388.25,150738.06,1,38.75,836,0,0,0,0,0,0
209,0,0,0,0,246.36,60693.25,1,26.86,1053,0,0,0,0,0,0
210,0,0,0,0,84.56,7150.39,1,29.8,450,0,0,0,0,0,0
211,496.55,0,70,0,649.03,421239.94,0,42.86,1035,349.47,122129.28,2,2,4,1
212,0,0,0,0,250.63,62815.4,1,43.46,1527,0,0,0,0,0,0
213,0,0,0,0,276.35,76369.32,1,32.06,646,0,0,0,0,0,0
214,0,0,0,0,446.97,199782.18,0,35.62,105,0,0,0,0,0,0
215,106.89,0,125,0,934.37,873047.3,1,21.07,276,2792.54,7798279.65,6,2,4,1
216,251.33,6.8591,730,1,695.48,483692.43,1,44.56,332,1902.12,3618060.49,6,13,169,1
217,324.3,0,33,0,843.25,711070.56,1,7.42,1042,678.81,460783.02,1,5,25,1
218,0,0,0,0,309.77,95957.45,1,53.74,297,0,0,0,0,0,0
219,187.3,0,229,0,680.46,463025.81,0,10.28,334,1297.32,1683039.18,2,9,81,1
220,0,0,0,0,14.21,201.92,0,54.02,293,0,0,0,0,0,0
221,527.54,0,288,0,762.64,581619.77,0,46,1675,1673.97,2802175.56,4,6,36,1
222,0,0,0,0,429.31,184307.08,0,60.67,366,0,0,0,0,0,0
223,554.33,6.3399,730,1,309.59,95845.97,1,46.88,1261,880.02,774435.2,6,13,169,1
224,0,0,0,0,387.49,150148.5,1,16.4,318,0,0,0,0,0,0
225,0,0,0,0,304.75,92872.56,0,51.75,247,0,0,0,0,0,0
226,293.98,5.827,730,1,651.83,424882.35,0,50.87,259,2558.19,6544336.08,1,8,64,1
227,105.79,0,493,0,817.36,668077.37,1,27.09,289,1530.44,2342246.59,5,16,256,1
228,0,0,0,0,186.12,34640.65,1,12.54,370,0,0,0,0,0,0
229,0,0,0,0,439.09,192800.03,1,49.89,134,0,0,0,0,0,0
230,0,0,0,0,631.19,398400.82,0,13,103,0,0,0,0,0,0
231,333.64,6.6277,730,1,529.57,280444.38,1,27.39,856,1294.69,1676222.2,5,10,100,1
232,0,0,0,0,254.39,64714.27,1,9.78,951,0,0,0,0,0,0
233,368.98,0,479,0,643.3,413834.89,1,52.51,650,1563.77,2445376.61,3,2,4,1
234,0,0,0,0,291.17,84779.97,0,22.18,232,0,0,0,0,0,0
235,264.22,0,448,0,546.41,298563.89,0,41.86,62,890.53,793043.68,5,4,16,1
236,461.97,0,357,0,759.51,576855.44,1,40.14,1216,2419.36,5853302.81,2,1,1,1
237,134.79,0,339,0,884.43,782216.42,1,25.21,287,1899.53,3608214.22,6,13,169,1
238,359.93,0,35,0,937.8,879468.84,0,67.87,1054,987.69,975531.54,5,7,49,1
239,427.93,5.3332,730,1,600.2,360240.04,1,47.61,886,906.46,821669.73,3,14,196,1
240,0,0,0,0,455.23,207234.35,1,65.31,203,0,0,0,0,0,0
241,410.44,7.435,730,1,385.29,148448.38,1,26.07,846,2146.29,4606560.76,4,7,49,1
242,234.18,0,280,0,671.51,450925.68,1,14.47,325,1263.87,1597367.38,5,2,4,1
243,481.17,0,371,0,742.75,551677.56,1,33.84,1329,1484.36,2203324.61,3,5,25,1
244,421.59,5.6417,730,1,483.33,233607.89,1,39.48,853,919.29,845094.1,3,15,225,1
245,0,0,0,0,404.89,163935.91,1,54.43,577,0,0,0,0,0,0
246,0,0,0,0,228.16,52056.99,1,64.76,1189,0,0,0,0,0,0
247,482.95,0,40,0,856.98,734414.72,0,46.45,1506,240.85,58008.72,1,11,121,1
248,0,0,0,0,302.3,91385.29,1,49.98,1203,0,0,0,0,0,0
249,567.82,7.4367,730,1,534.85,286064.52,1,61.37,1224,1579.94,2496210.4,5,5,25,1
250,540.3,0,150,0,825.6,681615.36,1,26.55,1871,890.22,792491.65,2,10,100,1
251,0,0,0,0,109.84,12064.83,0,26.8,785,0,0,0,0,0,0
252,416.35,6.9506,730,1,369.73,136700.27,1,22.96,961,1520.52,2311981.07,2,16,256,1
253,0,0,0,0,32.39,1049.11,0,35.5,666,0,0,0,0,0,0
254,0,0,0,0,395.23,156206.75,1,28.18,64,0,0,0,0,0,0
255,0,0,0,0,196.69,38686.96,1,38.01,591,0,0,0,0,0,0
256,0,0,0,0,382.46,146275.65,0,30.86,82,0,0,0,0,0,0
257,178.19,0,276,0,784.04,614718.72,1,28.07,305,1651.92,2728839.69,3,6,36,1
258,0,0,0,0,238.08,56682.09,0,41.97,336,0,0,0,0,0,0
259,0,0,0,0,219.33,48105.65,1,32.39,915,0,0,0,0,0,0
260,541.47,6.4623,730,1,588.65,346508.82,0,71.56,921,1557.1,2424560.41,4,5,25,1
261,405.97,7.1378,730,1,444.29,197393.6,0,27.1,627,2400.89,5764272.79,3,10,100,1
262,0,0,0,0,329.45,108537.3,0,28.1,701,0,0,0,0,0,0
263,159.6,0,596,0,702.05,492874.2,1,28.76,167,2084.36,4344556.61,3,3,9,1
264,0,0,0,0,32.3,1043.29,0,52.12,912,0,0,0,0,0,0
265,0,0,0,0,418.22,174907.97,1,34.11,500,0,0,0,0,0,0
266,0,0,0,0,296.98,88197.12,1,23.81,141,0,0,0,0,0,0
267,246.72,0,638,0,690.53,476831.68,1,48.6,382,1268.92,1610157.97,5,10,100,1
268,261.74,0,583,0,628.53,395049.96,1,11.79,533,1542.46,2379182.85,1,8,64,1
269,0,0,0,0,297.77,88666.97,0,37.73,1346,0,0,0,0,0,0
270,0,0,0,0,421.05,177283.1,1,37.48,259,0,0,0,0,0,0
271,0,0,0,0,236.55,55955.9,1,65.89,753,0,0,0,0,0,0
272,0,0,0,0,134.22,18015.01,0,32.98,265,0,0,0,0,0,0
273,141.94,0,190,0,832.66,693322.68,1,28.99,434,1880.9,3537784.81,2,9,81,1
274,334.98,0,367,0,728.74,531061.99,0,43.7,377,1364.36,1861478.21,4,11,121,1
275,0,0,0,0,302.76,91663.62,0,20.47,169,0,0,0,0,0,0
276,267.14,5.4448,730,1,738.21,544954,1,60.38,368,1002.03,1004064.12,4,16,256,1
277,680.65,6.7888,730,1,448.65,201286.82,0,59.31,1655,1439.12,2071066.37,5,2,4,1
278,456.71,0,709,0,612.32,374935.78,1,29.2,1259,1113.35,1239548.22,6,4,16,1
279,0,0,0,0,313.95,98564.6,1,30.52,1422,0,0,0,0,0,0
280,279.56,0,646,0,630.29,397265.48,1,26.79,642,1359.71,1848811.28,3,6,36,1
281,0,0,0,0,455.07,207088.7,1,59.55,387,0,0,0,0,0,0
282,352.33,0,215,0,872.52,761291.15,1,48.19,966,2476.22,6131665.49,4,3,9,1
283,0,0,0,0,334.46,111863.49,0,63.28,118,0,0,0,0,0,0
284,0,0,0,0,139.63,19496.54,1,70.21,380,0,0,0,0,0,0
285,451.06,5.6984,730,1,525.99,276665.48,1,35.84,871,709.73,503716.67,6,5,25,1
286,444.49,0,143,0,784.2,614969.64,1,54.53,861,1105.32,1221732.3,2,2,4,1
287,278.27,5.9185,730,1,582.23,338991.77,0,57.97,42,1493.14,2229467.06,6,14,196,1
288,0,0,0,0,111.78,12494.77,0,62.8,1357,0,0,0,0,0,0
289,0,0,0,0,338.26,114419.83,1,37.21,1117,0,0,0,0,0,0
290,0,0,0,0,476.37,226928.38,1,28.38,478,0,0,0,0,0,0
291,387.82,4.3503,730,1,650.04,422552,1,41.1,690,969.98,940861.2,1,14,196,1
292,409.74,0,216,0,843.65,711745.32,0,48.98,1039,2927.74,8571661.51,1,2,4,1
293,0,0,0,0,190.88,36435.17,0,37.32,407,0,0,0,0,0,0
294,0,0,0,0,398.89,159113.23,1,17.88,41,0,0,0,0,0,0
295,139,6.1505,730,1,632.41,399942.41,1,11.03,84,1829.93,3348643.8,5,13,169,1
296,0,0,0,0,421.01,177249.42,1,21.34,990,0,0,0,0,0,0
297,0,0,0,0,352.18,124030.75,1,37.76,458,0,0,0,0,0,0
298,0,0,0,0,237.68,56491.78,0,38.61,1030,0,0,0,0,0,0
299,330.9,0,338,0,531.76,282768.7,0,49.38,336,779,606841,4,4,16,1
300,352.71,0,422,0,763.2,582474.24,1,64.95,349,836.58,699866.1,2,14,196,1
301,294.27,0,696,0,618.12,382072.33,1,48.69,125,912.12,831962.89,3,8,64,1
302,260.89,0,55,0,878.77,772236.71,1,37.09,660,1536.52,2360893.71,2,2,4,1
303,0,0,0,0,727,528529,1,17.22,4,0,0,0,0,0,0
304,0,0,0,0,289.9,84042.01,1,23.4,617,0,0,0,0,0,0
305,0,0,0,0,161.23,25995.11,0,47.92,260,0,0,0,0,0,0
306,423.62,6.6479,730,1,395.61,156507.27,0,38.93,695,1979.02,3916520.16,3,6,36,1
307,428.7,0,449,0,875.29,766132.58,1,54.68,1255,2435.22,5930296.45,3,13,169,1
308,361.62,0,613,0,664.07,440988.96,0,2.35,1256,1700.16,2890544.03,3,12,144,1
309,3.188851194,0,5,0,963.68,928679.14,0,15.61,245,351.38,123467.9,2,7,49,1
