customer,duration_2,sclv,duration_1,offer,duration_lapse,price_change,gender,age,reacquire
73,0,-5,283,20,129,12.23,1,58,0
74,655,1353.607743,562,20,74,1.48,1,45,1
75,447,911.3442305,351,30,52,0,0,54,1
76,0,-5,141,20,60,-21.32,1,52,0
77,489,935.1336066,395,30,67,0,0,69,1
78,1438,2366.454059,1144,25,64,0,1,43,1
79,125,535.7168631,192,30,118,18.07,1,31,1
80,0,-5,341,20,38,-7.72,0,69,0
81,820,1477.491755,584,20,47,0,1,30,1
82,1027,1704.439984,761,30,51,0,1,58,1
83,577,1109.922865,503,20,56,0,0,75,1
84,31,153.241772,130,25,45,31.99,0,56,1
85,509,1030.717971,357,25,63,0,0,38,1
86,402,830.3186385,245,25,31,0,1,38,1
87,286,624.6560631,424,20,29,38.32,0,44,1
88,0,-5,149,25,126,4.19,1,44,0
89,74,333.1798606,299,30,53,38.88,1,71,1
90,910,1574.733725,711,30,71,0,1,47,1
91,1079,1782.439389,818,20,79,0,1,28,1
92,0,-5,314,20,156,-2.2,0,68,0
93,0,-5,216,20,178,-30.52,0,30,0
94,930,1631.750296,784,30,61,0,0,70,1
95,695,1269.547052,645,30,68,10.97,1,70,1
96,0,-5,592,20,190,-3.86,0,63,0
97,0,-5,349,20,108,16.33,1,46,0
98,1147,2035.127636,692,20,64,-34.13,0,29,1
99,0,-5,308,20,96,0,1,42,0
100,286,651.5521996,194,30,98,0,0,45,1
101,439,998.0358054,310,30,65,0,0,29,1
102,0,-5,105,30,51,0,0,46,0
103,283,616.1010382,364,30,89,25.86,1,41,1
104,0,-5,256,30,123,5.79,0,30,0
105,834,1590.759195,644,25,93,0,1,31,1
106,0,-5,306,20,150,0,1,46,0
107,475,959.4098196,351,30,51,0,0,57,1
108,460,926.8564036,408,30,136,0,0,62,1
109,0,-5,116,20,85,0,0,39,0
110,416,975.9033559,326,30,53,0,0,44,1
111,524,996.6468511,421,30,46,0.23,1,64,1
112,0,-5,282,20,164,-26.75,0,71,0
113,837,1458.052602,638,25,108,-8.95,0,64,1
114,0,-5,93,20,85,12.29,1,71,0
115,551,927.9115166,419,30,98,0,1,57,1
116,851,1567.030581,486,20,86,-25.44,0,29,1
117,430,778.7390638,376,25,51,11.3,0,53,1
118,553,1172.945151,333,30,165,-17.72,1,38,1
119,623,1146.116189,490,25,63,-1.36,0,58,1
120,0,-5,95,20,144,-25.12,0,61,0
121,0,-5,147,30,64,15.95,0,64,0
122,0,-5,182,20,186,-11.24,1,53,0
123,273,613.7713405,182,25,12,0,1,62,1
124,562,1195.375005,452,30,86,0,1,40,1
125,992,1611.748485,966,25,63,26.37,1,62,1
126,0,-5,205,30,169,-9.63,0,26,0
127,0,-5,109,20,155,0,0,33,0
128,985,1599.84752,836,20,118,-2.86,1,67,1
129,0,-5,452,25,154,0,1,63,0
130,990,1806.158638,794,30,81,0,0,36,1
131,0,-5,221,20,81,-2.21,0,39,0
132,496,996.2576703,454,25,32,9.98,1,52,1
133,0,-5,99,20,35,-38.26,0,42,0
134,301,817.9363071,382,20,41,13.56,0,70,1
135,718,1271.039616,649,20,123,3.84,1,40,1
136,923,1607.709004,581,30,62,-25.24,1,68,1
137,510,966.0645411,475,20,153,0,0,51,1
138,1060,1918.34354,1047,25,144,25.28,1,39,1
139,939,1524.201788,667,25,39,0,0,28,1
140,0,-5,206,20,125,-6.68,0,28,0
141,620,1160.021372,506,30,120,0,0,52,1
142,977,1722.961943,556,20,16,-28.48,0,41,1
143,499,1100.560744,332,20,12,-14.73,1,72,1
144,0,-5,110,30,161,0,1,52,0
145,0,-5,421,20,162,20.05,1,65,0
146,550,1081.346776,538,25,131,-0.54,1,72,1
147,0,-5,143,30,141,33.38,0,40,0
148,966,1782.825614,697,30,69,-17.67,0,65,1
149,0,-5,162,20,54,10.31,0,65,0
150,804,1440.858525,813,20,37,26.11,1,66,1
151,0,-5,338,20,130,12.75,0,73,0
152,1013,1774.799532,912,20,65,17.3,0,35,1
153,326,672.9974859,223,30,92,0,0,44,1
154,498,986.6349295,425,20,75,0,0,55,1
155,116,353.8050266,102,25,35,12.93,1,50,1
156,149,512.9268829,128,30,80,0,1,62,1
157,0,-5,261,30,155,36.29,1,39,0
158,0,-5,267,20,95,-7.4,0,71,0
159,0,-5,116,20,145,0,1,65,0
160,592,1174.413099,438,20,37,-0.8,0,36,1
161,530,1118.161726,414,20,80,0,1,26,1
162,23,248.9567203,86,25,36,13.87,0,73,1
163,953,1745.978096,804,20,112,0,0,35,1
164,769,1367.155803,592,20,45,-5.85,0,62,1
165,262,624.1269441,217,30,36,5.88,0,59,1
166,0,-5,393,25,89,0,1,45,0
167,572,1022.990262,537,20,77,14.24,1,40,1
168,315,742.8531337,343,30,102,15.25,0,47,1
169,0,-5,391,20,131,8.06,0,66,0
170,648,1113.308191,393,30,20,-12.19,1,75,1
171,0,-5,137,30,145,-11,1,66,0
172,0,-5,106,20,133,0,1,43,0
173,0,-5,553,20,112,-36.76,0,58,0
174,339,594.5745324,296,30,105,0,1,71,1
175,860,1513.293714,643,25,134,-17.57,0,61,1
176,0,-5,88,20,91,-1.68,0,53,0
177,783,1407.35947,734,30,47,19.46,1,55,1
178,943,1623.543584,742,30,102,2.15,1,41,1
179,16,175.7289451,223,30,92,41.04,0,33,1
180,802,1578.976874,726,30,161,0,1,39,1
181,419,847.7064932,197,30,66,-12.16,0,39,1
182,489,971.2913255,383,20,35,0,0,50,1
183,0,-5,256,25,143,17.22,0,42,0
184,534,982.2373271,426,30,24,0,1,71,1
185,0,-5,466,20,118,0,0,70,0
186,309,628.1938933,92,25,33,-9.57,0,36,1
187,0,-5,102,20,85,33.59,1,63,0
188,0,-5,109,20,95,0,0,69,0
189,0,-5,205,25,51,0,1,73,0
190,175,522.8549227,100,25,13,0.74,0,59,1
191,0,-5,158,20,88,1.04,0,63,0
192,631,1293.502544,507,25,108,-14.73,0,70,1
193,0,-5,108,25,108,-40.59,0,29,0
194,690,1451.717924,572,25,59,0,1,37,1
195,0,-5,193,20,94,0,0,69,0
196,950,1627.260717,719,30,95,0,0,36,1
197,745,1326.746304,525,30,131,-16.39,1,50,1
198,1233,2111.934789,1047,20,101,0,0,49,1
199,633,1267.11217,517,20,24,0,1,47,1
200,0,-5,349,20,88,14.67,0,36,0
201,0,-5,265,20,122,-14.25,1,36,0
202,0,-5,74,20,45,-13.27,1,38,0
203,0,-5,362,25,151,-10.63,0,27,0
204,374,762.2720308,486,30,19,37.43,0,62,1
205,0,-5,230,20,118,-4.16,1,45,0
206,67,396.5570456,72,30,60,0,0,67,1
207,940,1740.931046,730,30,31,-8.55,0,71,1
208,629,1097.671169,568,20,94,0,0,67,1
209,252,630.2586679,308,20,108,19.01,0,39,1
210,0,-5,299,30,139,-4.1,0,73,0
211,869,1544.83255,648,30,64,0,0,50,1
212,0,-5,239,25,172,0,0,55,0
213,525,999.8142234,544,20,119,17.34,0,26,1
214,353,839.6197431,387,30,117,0,0,70,1
215,511,1007.008076,591,30,119,27.83,0,43,1
216,710,1309.843343,544,20,67,0,1,39,1
217,0,-5,316,20,75,0,0,47,0
218,815,1454.50447,747,25,64,21.12,0,42,1
219,484,903.43555,436,30,110,0,0,67,1
220,484,1021.763653,364,30,42,0,0,50,1
221,0,-5,356,30,97,2.68,1,34,0
222,583,1072.28467,670,30,61,32.46,1,56,1
223,884,1451.361549,812,30,178,9.23,1,56,1
224,458,981.3633999,438,20,119,0,0,73,1
225,289,686.2720097,158,20,65,0,0,27,1
226,722,1299.097655,583,30,79,0,1,46,1
227,0,-5,68,20,162,-23.73,0,56,0
228,0,-5,174,30,133,0,0,41,0
229,1292,2155.146096,1135,20,168,3.89,0,37,1
230,475,983.048399,315,20,40,-3.79,0,32,1
231,0,-5,396,20,168,22.39,1,60,0
232,1407,2379.928327,1003,20,46,-24.57,0,65,1
233,0,-5,248,25,96,8.1,1,25,0
234,384,785.6073551,558,30,181,34.57,1,30,1
235,872,1613.182316,726,30,108,0,1,43,1
236,236,524.8901076,268,20,96,22.09,0,29,1
237,669,1158.220526,336,30,104,-23.41,1,39,1
238,331,830.9261158,281,30,123,0,0,44,1
239,702,1250.866877,671,25,130,8.95,0,63,1
240,0,-5,286,20,153,29.86,1,54,0
241,0,-5,165,20,103,0,0,69,0
242,0,-5,148,30,41,0,0,74,0
243,136,454.3280742,216,30,92,14.87,0,72,1
244,439,935.8175405,419,25,26,9.87,0,63,1
245,203,516.5015461,121,30,65,0,0,31,1
246,836,1473.495923,655,30,153,-5.72,1,47,1
247,483,946.0722415,606,20,143,32.01,0,27,1
248,433,802.4051573,328,25,102,-3.27,0,52,1
249,740,1232.599305,690,25,60,21.99,1,52,1
250,0,-5,261,25,84,0,0,50,0
251,489,904.5201789,634,20,144,29.25,0,48,1
252,883,1575.230584,627,30,61,0,1,26,1
253,637,1135.278522,602,25,145,4.58,0,59,1
254,830,1545.684761,445,30,84,-41.21,0,69,1
255,380,785.882627,552,20,76,29.24,0,64,1
256,238,682.0800401,266,30,42,16.59,0,37,1
257,0,-5,70,20,80,-31.15,1,67,0
258,813,1361.132327,741,20,118,17.78,0,28,1
259,0,-5,347,25,170,0,1,45,0
260,882,1761.233661,656,30,47,-6.47,1,31,1
261,0,-5,431,20,135,0,1,61,0
262,616,1228.549522,500,30,124,5.32,1,35,1
263,0,-5,140,25,97,21.55,1,53,0
264,0,-5,157,20,45,0,0,61,0
265,337,798.4507021,265,25,113,1.68,0,38,1
266,309,669.4157568,396,25,104,25.04,0,37,1
267,411,852.5544646,247,30,83,0,1,31,1
268,709,1195.3141,640,25,8,23.94,0,29,1
269,299,802.5584341,307,20,62,0,0,62,1
270,846,1542.590637,931,25,123,35.01,1,46,1
271,347,738.8955742,203,20,51,0,0,34,1
272,1194,2038.240418,979,30,100,-1.23,0,54,1
273,1043,1885.161691,1035,25,122,18.7,1,68,1
274,571,1157.503327,497,30,70,4.34,0,53,1
275,0,-5,284,25,141,14.98,0,26,0
276,0,-5,306,25,81,-14.15,1,51,0
277,0,-5,142,20,141,3.63,0,68,0
278,1426,2383.946022,1031,30,74,-11.28,1,33,1
279,212,556.5310581,167,25,46,0,1,61,1
280,0,-5,210,20,155,0,0,27,0
281,0,-5,296,25,100,-23.57,1,28,0
282,608,1082.170397,388,20,20,0,0,33,1
283,0,-5,110,30,146,19.38,0,31,0
284,703,1187.967057,518,20,94,-4.17,0,51,1
285,897,1534.414415,789,20,99,0,0,68,1
286,1124,1955.025525,787,20,34,-16.2,0,43,1
287,465,874.3000689,312,20,76,0,0,28,1
288,0,-5,451,20,96,33.56,1,36,0
289,742,1363.424915,621,20,44,0,0,51,1
290,651,1287.399097,570,25,132,-5.57,0,55,1
291,0,-5,433,20,115,3,1,60,0
292,957,1691.866144,804,25,59,9.17,1,41,1
293,453,969.8664585,469,30,158,3.04,0,42,1
294,0,-5,160,20,171,2.84,0,63,0
295,0,-5,221,30,93,23.23,1,72,0
296,796,1422.157535,657,25,144,-10.83,1,62,1
297,0,-5,422,20,167,7.32,1,34,0
298,0,-5,284,20,56,0,1,65,0
299,0,-5,206,25,145,31.78,0,26,0
300,513,1027.059775,531,20,164,8.15,0,36,1
301,740,1263.132364,635,30,114,0,1,61,1
302,739,1488.704062,516,25,64,-8.94,1,27,1
303,0,-5,413,25,136,0,1,46,0
304,0,-5,79,30,110,12.2,1,35,0
305,0,-5,331,20,68,13.75,0,58,0
306,0,-5,117,25,110,8.8,0,37,0
307,0,-5,74,25,74,0,0,43,0
308,0,-5,600,30,147,0,0,71,0
309,834,1403.502946,646,30,41,0,0,70,1
310,702,1378.615086,627,30,107,2.82,1,57,1
311,790,1385.378747,485,20,47,-15.81,0,37,1
312,560,1051.98135,411,20,90,0,0,25,1
313,0,-5,252,20,152,27.66,1,59,0
314,0,-5,318,20,141,0,0,60,0
315,0,-5,218,25,111,0,0,47,0
316,331,871.4051258,374,20,73,13.99,0,47,1
317,0,-5,263,30,190,0,0,54,0
318,0,-5,206,25,137,0,1,40,0
319,572,1098.248395,391,30,182,-8.24,0,36,1
320,0,-5,93,20,98,-13.78,0,42,0
321,486,987.5389404,481,25,95,0,0,72,1
322,457,999.3202107,547,30,54,19.18,1,71,1
323,0,-5,132,25,72,7.67,0,48,0
324,913,1593.434916,751,20,94,3.55,1,41,1
325,0,-5,183,25,148,0,1,48,0
326,418,871.4579533,405,30,44,12.31,1,72,1
327,360,835.0754602,276,30,83,-2.81,1,40,1
328,437,841.3081404,172,25,72,-18.66,0,45,1
329,0,-5,388,25,101,24.79,0,39,0
330,0,-5,289,20,179,0,0,74,0
331,827,1480.876901,693,20,114,-4.78,0,52,1
332,0,-5,183,20,115,-21.15,0,30,0
333,0,-5,148,20,95,0,1,54,0
334,702,1241.596932,375,25,120,-27.88,0,27,1
335,637,1326.228523,623,25,141,0,0,65,1
336,0,-5,219,30,123,0,0,68,0
337,0,-5,180,30,108,36.8,1,75,0
338,0,-5,194,30,144,-24.47,1,26,0
339,963,1694.329276,881,25,148,4.47,0,53,1
340,0,-5,85,20,48,0,1,65,0
341,0,-5,163,25,104,0,0,64,0
342,0,-5,149,30,146,-29.77,0,46,0
343,1203,2018.565149,945,20,49,0,1,55,1
344,0,-5,242,30,149,1.48,1,62,0
345,1244,2147.983835,995,25,89,0,1,27,1
346,436,837.911462,366,20,86,4.44,0,38,1
347,572,1135.237316,652,20,34,32.02,0,49,1
348,404,821.0948605,438,25,107,24.32,0,30,1
349,0,-5,298,20,137,0,1,71,0
350,769,1449.643944,619,30,61,0,0,55,1
351,760,1427.693939,637,30,107,0,1,52,1
352,0,-5,92,20,157,0,0,26,0
353,990,1758.630453,718,30,93,-11.97,1,51,1
354,818,1494.40853,521,20,74,-24.02,0,48,1
355,0,-5,176,30,105,0,0,62,0
356,0,-5,188,20,111,0,1,63,0
357,195,624.1251949,186,30,75,0,0,56,1
358,1262,2216.702655,951,20,33,-10.45,0,46,1
359,0,-5,494,20,190,0,0,66,0
360,741,1301.824612,639,25,109,0,1,68,1
361,470,871.7433013,427,30,144,6.55,1,58,1
362,0,-5,375,25,134,0,1,29,0
363,953,1467.160963,729,20,40,0,1,51,1
364,325,639.7396336,374,20,57,24.25,0,51,1
365,0,-5,295,20,164,0,1,73,0
366,827,1438.158335,637,20,131,-9.18,0,42,1
367,930,1556.624249,758,30,69,0,1,68,1
368,369,812.924767,237,25,77,0,1,32,1
369,598,1119.037652,479,30,104,0,0,41,1
370,456,870.4615264,207,20,51,-14.61,0,27,1
371,117,425.3201767,204,30,83,24.03,0,27,1
372,0,-5,147,30,44,-13.09,0,70,0
373,0,-5,446,30,137,0,0,58,0
374,609,1156.264886,602,30,148,0,0,67,1
375,613,1132.537751,427,25,76,0,0,25,1
376,773,1379.771907,588,30,116,0,1,27,1
377,500,1071.311727,388,20,76,0,0,30,1
378,370,730.9747674,203,20,79,0,1,32,1
379,429,900.712587,301,20,63,-10.26,0,60,1
380,0,-5,132,30,137,8.74,1,50,0
381,640,1156.266072,572,25,122,0,0,73,1
382,0,-5,189,20,158,11.56,1,65,0
383,439,936.6537098,453,20,75,20.64,0,28,1
384,0,-5,138,20,90,0,0,30,0
385,0,-5,95,20,101,-39.26,0,47,0
386,0,-5,74,25,153,0,0,40,0
387,0,-5,112,30,82,0,1,48,0
388,0,-5,132,30,135,0,1,35,0
389,1155,2059.220296,902,20,120,-17.94,0,49,1
390,1088,1802.37368,852,30,137,0,1,34,1
391,557,1184.587506,392,25,64,0,1,29,1
392,0,-5,625,25,172,-19.57,0,56,0
393,0,-5,65,25,106,0,0,36,0
394,984,1769.66565,831,20,36,0,1,50,1
395,1133,1918.438608,851,30,114,-6.05,0,46,1
396,150,444.3683883,90,20,47,5.2,0,29,1
397,582,1219.316899,426,30,175,-15.49,0,35,1
398,0,-5,103,30,115,0,1,66,0
399,1056,1911.944048,684,20,89,-31.43,0,34,1
400,1371,2321.271617,997,30,141,-18.62,1,35,1
401,489,979.1164921,358,30,112,-12.62,1,65,1
402,713,1204.597062,515,20,68,0,0,38,1
403,0,-5,182,30,158,5.65,0,43,0
404,934,1596.475208,656,30,35,0,1,34,1
405,0,-5,98,25,176,-2.31,1,46,0
406,0,-5,254,30,140,20.13,0,68,0
407,521,972.9545962,453,20,107,2.21,1,53,1
408,0,-5,82,30,165,-11.94,1,60,0
409,0,-5,465,30,136,9.63,0,71,0
410,1204,2106.085912,952,20,59,0,1,35,1
411,1195,1973.053735,973,25,110,3.38,1,30,1
412,742,1332.530478,646,30,188,-4.06,1,56,1
413,753,1318.392397,603,20,67,0,0,74,1
414,763,1419.703095,640,25,41,0,0,68,1
415,0,-5,454,20,176,-11.72,1,58,0
416,325,674.3647359,365,25,81,6.85,0,74,1
417,0,-5,300,25,142,33.29,1,64,0
418,884,1770.666189,757,30,90,0,1,52,1
419,1213,2112.473687,871,20,172,-30.76,0,50,1
420,490,902.2207069,341,30,60,0,1,64,1
421,0,-5,229,20,138,0,1,63,0
422,746,1373.32592,566,20,59,0,1,33,1
423,0,-5,281,25,88,21.92,0,56,0
424,838,1429.537803,728,30,125,3.58,1,61,1
425,0,-5,139,20,64,15.66,1,41,0
426,1189,2023.250253,872,20,17,0,1,30,1
427,334,677.5630221,249,30,73,4.41,1,50,1
428,693,1273.281449,466,25,17,-7.17,0,46,1
429,0,-5,347,20,121,0,1,33,0
430,0,-5,580,20,114,-35.92,0,69,0
431,0,-5,161,25,75,-3.57,0,73,0
432,0,-5,140,30,108,0,0,74,0
433,244,630.4809004,119,20,63,0,1,30,1
434,1041,1786.922706,703,30,199,-28.45,1,42,1
435,0,-5,228,20,146,0,0,49,0
436,923,1632.241282,691,30,136,-8.88,1,46,1
437,472,976.0704487,478,20,43,18.18,0,42,1
438,0,-5,303,30,107,0,1,29,0
439,0,-5,355,20,59,-29.2,1,70,0
440,1166,1938.581018,1005,20,116,0,0,62,1
441,419,880.9985784,457,30,76,10.79,0,62,1
442,0,-5,283,25,153,0,1,50,0
443,796,1484.66155,564,25,53,-14.01,0,71,1
444,0,-5,231,25,162,7.58,1,68,0
445,521,929.6463796,404,25,119,0,0,34,1
446,0,-5,133,30,70,0,1,66,0
447,0,-5,262,30,143,0,0,64,0
448,0,-5,514,25,123,0,1,72,0
449,561,1066.873865,622,25,63,19.21,0,70,1
450,275,608.5980825,181,25,13,4.12,0,41,1
451,0,-5,63,20,97,2.07,1,37,0
452,0,-5,60,25,102,0,0,68,0
453,0,-5,555,20,147,11.86,0,71,0
454,337,756.1789327,318,20,104,8.2,1,54,1
455,0,-5,62,30,168,0,1,51,0
456,0,-5,473,20,106,0,0,74,0
457,0,-5,591,25,157,0,1,46,0
458,1122,1976.588219,876,20,61,-4.99,1,48,1
459,0,-5,71,20,87,0,1,30,0
460,0,-5,181,20,150,-0.54,0,44,0
461,0,-5,383,30,137,12.69,0,66,0
462,564,958.23303,464,20,143,5.2,1,30,1
463,0,-5,303,30,154,14.31,1,59,0
464,0,-5,102,20,117,0.32,1,47,0
465,1161,2003.255855,728,20,35,-33.02,1,65,1
466,0,-5,458,30,177,22.28,1,73,0
467,0,-5,589,20,192,3.35,0,42,0
468,0,-5,153,20,147,0,0,66,0
469,0,-5,181,30,91,-18.18,0,44,0
470,0,-5,179,20,63,25.92,1,31,0
471,0,-5,308,20,124,41.25,1,60,0
472,348,747.6181775,226,25,74,0,1,42,1
473,108,370.289338,241,25,30,26.33,1,72,1
474,0,-5,77,30,125,16.71,1,39,0
475,0,-5,270,20,34,0,0,54,0
476,0,-5,416,30,158,-4.5,0,63,0
477,0,-5,63,25,64,16.48,1,40,0
478,703,1178.925773,753,20,37,34.45,1,29,1
479,308,684.0592672,414,30,116,24.16,1,36,1
480,0,-5,128,20,125,0,0,30,0
481,1038,1993.431277,572,25,87,-41.76,1,32,1
482,664,1256.950174,520,30,64,8.32,1,30,1
483,0,-5,245,30,107,0,0,46,0
484,0,-5,321,30,161,0,0,36,0
485,978,1672.542865,660,30,85,-12.85,0,37,1
486,1253,2161.468071,980,20,164,-14.8,0,39,1
487,705,1265.417605,527,25,61,0,0,39,1
488,0,-5,316,20,167,22.16,1,43,0
489,775,1369.355712,659,20,113,-6.09,1,65,1
490,641,1269.714502,452,30,73,-5.57,1,31,1
491,725,1254.42088,650,20,68,0,0,75,1
492,655,1247.815357,687,25,118,17.24,0,43,1
493,269,676.1059352,147,30,43,-5.6,1,56,1
494,0,-5,202,25,96,-14.36,0,30,0
495,0,-5,83,20,152,11.67,0,59,0
496,905,1714.51922,722,25,62,0,1,44,1
497,0,-5,319,20,152,0,0,45,0
498,0,-5,189,20,132,2.36,1,30,0
499,709,1298.072823,539,20,73,0,0,34,1
500,0,-5,474,20,119,-6.03,0,54,0
