customer,quarter,order_quantity,crossbuy,ret_expense,ret_expense_sq,purchase
6,9,277.08,3,9.68,93.7,1
6,10,211.01,3,0,0,1
6,11,327.22,2,2.03,4.12,1
6,12,421.65,4,0,0,1
7,1,99.5,1,6.83,46.65,1
7,2,0,0,53.42,2853.7,0
7,3,0,0,0,0,0
7,4,0,0,0,0,0
7,5,0,0,0,0,0
7,6,0,0,32.08,1029.13,0
7,7,0,0,0,0,0
7,8,0,0,0,0,0
7,9,0,0,0,0,0
7,10,0,0,47.66,2271.48,0
7,11,0,0,0,0,0
7,12,0,0,0,0,0
8,1,151.52,4,0,0,1
8,2,0,0,19.67,386.91,0
8,3,55.97,1,29.59,875.57,1
8,4,0,0,0,0,0
8,5,0,0,0,0,0
8,6,0,0,0,0,0
8,7,0,0,39.16,1533.51,0
8,8,0,0,0,0,0
8,9,0,0,40.65,1652.42,0
8,10,0,0,0,0,0
8,11,0,0,0,0,0
8,12,0,0,0,0,0
9,1,300.61,2,0,0,1
9,2,409.04,3,0,0,1
9,3,210.86,1,0,0,1
9,4,0,0,0,0,0
9,5,0,0,0,0,0
9,6,0,0,0,0,0
9,7,0,0,0,0,0
9,8,0,0,42.19,1780,0
9,9,0,0,0,0,0
9,10,0,0,40.12,1609.61,0
9,11,0,0,43.13,1860.2,0
9,12,0,0,0,0,0
10,1,202.56,1,24.19,585.16,1
10,2,234.78,1,0,0,1
10,3,355.47,2,26.27,690.11,1
10,4,210.75,1,50.37,2537.14,1
10,5,231.36,1,0,0,1
10,6,199.1,3,41.32,1707.34,1
10,7,259.73,1,24.24,587.58,1
10,8,277.79,2,0,0,1
10,9,226.11,1,0,0,1
10,10,213.61,1,6.83,46.65,1
10,11,0,0,0,0,0
10,12,0,0,0,0,0
11,1,138.68,1,10.03,100.6,1
11,2,195.29,1,0,0,1
11,3,223.1,1,41.07,1686.74,1
11,4,257.63,1,43.25,1870.56,1
11,5,227.28,1,0,0,1
11,6,355.99,1,0,0,1
11,7,465.35,2,8.76,76.74,1
11,8,440.88,4,29.62,877.34,1
11,9,272.45,1,0,0,1
11,10,230.23,1,0,0,1
11,11,268.44,1,28.78,828.29,1
11,12,0,0,42.93,1842.98,0
12,1,128.15,1,44.01,1936.88,1
12,2,152.88,1,0,0,1
12,3,176.2,1,20.99,440.58,1
12,4,172.01,1,52.48,2754.15,1
12,5,206.16,1,0,0,1
12,6,0,0,0,0,0
12,7,0,0,0,0,0
12,8,0,0,0,0,0
12,9,0,0,31.9,1017.61,0
12,10,0,0,0,0,0
12,11,0,0,0,0,0
12,12,0,0,10.29,105.88,0
13,1,207.44,1,8.74,76.39,1
13,2,229.66,1,0,0,1
13,3,305.24,4,0,0,1
13,4,234.77,1,7.12,50.69,1
13,5,329.94,2,16.47,271.26,1
13,6,258.95,1,23.57,555.54,1
13,7,395.69,2,0,0,1
13,8,323.99,4,0,0,1
13,9,249.92,3,0,0,1
13,10,196.63,1,15.27,233.17,1
13,11,206.36,1,0,0,1
13,12,144.37,1,0,0,1
14,1,216.4,5,0,0,1
14,2,258.19,4,0,0,1
14,3,240.57,3,0,0,1
14,4,192.53,1,0,0,1
14,5,272.18,4,41.88,1753.93,1
14,6,354.94,5,0,0,1
14,7,276.17,2,0,0,1
14,8,167.19,1,0,0,1
14,9,231.12,5,17.63,310.82,1
14,10,192.45,1,51.77,2680.13,1
14,11,141.61,1,0,0,1
14,12,0,0,42.28,1787.6,0
15,1,282.3,1,0,0,1
15,2,248.51,1,0,0,1
15,3,0,0,50.64,2564.41,0
15,4,0,0,56.02,3138.24,0
15,5,0,0,0,0,0
15,6,0,0,30.14,908.42,0
15,7,0,0,30.65,939.42,0
15,8,0,0,17.65,311.52,0
15,9,0,0,0,0,0
15,10,0,0,13.07,170.82,0
15,11,0,0,0,0,0
15,12,0,0,0,0,0
16,1,115.64,1,0,0,1
16,2,0,0,20.16,406.43,0
16,3,0,0,0,0,0
16,4,0,0,45.17,2040.33,0
16,5,0,0,0,0,0
16,6,0,0,16.4,268.96,0
16,7,122.91,1,34.43,1185.42,1
16,8,0,0,0,0,0
16,9,0,0,35.72,1275.92,0
16,10,0,0,0,0,0
16,11,0,0,51.36,2637.85,0
16,12,0,0,45.6,2079.36,0
17,1,150.3,1,32.36,1047.17,1
17,2,0,0,0,0,0
17,3,0,0,0,0,0
17,4,0,0,0,0,0
17,5,0,0,0,0,0
17,6,0,0,35.02,1226.4,0
17,7,0,0,0,0,0
17,8,0,0,47.39,2245.81,0
17,9,0,0,38.39,1473.79,0
17,10,0,0,0,0,0
17,11,0,0,32.07,1028.48,0
17,12,0,0,0,0,0
18,1,204.74,4,0,0,1
18,2,0,0,31.78,1009.97,0
18,3,0,0,0,0,0
18,4,0,0,45.52,2072.07,0
18,5,0,0,10.34,106.92,0
18,6,0,0,0,0,0
18,7,0,0,51.34,2635.8,0
18,8,0,0,0,0,0
18,9,0,0,0,0,0
18,10,0,0,0,0,0
18,11,0,0,54.99,3023.9,0
18,12,0,0,20.24,409.66,0
19,1,193.66,1,0,0,1
19,2,0,0,0,0,0
19,3,103.67,1,0,0,1
19,4,188.9,1,0,0,1
19,5,0,0,0,0,0
19,6,0,0,0,0,0
19,7,0,0,28.81,830.02,0
19,8,0,0,0,0,0
19,9,0,0,45.99,2115.08,0
19,10,0,0,0,0,0
19,11,0,0,0,0,0
19,12,0,0,44.04,1939.52,0
20,1,96.35,1,32.3,1043.29,1
20,2,0,0,0,0,0
20,3,139.88,1,0,0,1
20,4,165.28,1,0,0,1
20,5,211.86,1,0,0,1
20,6,296.25,4,0,0,1
20,7,273.56,4,18.28,334.16,1
20,8,0,0,0,0,0
20,9,0,0,0,0,0
20,10,0,0,0,0,0
20,11,0,0,38.95,1517.1,0
20,12,0,0,0,0,0
21,1,301.43,1,0,0,1
21,2,381.47,4,28.27,799.19,1
21,3,265.15,2,28.52,813.39,1
21,4,209.64,1,0,0,1
21,5,187.2,1,0,0,1
21,6,193.99,1,6.83,46.65,1
21,7,0,0,0,0,0
21,8,0,0,0,0,0
21,9,0,0,26.96,726.84,0
21,10,0,0,0,0,0
21,11,0,0,38.79,1504.66,0
21,12,0,0,0,0,0
22,1,307.99,2,14.65,214.62,1
22,2,439.27,2,29.43,866.12,1
22,3,346.69,3,0,0,1
22,4,488.14,4,8.84,78.15,1
22,5,578.92,2,0,0,1
22,6,344.33,5,0,0,1
22,7,340.48,2,22.89,523.95,1
22,8,192.44,2,37.34,1394.28,1
22,9,244.09,4,28.51,812.82,1
22,10,262.52,1,0,0,1
22,11,228.2,1,32.94,1085.04,1
22,12,0,0,0,0,0
23,1,272.67,1,0,0,1
23,2,158.15,1,28.21,795.8,1
23,3,227.31,1,0,0,1
23,4,190.08,1,0,0,1
23,5,0,0,0,0,0
23,6,0,0,18.23,332.33,0
23,7,0,0,0,0,0
23,8,0,0,18.96,359.48,0
23,9,0,0,38.05,1447.8,0
23,10,0,0,6.2,38.44,0
23,11,0,0,0,0,0
23,12,0,0,22.3,497.29,0
24,1,206.05,1,0,0,1
24,2,136.47,1,0,0,1
24,3,171.33,1,0,0,1
24,4,234.95,1,9.74,94.87,1
24,5,252.04,1,8.21,67.4,1
24,6,254.67,1,31.27,977.81,1
24,7,147.53,1,52.79,2786.78,1
24,8,207.44,1,0,0,1
24,9,225.53,1,0,0,1
24,10,212.67,1,0,0,1
24,11,199.14,1,0,0,1
24,12,203.71,1,0,0,1
25,1,217.07,1,0,0,1
25,2,214.58,1,15.04,226.2,1
25,3,210.3,1,26.23,688.01,1
25,4,140.85,1,31.87,1015.7,1
25,5,0,0,55.06,3031.6,0
25,6,0,0,0,0,0
25,7,0,0,0,0,0
25,8,0,0,24.93,621.5,0
25,9,0,0,0,0,0
25,10,0,0,36.97,1366.78,0
25,11,0,0,0,0,0
25,12,0,0,0,0,0
26,1,297.18,2,49.72,2472.08,1
26,2,439.22,2,15.3,234.09,1
26,3,253.57,1,46.12,2127.05,1
26,4,227.4,1,51.03,2604.06,1
26,5,225.27,1,0,0,1
26,6,247.12,1,0,0,1
26,7,0,0,20.23,409.25,0
26,8,0,0,0,0,0
26,9,0,0,0,0,0
26,10,0,0,0,0,0
26,11,0,0,0,0,0
26,12,0,0,0,0,0
27,1,296.1,2,50.14,2514.02,1
27,2,288.53,1,14.43,208.22,1
27,3,271.3,3,0,0,1
27,4,0,0,0,0,0
27,5,0,0,0,0,0
27,6,0,0,0,0,0
27,7,0,0,0,0,0
27,8,0,0,38.19,1458.48,0
27,9,0,0,0,0,0
27,10,0,0,21.01,441.42,0
27,11,0,0,0,0,0
27,12,0,0,0,0,0
28,1,215.01,3,0,0,1
28,2,0,0,0,0,0
28,3,0,0,13.38,179.02,0
28,4,0,0,0,0,0
28,5,0,0,0,0,0
28,6,0,0,0,0,0
28,7,0,0,0,0,0
28,8,0,0,0,0,0
28,9,0,0,0,0,0
28,10,0,0,0,0,0
28,11,0,0,0,0,0
28,12,96.48,1,0,0,1
29,1,270.45,1,0,0,1
29,2,279.84,1,0,0,1
29,3,403.64,2,0,0,1
29,4,294.99,2,0,0,1
29,5,259.7,1,0,0,1
29,6,216.16,1,0,0,1
29,7,251.49,1,0,0,1
29,8,196.98,1,45.74,2092.15,1
29,9,163.96,1,0,0,1
29,10,222.23,4,19.83,393.23,1
29,11,338.11,2,0,0,1
29,12,0,0,48.98,2399.04,0
30,1,176.9,1,8.97,80.46,1
30,2,207.13,1,47.88,2292.49,1
30,3,233.34,3,0,0,1
30,4,357.6,4,0,0,1
30,5,244.32,4,0,0,1
30,6,278.78,3,0,0,1
30,7,344.2,2,0,0,1
30,8,300.87,2,16.55,273.9,1
30,9,230.43,3,0,0,1
30,10,228.74,1,44.25,1958.06,1
30,11,0,0,0,0,0
30,12,0,0,0,0,0
31,1,204.96,1,18,324,1
31,2,258.7,3,0,0,1
31,3,228.53,1,25.09,629.51,1
31,4,225.61,1,9.2,84.64,1
31,5,163.44,1,0,0,1
31,6,109.92,1,0,0,1
31,7,0,0,0,0,0
31,8,0,0,40.43,1634.58,0
31,9,0,0,42.49,1805.4,0
31,10,0,0,25.33,641.61,0
31,11,0,0,0,0,0
31,12,0,0,0,0,0
32,1,226.92,2,48.29,2331.92,1
32,2,235.66,2,18.63,347.08,1
32,3,209.47,1,0,0,1
32,4,214.79,1,0,0,1
32,5,0,0,0,0,0
32,6,0,0,51.63,2665.66,0
32,7,0,0,0,0,0
32,8,0,0,0,0,0
32,9,0,0,0,0,0
32,10,0,0,31.84,1013.79,0
32,11,0,0,0,0,0
32,12,0,0,0,0,0
33,1,158.23,1,45.31,2053,1
33,2,0,0,46.62,2173.42,0
33,3,0,0,28.06,787.36,0
33,4,0,0,50.67,2567.45,0
33,5,0,0,45.61,2080.27,0
33,6,0,0,50.79,2579.62,0
33,7,0,0,0,0,0
33,8,0,0,0,0,0
33,9,161.14,1,31.04,963.48,1
33,10,190.32,1,14,196,1
33,11,207.43,1,0,0,1
33,12,241.41,3,0,0,1
34,1,313.27,2,0,0,1
34,2,189.28,1,8.39,70.39,1
34,3,188.24,1,29.68,880.9,1
34,4,156.36,1,29.54,872.61,1
34,5,148.08,1,0,0,1
34,6,254.92,4,7.91,62.57,1
34,7,326.25,1,33.93,1151.24,1
34,8,265.58,1,0,0,1
34,9,357.63,5,10.77,115.99,1
34,10,0,0,0,0,0
34,11,0,0,21.38,457.1,0
34,12,0,0,0,0,0
35,1,226.16,1,44.58,1987.38,1
35,2,242.82,2,20.31,412.5,1
35,3,251.97,1,0,0,1
35,4,283.08,1,0,0,1
35,5,389.57,1,33.04,1091.64,1
35,6,337.04,2,34.42,1184.74,1
35,7,182.79,1,49.17,2417.69,1
35,8,218.82,1,29.7,882.09,1
35,9,0,0,0,0,0
35,10,0,0,0,0,0
35,11,0,0,26.36,694.85,0
35,12,0,0,20.14,405.62,0
36,1,160.34,1,0,0,1
36,2,167.49,1,0,0,1
36,3,284.62,4,15.92,253.45,1
36,4,282.54,2,0,0,1
36,5,355.98,4,0,0,1
36,6,215.06,1,0,0,1
36,7,337.76,1,0,0,1
36,8,345.86,1,24.78,614.05,1
36,9,293.99,2,0,0,1
36,10,253.58,1,48.75,2376.56,1
36,11,252.98,1,0,0,1
36,12,356.53,4,0,0,1
37,1,303.99,2,0,0,1
37,2,172.6,1,17.76,315.42,1
37,3,0,0,0,0,0
37,4,0,0,0,0,0
37,5,0,0,21.33,454.97,0
37,6,0,0,0,0,0
37,7,0,0,0,0,0
37,8,0,0,0,0,0
37,9,0,0,0,0,0
37,10,0,0,0,0,0
37,11,0,0,0,0,0
37,12,0,0,11.64,135.49,0
38,1,180.01,1,0,0,1
38,2,228.34,1,18.49,341.88,1
38,3,0,0,0,0,0
38,4,0,0,48.16,2319.39,0
38,5,0,0,0,0,0
38,6,0,0,0,0,0
38,7,0,0,0,0,0
38,8,0,0,12.81,164.1,0
38,9,0,0,0,0,0
38,10,0,0,0,0,0
38,11,0,0,0,0,0
38,12,0,0,49.51,2451.24,0
39,1,155.86,1,0,0,1
39,2,164.23,1,0,0,1
39,3,303.89,2,0,0,1
39,4,229.61,1,0,0,1
39,5,154.1,1,0,0,1
39,6,265.04,1,0,0,1
39,7,198.84,1,0,0,1
39,8,166.65,1,52.43,2748.9,1
39,9,193.05,1,0,0,1
39,10,248.98,1,0,0,1
39,11,222.75,1,0,0,1
39,12,144.4,1,0,0,1
40,1,268.59,2,56.55,3197.9,1
40,2,388.68,1,0,0,1
40,3,280.84,1,0,0,1
40,4,314.72,3,0,0,1
40,5,255.75,1,40.51,1641.06,1
40,6,259.45,1,27.35,748.02,1
40,7,218.73,1,42.93,1842.98,1
40,8,201.91,1,0,0,1
40,9,189.83,1,42.03,1766.52,1
40,10,0,0,0,0,0
40,11,0,0,0,0,0
40,12,0,0,0,0,0
41,1,175.66,3,36.16,1307.55,1
41,2,186.84,1,0,0,1
41,3,262.86,1,34.06,1160.08,1
41,4,355.65,1,0,0,1
41,5,327.53,2,37.32,1392.78,1
41,6,194.92,1,0,0,1
41,7,191.31,1,0,0,1
41,8,175.91,1,0,0,1
41,9,283.91,3,16.27,264.71,1
41,10,368.47,2,15.44,238.39,1
41,11,212.52,1,0,0,1
41,12,0,0,0,0,0
42,1,214.27,4,58.49,3421.08,1
42,2,193.13,1,0,0,1
42,3,307.19,2,42.03,1766.52,1
42,4,330.11,2,38.32,1468.42,1
42,5,299.63,4,0,0,1
42,6,292.42,2,18.92,357.97,1
42,7,213.21,1,0,0,1
42,8,231.29,1,5.11,26.11,1
42,9,226.4,2,35.67,1272.35,1
42,10,255.34,2,0,0,1
42,11,192.17,1,0,0,1
42,12,0,0,0,0,0
43,1,212.12,2,0,0,1
43,2,196.53,2,0,0,1
43,3,0,0,0,0,0
43,4,0,0,47.48,2254.35,0
43,5,0,0,37.46,1403.25,0
43,6,132.9,4,37.17,1381.61,1
43,7,271.42,2,0,0,1
43,8,253.06,5,14.5,210.25,1
43,9,235.09,3,38.06,1448.56,1
43,10,234.97,2,0,0,1
43,11,357.66,4,24.63,606.64,1
43,12,357.87,4,0,0,1
44,1,230.98,1,42.69,1822.44,1
44,2,171.65,1,47.39,2245.81,1
44,3,221.26,1,0,0,1
44,4,223.74,3,0,0,1
44,5,0,0,0,0,0
44,6,0,0,0,0,0
44,7,0,0,24.13,582.26,0
44,8,0,0,31.38,984.7,0
44,9,0,0,50.75,2575.56,0
44,10,0,0,13.4,179.56,0
44,11,0,0,0,0,0
44,12,0,0,21.21,449.86,0
45,1,286.71,1,0,0,1
45,2,0,0,0,0,0
45,3,0,0,0,0,0
45,4,0,0,41.89,1754.77,0
45,5,0,0,35.36,1250.33,0
45,6,126,1,0,0,1
45,7,196.26,1,49.3,2430.49,1
45,8,222.07,1,0,0,1
45,9,303.46,1,0,0,1
45,10,275.65,1,0,0,1
45,11,240.68,1,22.62,511.66,1
45,12,385.65,3,31.23,975.31,1
46,1,321.67,2,21.1,445.21,1
46,2,0,0,57.48,3303.95,0
46,3,0,0,46.01,2116.92,0
46,4,0,0,0,0,0
46,5,0,0,0,0,0
46,6,0,0,9.94,98.8,0
46,7,0,0,12.93,167.18,0
46,8,170,1,34.8,1211.04,1
46,9,300.43,2,0,0,1
46,10,262.97,3,0,0,1
46,11,426.39,3,0,0,1
46,12,574.2,2,17.69,312.94,1
47,1,151.89,1,0,0,1
47,2,180.78,1,40.78,1663.01,1
47,3,0,0,0,0,0
47,4,0,0,41.29,1704.86,0
47,5,0,0,0,0,0
47,6,0,0,55.64,3095.81,0
47,7,0,0,40.05,1604,0
47,8,0,0,0,0,0
47,9,0,0,0,0,0
47,10,152.63,1,21.91,480.05,1
47,11,186.57,1,15.52,240.87,1
47,12,185.25,1,5.41,29.27,1
48,1,90.1,2,0,0,1
48,2,222.03,2,0,0,1
48,3,198.59,2,0,0,1
48,4,0,0,0,0,0
48,5,0,0,0,0,0
48,6,0,0,36.09,1302.49,0
48,7,0,0,0,0,0
48,8,0,0,0,0,0
48,9,0,0,0,0,0
48,10,0,0,45.49,2069.34,0
48,11,0,0,49.97,2497,0
48,12,0,0,0,0,0
49,1,113.1,1,48.49,2351.28,1
49,2,0,0,27.77,771.17,0
49,3,0,0,0,0,0
49,4,0,0,0,0,0
49,5,0,0,0,0,0
49,6,0,0,16.61,275.89,0
49,7,0,0,11.12,123.65,0
49,8,0,0,0,0,0
49,9,0,0,0,0,0
49,10,0,0,0,0,0
49,11,0,0,0,0,0
49,12,0,0,0,0,0
50,1,214.06,2,18.21,331.6,1
50,2,165.84,1,48.33,2335.79,1
50,3,0,0,0,0,0
50,4,0,0,8.92,79.57,0
50,5,0,0,0,0,0
50,6,0,0,0,0,0
50,7,0,0,0,0,0
50,8,0,0,13.1,171.61,0
50,9,0,0,9.44,89.11,0
50,10,0,0,0,0,0
50,11,0,0,28.29,800.32,0
50,12,0,0,0,0,0
51,1,194.03,1,17,289,1
51,2,297.14,1,27.73,768.95,1
51,3,176.05,1,23.83,567.87,1
51,4,303.53,1,0,0,1
51,5,227.99,1,39.1,1528.81,1
51,6,0,0,54.02,2918.16,0
51,7,0,0,16.55,273.9,0
51,8,0,0,0,0,0
51,9,0,0,5.65,31.92,0
51,10,0,0,30.23,913.85,0
51,11,0,0,0,0,0
51,12,145.92,1,11.26,126.79,1
52,1,196.81,1,48.58,2360.02,1
52,2,205.8,3,40.62,1649.98,1
52,3,0,0,0,0,0
52,4,134.45,1,7.09,50.27,1
52,5,214.41,1,0,0,1
52,6,240.55,2,0,0,1
52,7,138.21,2,34.85,1214.52,1
52,8,289.94,2,0,0,1
52,9,231.58,4,0,0,1
52,10,343.19,2,48.96,2397.08,1
52,11,474.7,2,0,0,1
52,12,301.39,3,0,0,1
53,1,266.36,1,0,0,1
53,2,256.5,1,0,0,1
53,3,0,0,0,0,0
53,4,0,0,16.86,284.26,0
53,5,0,0,0,0,0
53,6,0,0,0,0,0
53,7,0,0,18.35,336.72,0
53,8,0,0,12.32,151.78,0
53,9,0,0,20.5,420.25,0
53,10,0,0,0,0,0
53,11,0,0,0,0,0
53,12,84.34,1,25.17,633.53,1
54,1,266.33,1,0,0,1
54,2,361.73,2,0,0,1
54,3,280.42,2,18.14,329.06,1
54,4,330.87,2,0,0,1
54,5,442.81,4,13.63,185.78,1
54,6,285.98,3,0,0,1
54,7,404.27,4,0,0,1
54,8,420.59,3,21.26,451.99,1
54,9,339.85,2,53.07,2816.42,1
54,10,281.45,2,0,0,1
54,11,275.96,4,0,0,1
54,12,235.52,2,0,0,1
55,1,57.25,1,11.38,129.5,1
55,2,196.81,1,25.53,651.78,1
55,3,288.83,3,35.64,1270.21,1
55,4,249.08,1,0,0,1
55,5,220.85,1,0,0,1
55,6,327.69,3,18.79,353.06,1
55,7,415.81,2,0,0,1
55,8,504.25,2,0,0,1
55,9,253.92,1,0,0,1
55,10,0,0,5.54,30.69,0
55,11,0,0,0,0,0
55,12,84.59,1,15.81,249.96,1
56,1,108.04,1,29.58,874.98,1
56,2,245.31,2,0,0,1
56,3,0,0,0,0,0
56,4,0,0,40.9,1672.81,0
56,5,0,0,12.72,161.8,0
56,6,0,0,32.21,1037.48,0
56,7,0,0,22.5,506.25,0
56,8,0,0,41.58,1728.9,0
56,9,0,0,0,0,0
56,10,0,0,0,0,0
56,11,0,0,0,0,0
56,12,0,0,52.23,2727.97,0
57,1,144.11,1,0,0,1
57,2,246.66,1,0,0,1
57,3,362.12,2,6.01,36.12,1
57,4,481.06,4,0,0,1
57,5,302.46,4,47.81,2285.8,1
57,6,223.3,1,0,0,1
57,7,336.12,3,0,0,1
57,8,441.12,2,0,0,1
57,9,286.77,2,0,0,1
57,10,406.13,2,0,0,1
57,11,265.94,4,36.29,1316.96,1
57,12,379.86,2,51.05,2606.1,1
58,1,119.23,1,0,0,1
58,2,0,0,0,0,0
58,3,0,0,30.05,903,0
58,4,0,0,0,0,0
58,5,0,0,0,0,0
58,6,0,0,34.41,1184.05,0
58,7,0,0,47,2209,0
58,8,0,0,0,0,0
58,9,0,0,0,0,0
58,10,0,0,13.9,193.21,0
58,11,0,0,0,0,0
58,12,0,0,0,0,0
59,1,51.26,1,0,0,1
59,2,199.28,2,0,0,1
59,3,333.05,2,0,0,1
59,4,481.98,2,0,0,1
59,5,269.08,4,0,0,1
59,6,378.74,4,0,0,1
59,7,288.83,2,24.66,608.12,1
59,8,216.85,1,0,0,1
59,9,201.14,1,28.91,835.79,1
59,10,283.44,1,0,0,1
59,11,415.72,2,0,0,1
59,12,294.57,2,0,0,1
60,1,326.15,4,0,0,1
60,2,194.15,1,37.79,1428.08,1
60,3,233.54,1,0,0,1
60,4,239.47,1,0,0,1
60,5,284.38,1,0,0,1
60,6,437.3,2,0,0,1
60,7,280.82,1,0,0,1
60,8,0,0,0,0,0
60,9,0,0,16.33,266.67,0
60,10,0,0,0,0,0
60,11,0,0,0,0,0
60,12,0,0,37.96,1440.96,0
61,1,146.91,2,0,0,1
61,2,86.37,1,0,0,1
61,3,150.33,1,0,0,1
61,4,174.53,5,0,0,1
61,5,210.87,1,18.42,339.3,1
61,6,343.48,3,47.19,2226.9,1
61,7,408.07,2,0,0,1
61,8,302.5,5,0,0,1
61,9,403.98,3,0,0,1
61,10,335.11,2,0,0,1
61,11,279.03,5,49.66,2466.12,1
61,12,323.33,4,29.34,860.84,1
62,1,168.21,1,0,0,1
62,2,192.79,1,0,0,1
62,3,161.44,1,37.58,1412.26,1
62,4,0,0,0,0,0
62,5,0,0,0,0,0
62,6,0,0,12.01,144.24,0
62,7,157.09,1,14.53,211.12,1
62,8,173.55,1,52.61,2767.81,1
62,9,213.88,1,17.91,320.77,1
62,10,304.83,3,0,0,1
62,11,256.71,1,0,0,1
62,12,274.39,1,0,0,1
63,1,160.95,1,0,0,1
63,2,198.71,1,0,0,1
63,3,200.87,1,0,0,1
63,4,233.87,1,50.03,2503,1
63,5,221.77,1,21.47,460.96,1
63,6,341.73,1,0,0,1
63,7,230.45,1,0,0,1
63,8,0,0,0,0,0
63,9,0,0,0,0,0
63,10,0,0,0,0,0
63,11,0,0,8.86,78.5,0
63,12,0,0,8.81,77.62,0
64,1,308.72,2,0,0,1
64,2,197.75,1,0,0,1
64,3,0,0,0,0,0
64,4,0,0,0,0,0
64,5,0,0,0,0,0
64,6,150.87,1,24.92,621.01,1
64,7,241.59,1,0,0,1
64,8,151.81,1,0,0,1
64,9,0,0,0,0,0
64,10,0,0,0,0,0
64,11,0,0,44.68,1996.3,0
64,12,0,0,0,0,0
65,1,94.17,1,0,0,1
65,2,0,0,0,0,0
65,3,0,0,21.4,457.96,0
65,4,0,0,48.17,2320.35,0
65,5,0,0,0,0,0
65,6,0,0,28,784,0
65,7,0,0,0,0,0
65,8,0,0,14.22,202.21,0
65,9,0,0,0,0,0
65,10,0,0,1.92,3.69,0
65,11,0,0,0,0,0
65,12,0,0,0,0,0
66,1,156.83,1,0,0,1
66,2,238.28,1,0,0,1
66,3,141.62,1,0,0,1
66,4,208.65,1,0,0,1
66,5,0,0,0,0,0
66,6,0,0,0,0,0
66,7,73.36,1,0,0,1
66,8,111.05,1,0,0,1
66,9,0,0,0,0,0
66,10,0,0,20.6,424.36,0
66,11,0,0,0,0,0
66,12,80.92,1,30.33,919.91,1
67,1,297.69,3,0,0,1
67,2,312.34,3,0,0,1
67,3,271.8,2,45.74,2092.15,1
67,4,418.41,4,0,0,1
67,5,0,0,0,0,0
67,6,0,0,0,0,0
67,7,0,0,0,0,0
67,8,0,0,13.84,191.55,0
67,9,0,0,0,0,0
67,10,0,0,52.17,2721.71,0
67,11,0,0,4.87,23.72,0
67,12,0,0,26.26,689.59,0
68,1,189.26,2,0,0,1
68,2,209.44,2,0,0,1
68,3,339.65,3,0,0,1
68,4,270.05,3,0,0,1
68,5,0,0,0,0,0
68,6,0,0,0,0,0
68,7,0,0,0,0,0
68,8,0,0,0,0,0
68,9,0,0,15.3,234.09,0
68,10,0,0,0,0,0
68,11,0,0,33.08,1094.29,0
68,12,0,0,0,0,0
69,1,93.63,1,0,0,1
69,2,0,0,0,0,0
69,3,0,0,0,0,0
69,4,0,0,0,0,0
69,5,0,0,0,0,0
69,6,0,0,0,0,0
69,7,0,0,0,0,0
69,8,0,0,0,0,0
69,9,0,0,0,0,0
69,10,0,0,0,0,0
69,11,0,0,0,0,0
69,12,0,0,29.46,867.89,0
70,1,299.77,2,17.65,311.52,1
70,2,211.54,1,0,0,1
