ds,method,split_number,rank_score
11_bank_churn,SVM,2,0.3333333333333333
11_bank_churn,SVM,3,0.3333333333333333
11_bank_churn,SVM,4,0.3333333333333333
11_bank_churn,SVM,5,0.3333333333333333
11_bank_churn,SVM,6,0.3333333333333333
11_bank_churn,SVM,7,0.3333333333333333
11_bank_churn,SVM,8,0.3333333333333333
11_bank_churn,SVM,9,0.3333333333333333
11_bank_churn,TabPFN,0,1.0
11_bank_churn,TabPFN,1,1.0
11_bank_churn,TabPFN,2,1.0
11_bank_churn,TabPFN,3,1.0
11_bank_churn,TabPFN,4,1.0
11_bank_churn,TabPFN,5,1.0
11_bank_churn,TabPFN,6,1.0
11_bank_churn,TabPFN,7,1.0
11_bank_churn,TabPFN,8,1.0
11_bank_churn,TabPFN,9,0.8888888888888888
11_bank_churn,XGBoost,0,0.5555555555555556
11_bank_churn,XGBoost,1,0.4444444444444444
11_bank_churn,XGBoost,2,0.4444444444444444
11_bank_churn,XGBoost,3,0.4444444444444444
11_bank_churn,XGBoost,4,0.4444444444444444
11_bank_churn,XGBoost,5,0.4444444444444444
11_bank_churn,XGBoost,6,0.4444444444444444
11_bank_churn,XGBoost,7,0.4444444444444444
11_bank_churn,XGBoost,8,0.4444444444444444
11_bank_churn,XGBoost,9,0.6666666666666666
1_german_credit,CatBoost,0,0.7777777777777778
1_german_credit,CatBoost,1,0.7777777777777778
1_german_credit,CatBoost,2,0.7777777777777778
1_german_credit,CatBoost,3,0.7777777777777778
1_german_credit,CatBoost,4,0.7777777777777778
1_german_credit,CatBoost,5,1.0
1_german_credit,CatBoost,6,1.0
1_german_credit,CatBoost,7,0.6666666666666666
1_german_credit,CatBoost,8,0.7777777777777778
1_german_credit,CatBoost,9,0.4444444444444444
1_german_credit,KNN,0,0.1111111111111111
1_german_credit,KNN,1,0.1111111111111111
1_german_credit,KNN,2,0.1111111111111111
1_german_credit,KNN,3,0.1111111111111111
1_german_credit,KNN,4,0.1111111111111111
1_german_credit,KNN,5,0.1111111111111111
1_german_credit,KNN,6,0.8888888888888888
1_german_credit,KNN,7,0.2222222222222222
1_german_credit,KNN,8,0.1111111111111111
1_german_credit,KNN,9,0.1111111111111111
1_german_credit,LightGBM,0,0.8888888888888888
1_german_credit,LightGBM,1,0.2222222222222222
1_german_credit,LightGBM,2,0.3333333333333333
1_german_credit,LightGBM,3,0.2222222222222222
1_german_credit,LightGBM,4,0.5555555555555556
1_german_credit,LightGBM,5,0.7777777777777778
1_german_credit,LightGBM,6,0.3333333333333333
1_german_credit,LightGBM,7,0.3333333333333333
1_german_credit,LightGBM,8,0.4444444444444444
1_german_credit,LightGBM,9,0.7777777777777778
1_german_credit,LogReg,0,0.6666666666666666
1_german_credit,LogReg,1,0.8888888888888888
1_german_credit,LogReg,2,0.4444444444444444
1_german_credit,LogReg,3,0.5555555555555556
1_german_credit,LogReg,4,0.4444444444444444
1_german_credit,LogReg,5,0.2222222222222222
1_german_credit,LogReg,6,0.1111111111111111
1_german_credit,LogReg,7,0.7777777777777778
1_german_credit,LogReg,8,0.5555555555555556
1_german_credit,LogReg,9,1.0
1_german_credit,MLP,0,0.3333333333333333
1_german_credit,MLP,1,0.3333333333333333
1_german_credit,MLP,2,1.0
1_german_credit,MLP,3,0.6666666666666666
1_german_credit,MLP,4,0.2777777777777778
1_german_credit,MLP,5,0.5555555555555556
1_german_credit,MLP,6,0.7777777777777778
1_german_credit,MLP,7,0.5555555555555556
1_german_credit,MLP,8,0.8888888888888888
1_german_credit,MLP,9,0.5555555555555556
1_german_credit,RandomForest,0,1.0
1_german_credit,RandomForest,1,0.6666666666666666
1_german_credit,RandomForest,2,0.6666666666666666
1_german_credit,RandomForest,3,1.0
1_german_credit,RandomForest,4,0.6666666666666666
1_german_credit,RandomForest,5,0.4444444444444444
1_german_credit,RandomForest,6,0.4444444444444444
1_german_credit,RandomForest,7,0.4444444444444444
1_german_credit,RandomForest,8,0.3333333333333333
1_german_credit,RandomForest,9,0.2222222222222222
1_german_credit,SVM,0,0.4444444444444444
1_german_credit,SVM,1,0.4444444444444444
1_german_credit,SVM,2,0.5555555555555556
1_german_credit,SVM,3,0.3333333333333333
1_german_credit,SVM,4,0.2777777777777778
1_german_credit,SVM,5,0.3333333333333333
1_german_credit,SVM,6,0.5555555555555556
1_german_credit,SVM,7,1.0
1_german_credit,SVM,8,0.6666666666666666
1_german_credit,SVM,9,0.3333333333333333
1_german_credit,TabPFN,0,0.5555555555555556
1_german_credit,TabPFN,1,1.0
1_german_credit,TabPFN,2,0.8888888888888888
1_german_credit,TabPFN,3,0.8888888888888888
1_german_credit,TabPFN,4,1.0
1_german_credit,TabPFN,5,0.6666666666666666
1_german_credit,TabPFN,6,0.6666666666666666
1_german_credit,TabPFN,7,0.8888888888888888
1_german_credit,TabPFN,8,1.0
1_german_credit,TabPFN,9,0.8888888888888888
1_german_credit,XGBoost,0,0.2222222222222222
1_german_credit,XGBoost,1,0.5555555555555556
1_german_credit,XGBoost,2,0.2222222222222222
1_german_credit,XGBoost,3,0.4444444444444444
1_german_credit,XGBoost,4,0.8888888888888888
1_german_credit,XGBoost,5,0.8888888888888888
1_german_credit,XGBoost,6,0.2222222222222222
1_german_credit,XGBoost,7,0.1111111111111111
1_german_credit,XGBoost,8,0.2222222222222222
1_german_credit,XGBoost,9,0.6666666666666666
27_loan_prediction_problem,CatBoost,0,0.5555555555555556
27_loan_prediction_problem,CatBoost,1,0.7777777777777778
27_loan_prediction_problem,CatBoost,2,0.7777777777777778
27_loan_prediction_problem,CatBoost,3,0.5555555555555556
27_loan_prediction_problem,CatBoost,4,0.6666666666666666
27_loan_prediction_problem,CatBoost,5,0.6666666666666666
27_loan_prediction_problem,CatBoost,6,0.3333333333333333
27_loan_prediction_problem,CatBoost,7,0.6666666666666666
27_loan_prediction_problem,CatBoost,8,1.0
27_loan_prediction_problem,CatBoost,9,0.5555555555555556
27_loan_prediction_problem,KNN,0,0.2222222222222222
27_loan_prediction_problem,KNN,1,0.1111111111111111
27_loan_prediction_problem,KNN,2,0.1111111111111111
27_loan_prediction_problem,KNN,3,0.1111111111111111
27_loan_prediction_problem,KNN,4,0.1111111111111111
27_loan_prediction_problem,KNN,5,0.1111111111111111
27_loan_prediction_problem,KNN,6,0.1111111111111111
27_loan_prediction_problem,KNN,7,0.1111111111111111
27_loan_prediction_problem,KNN,8,0.1111111111111111
27_loan_prediction_problem,KNN,9,0.1111111111111111
27_loan_prediction_problem,LightGBM,0,0.6666666666666666
27_loan_prediction_problem,LightGBM,1,1.0
27_loan_prediction_problem,LightGBM,2,0.4444444444444444
27_loan_prediction_problem,LightGBM,3,0.6666666666666666
27_loan_prediction_problem,LightGBM,4,0.5555555555555556
27_loan_prediction_problem,LightGBM,5,1.0
27_loan_prediction_problem,LightGBM,6,0.5555555555555556
27_loan_prediction_problem,LightGBM,7,0.7777777777777778
27_loan_prediction_problem,LightGBM,8,0.4444444444444444
27_loan_prediction_problem,LightGBM,9,0.3333333333333333
27_loan_prediction_problem,LogReg,0,1.0
27_loan_prediction_problem,LogReg,1,0.4444444444444444
27_loan_prediction_problem,LogReg,2,0.2222222222222222
27_loan_prediction_problem,LogReg,3,0.2222222222222222
27_loan_prediction_problem,LogReg,4,0.8333333333333334
27_loan_prediction_problem,LogReg,5,0.4444444444444444
27_loan_prediction_problem,LogReg,6,0.9444444444444444
27_loan_prediction_problem,LogReg,7,0.3333333333333333
27_loan_prediction_problem,LogReg,8,0.3333333333333333
27_loan_prediction_problem,LogReg,9,0.7222222222222222
27_loan_prediction_problem,MLP,0,0.1111111111111111
27_loan_prediction_problem,MLP,1,0.2222222222222222
27_loan_prediction_problem,MLP,2,0.8888888888888888
27_loan_prediction_problem,MLP,3,0.3888888888888889
27_loan_prediction_problem,MLP,4,0.4444444444444444
27_loan_prediction_problem,MLP,5,0.2222222222222222
27_loan_prediction_problem,MLP,6,0.2222222222222222
27_loan_prediction_problem,MLP,7,0.2222222222222222
27_loan_prediction_problem,MLP,8,0.5555555555555556
27_loan_prediction_problem,MLP,9,0.2222222222222222
27_loan_prediction_problem,RandomForest,0,0.7777777777777778
27_loan_prediction_problem,RandomForest,1,0.3333333333333333
27_loan_prediction_problem,RandomForest,2,0.6666666666666666
27_loan_prediction_problem,RandomForest,3,1.0
27_loan_prediction_problem,RandomForest,4,0.8333333333333334
27_loan_prediction_problem,RandomForest,5,0.3333333333333333
27_loan_prediction_problem,RandomForest,6,0.4444444444444444
27_loan_prediction_problem,RandomForest,7,1.0
27_loan_prediction_problem,RandomForest,8,0.7777777777777778
27_loan_prediction_problem,RandomForest,9,0.8888888888888888
27_loan_prediction_problem,SVM,0,0.3333333333333333
27_loan_prediction_problem,SVM,1,0.5555555555555556
27_loan_prediction_problem,SVM,2,1.0
27_loan_prediction_problem,SVM,3,0.3888888888888889
27_loan_prediction_problem,SVM,4,0.3333333333333333
27_loan_prediction_problem,SVM,5,0.5555555555555556
27_loan_prediction_problem,SVM,6,0.6666666666666666
27_loan_prediction_problem,SVM,7,0.4444444444444444
27_loan_prediction_problem,SVM,8,0.6666666666666666
27_loan_prediction_problem,SVM,9,0.7222222222222222
27_loan_prediction_problem,TabPFN,0,0.8888888888888888
27_loan_prediction_problem,TabPFN,1,0.8888888888888888
27_loan_prediction_problem,TabPFN,2,0.3333333333333333
27_loan_prediction_problem,TabPFN,3,0.8888888888888888
27_loan_prediction_problem,TabPFN,4,1.0
27_loan_prediction_problem,TabPFN,5,0.7777777777777778
27_loan_prediction_problem,TabPFN,6,0.9444444444444444
27_loan_prediction_problem,TabPFN,7,0.5555555555555556
27_loan_prediction_problem,TabPFN,8,0.8888888888888888
27_loan_prediction_problem,TabPFN,9,1.0
27_loan_prediction_problem,XGBoost,0,0.4444444444444444
27_loan_prediction_problem,XGBoost,1,0.6666666666666666
27_loan_prediction_problem,XGBoost,2,0.5555555555555556
27_loan_prediction_problem,XGBoost,3,0.7777777777777778
27_loan_prediction_problem,XGBoost,4,0.2222222222222222
27_loan_prediction_problem,XGBoost,5,0.8888888888888888
27_loan_prediction_problem,XGBoost,6,0.7777777777777778
27_loan_prediction_problem,XGBoost,7,0.8888888888888888
27_loan_prediction_problem,XGBoost,8,0.2222222222222222
27_loan_prediction_problem,XGBoost,9,0.4444444444444444
2_bank_marketing,CatBoost,0,0.8888888888888888
2_bank_marketing,CatBoost,1,0.8888888888888888
2_bank_marketing,CatBoost,2,0.7777777777777778
2_bank_marketing,CatBoost,3,0.7777777777777778
2_bank_marketing,CatBoost,4,0.8888888888888888
2_bank_marketing,CatBoost,5,0.8888888888888888
2_bank_marketing,CatBoost,6,0.8888888888888888
2_bank_marketing,CatBoost,7,0.8888888888888888
2_bank_marketing,CatBoost,8,0.8888888888888888
2_bank_marketing,CatBoost,9,0.8888888888888888
2_bank_marketing,KNN,0,0.1111111111111111
2_bank_marketing,KNN,1,0.1111111111111111
2_bank_marketing,KNN,2,0.1111111111111111
2_bank_marketing,KNN,3,0.1111111111111111
2_bank_marketing,KNN,4,0.1111111111111111
2_bank_marketing,KNN,5,0.1111111111111111
2_bank_marketing,KNN,6,0.1111111111111111
2_bank_marketing,KNN,7,0.1111111111111111
2_bank_marketing,KNN,8,0.1111111111111111
2_bank_marketing,KNN,9,0.1111111111111111
2_bank_marketing,LightGBM,0,0.5555555555555556
2_bank_marketing,LightGBM,1,0.7777777777777778
2_bank_marketing,LightGBM,2,0.8888888888888888
2_bank_marketing,LightGBM,3,0.8888888888888888
2_bank_marketing,LightGBM,4,0.7777777777777778
2_bank_marketing,LightGBM,5,0.7777777777777778
2_bank_marketing,LightGBM,6,0.7777777777777778
2_bank_marketing,LightGBM,7,0.7777777777777778
2_bank_marketing,LightGBM,8,0.7777777777777778
2_bank_marketing,LightGBM,9,0.7777777777777778
2_bank_marketing,LogReg,0,0.3333333333333333
2_bank_marketing,LogReg,1,0.3333333333333333
2_bank_marketing,LogReg,2,0.3333333333333333
2_bank_marketing,LogReg,3,0.2222222222222222
2_bank_marketing,LogReg,4,0.3333333333333333
2_bank_marketing,LogReg,5,0.2222222222222222
2_bank_marketing,LogReg,6,0.4444444444444444
2_bank_marketing,LogReg,7,0.2222222222222222
2_bank_marketing,LogReg,8,0.2222222222222222
2_bank_marketing,LogReg,9,0.3333333333333333
2_bank_marketing,MLP,0,0.4444444444444444
2_bank_marketing,MLP,1,0.4444444444444444
2_bank_marketing,MLP,2,0.4444444444444444
2_bank_marketing,MLP,3,0.4444444444444444
2_bank_marketing,MLP,4,0.4444444444444444
2_bank_marketing,MLP,5,0.4444444444444444
2_bank_marketing,MLP,6,0.3333333333333333
2_bank_marketing,MLP,7,0.4444444444444444
2_bank_marketing,MLP,8,0.3333333333333333
2_bank_marketing,MLP,9,0.4444444444444444
2_bank_marketing,RandomForest,0,0.7777777777777778
2_bank_marketing,RandomForest,1,0.6666666666666666
2_bank_marketing,RandomForest,2,0.5555555555555556
2_bank_marketing,RandomForest,3,0.6666666666666666
2_bank_marketing,RandomForest,4,0.5555555555555556
2_bank_marketing,RandomForest,5,0.6666666666666666
2_bank_marketing,RandomForest,6,0.5555555555555556
2_bank_marketing,RandomForest,7,0.6666666666666666
2_bank_marketing,RandomForest,8,0.6666666666666666
2_bank_marketing,RandomForest,9,0.5555555555555556
2_bank_marketing,SVM,0,0.2222222222222222
2_bank_marketing,SVM,1,0.2222222222222222
2_bank_marketing,SVM,2,0.2222222222222222
2_bank_marketing,SVM,3,0.3333333333333333
2_bank_marketing,SVM,4,0.2222222222222222
2_bank_marketing,SVM,5,0.3333333333333333
2_bank_marketing,SVM,6,0.2222222222222222
2_bank_marketing,SVM,7,0.3333333333333333
2_bank_marketing,SVM,8,0.4444444444444444
2_bank_marketing,SVM,9,0.2222222222222222
2_bank_marketing,TabPFN,0,1.0
2_bank_marketing,TabPFN,1,1.0
2_bank_marketing,TabPFN,2,1.0
2_bank_marketing,TabPFN,3,1.0
2_bank_marketing,TabPFN,4,1.0
2_bank_marketing,TabPFN,5,1.0
2_bank_marketing,TabPFN,6,1.0
2_bank_marketing,TabPFN,7,1.0
2_bank_marketing,TabPFN,8,1.0
2_bank_marketing,TabPFN,9,1.0
2_bank_marketing,XGBoost,0,0.6666666666666666
2_bank_marketing,XGBoost,1,0.5555555555555556
2_bank_marketing,XGBoost,2,0.6666666666666666
2_bank_marketing,XGBoost,3,0.5555555555555556
2_bank_marketing,XGBoost,4,0.6666666666666666
2_bank_marketing,XGBoost,5,0.5555555555555556
2_bank_marketing,XGBoost,6,0.6666666666666666
2_bank_marketing,XGBoost,7,0.5555555555555556
2_bank_marketing,XGBoost,8,0.5555555555555556
2_bank_marketing,XGBoost,9,0.6666666666666666
3_credit_approval,CatBoost,0,0.7222222222222222
3_credit_approval,CatBoost,1,0.7777777777777778
3_credit_approval,CatBoost,2,0.8888888888888888
3_credit_approval,CatBoost,3,1.0
3_credit_approval,CatBoost,4,1.0
3_credit_approval,CatBoost,5,0.6666666666666666
3_credit_approval,CatBoost,6,0.8888888888888888
3_credit_approval,CatBoost,7,0.6666666666666666
3_credit_approval,CatBoost,8,0.6666666666666666
3_credit_approval,CatBoost,9,0.8333333333333334
3_credit_approval,KNN,0,0.1111111111111111
3_credit_approval,KNN,1,0.1111111111111111
3_credit_approval,KNN,2,0.1111111111111111
3_credit_approval,KNN,3,0.1111111111111111
3_credit_approval,KNN,4,0.1111111111111111
3_credit_approval,KNN,5,0.1111111111111111
3_credit_approval,KNN,6,0.1111111111111111
3_credit_approval,KNN,7,0.1111111111111111
3_credit_approval,KNN,8,0.1111111111111111
3_credit_approval,KNN,9,0.1111111111111111
3_credit_approval,LightGBM,0,0.4444444444444444
3_credit_approval,LightGBM,1,0.8888888888888888
3_credit_approval,LightGBM,2,0.5555555555555556
3_credit_approval,LightGBM,3,0.6666666666666666
3_credit_approval,LightGBM,4,0.6666666666666666
3_credit_approval,LightGBM,5,0.7777777777777778
3_credit_approval,LightGBM,6,0.4444444444444444
3_credit_approval,LightGBM,7,0.3333333333333333
3_credit_approval,LightGBM,8,0.5555555555555556
3_credit_approval,LightGBM,9,0.5555555555555556
3_credit_approval,LogReg,0,0.7222222222222222
3_credit_approval,LogReg,1,0.3333333333333333
3_credit_approval,LogReg,2,0.4444444444444444
3_credit_approval,LogReg,3,0.4444444444444444
3_credit_approval,LogReg,4,0.2222222222222222
3_credit_approval,LogReg,5,0.2222222222222222
3_credit_approval,LogReg,6,0.6666666666666666
3_credit_approval,LogReg,7,0.4444444444444444
3_credit_approval,LogReg,8,0.2222222222222222
3_credit_approval,LogReg,9,0.2222222222222222
3_credit_approval,MLP,0,0.3333333333333333
3_credit_approval,MLP,1,0.4444444444444444
3_credit_approval,MLP,2,0.6666666666666666
3_credit_approval,MLP,3,0.2222222222222222
3_credit_approval,MLP,4,0.4444444444444444
3_credit_approval,MLP,5,0.4444444444444444
3_credit_approval,MLP,6,0.7777777777777778
3_credit_approval,MLP,7,1.0
3_credit_approval,MLP,8,0.4444444444444444
3_credit_approval,MLP,9,0.4444444444444444
3_credit_approval,RandomForest,0,0.8888888888888888
3_credit_approval,RandomForest,1,0.5555555555555556
3_credit_approval,RandomForest,2,0.2222222222222222
3_credit_approval,RandomForest,3,0.8888888888888888
3_credit_approval,RandomForest,4,0.5555555555555556
3_credit_approval,RandomForest,5,0.8888888888888888
3_credit_approval,RandomForest,6,0.3333333333333333
3_credit_approval,RandomForest,7,0.5555555555555556
3_credit_approval,RandomForest,8,0.8888888888888888
3_credit_approval,RandomForest,9,0.8333333333333334
3_credit_approval,SVM,0,0.5555555555555556
3_credit_approval,SVM,1,0.2222222222222222
3_credit_approval,SVM,2,0.3333333333333333
3_credit_approval,SVM,3,0.3333333333333333
3_credit_approval,SVM,4,0.3333333333333333
3_credit_approval,SVM,5,0.3333333333333333
3_credit_approval,SVM,6,0.5555555555555556
3_credit_approval,SVM,7,0.8888888888888888
3_credit_approval,SVM,8,0.3333333333333333
3_credit_approval,SVM,9,0.8333333333333334
3_credit_approval,TabPFN,0,1.0
3_credit_approval,TabPFN,1,0.6666666666666666
3_credit_approval,TabPFN,2,1.0
3_credit_approval,TabPFN,3,0.7777777777777778
3_credit_approval,TabPFN,4,0.8888888888888888
3_credit_approval,TabPFN,5,0.5555555555555556
3_credit_approval,TabPFN,6,1.0
3_credit_approval,TabPFN,7,0.7777777777777778
3_credit_approval,TabPFN,8,0.7777777777777778
3_credit_approval,TabPFN,9,0.8333333333333334
3_credit_approval,XGBoost,0,0.2222222222222222
3_credit_approval,XGBoost,1,1.0
3_credit_approval,XGBoost,2,0.7777777777777778
3_credit_approval,XGBoost,3,0.5555555555555556
3_credit_approval,XGBoost,4,0.7777777777777778
3_credit_approval,XGBoost,5,1.0
3_credit_approval,XGBoost,6,0.2222222222222222
3_credit_approval,XGBoost,7,0.2222222222222222
3_credit_approval,XGBoost,8,1.0
3_credit_approval,XGBoost,9,0.3333333333333333
4_australian_credit,CatBoost,0,0.8888888888888888
4_australian_credit,CatBoost,1,0.4444444444444444
4_australian_credit,CatBoost,2,0.7777777777777778
4_australian_credit,CatBoost,3,1.0
4_australian_credit,CatBoost,4,0.4444444444444444
4_australian_credit,CatBoost,5,0.8888888888888888
4_australian_credit,CatBoost,6,0.8888888888888888
4_australian_credit,CatBoost,7,0.8888888888888888
4_australian_credit,CatBoost,8,1.0
4_australian_credit,CatBoost,9,0.6666666666666666
4_australian_credit,KNN,0,0.1111111111111111
4_australian_credit,KNN,1,0.1111111111111111
4_australian_credit,KNN,2,0.2222222222222222
4_australian_credit,KNN,3,0.1111111111111111
4_australian_credit,KNN,4,0.1111111111111111
4_australian_credit,KNN,5,0.1111111111111111
4_australian_credit,KNN,6,0.1111111111111111
4_australian_credit,KNN,7,0.2222222222222222
4_australian_credit,KNN,8,0.2222222222222222
4_australian_credit,KNN,9,0.1111111111111111
4_australian_credit,LightGBM,0,0.5
4_australian_credit,LightGBM,1,0.3333333333333333
4_australian_credit,LightGBM,2,0.5555555555555556
4_australian_credit,LightGBM,3,0.6666666666666666
4_australian_credit,LightGBM,4,0.7222222222222222
4_australian_credit,LightGBM,5,0.2222222222222222
4_australian_credit,LightGBM,6,0.4444444444444444
4_australian_credit,LightGBM,7,0.3333333333333333
4_australian_credit,LightGBM,8,0.5555555555555556
4_australian_credit,LightGBM,9,0.4444444444444444
4_australian_credit,LogReg,0,0.3333333333333333
4_australian_credit,LogReg,1,0.8888888888888888
4_australian_credit,LogReg,2,1.0
4_australian_credit,LogReg,3,0.4444444444444444
