"customer","reacquire","duration_2","sclv","duration_1","offer","duration_lapse","price_change","gender","age"
184,1,534,982.237327129565,426,30,24,0,1,71
185,0,0,-5,466,20,118,0,0,70
186,1,309,628.193893281414,92,25,33,-9.57,0,36
187,0,0,-5,102,20,85,33.59,1,63
188,0,0,-5,109,20,95,0,0,69
189,0,0,-5,205,25,51,0,1,73
190,1,175,522.854922733552,100,25,13,0.74,0,59
191,0,0,-5,158,20,88,1.04,0,63
192,1,631,1293.50254375561,507,25,108,-14.73,0,70
193,0,0,-5,108,25,108,-40.59,0,29
194,1,690,1451.7179239652,572,25,59,0,1,37
195,0,0,-5,193,20,94,0,0,69
196,1,950,1627.26071682481,719,30,95,0,0,36
197,1,745,1326.74630363015,525,30,131,-16.39,1,50
198,1,1233,2111.9347889059,1047,20,101,0,0,49
199,1,633,1267.11217007775,517,20,24,0,1,47
200,0,0,-5,349,20,88,14.67,0,36
201,0,0,-5,265,20,122,-14.25,1,36
202,0,0,-5,74,20,45,-13.27,1,38
203,0,0,-5,362,25,151,-10.63,0,27
204,1,374,762.272030767835,486,30,19,37.43,0,62
205,0,0,-5,230,20,118,-4.16,1,45
206,1,67,396.557045639528,72,30,60,0,0,67
207,1,940,1740.93104608759,730,30,31,-8.55,0,71
208,1,629,1097.67116906969,568,20,94,0,0,67
209,1,252,630.258667895991,308,20,108,19.01,0,39
210,0,0,-5,299,30,139,-4.1,0,73
211,1,869,1544.83254999178,648,30,64,0,0,50
212,0,0,-5,239,25,172,0,0,55
213,1,525,999.814223416755,544,20,119,17.34,0,26
214,1,353,839.619743123289,387,30,117,0,0,70
215,1,511,1007.00807612693,591,30,119,27.83,0,43
216,1,710,1309.84334282504,544,20,67,0,1,39
217,0,0,-5,316,20,75,0,0,47
218,1,815,1454.50447030945,747,25,64,21.12,0,42
219,1,484,903.435550038527,436,30,110,0,0,67
220,1,484,1021.76365328974,364,30,42,0,0,50
221,0,0,-5,356,30,97,2.68,1,34
222,1,583,1072.28466950573,670,30,61,32.46,1,56
223,1,884,1451.36154926367,812,30,178,9.23,1,56
224,1,458,981.363399878541,438,20,119,0,0,73
225,1,289,686.272009691608,158,20,65,0,0,27
226,1,722,1299.09765457309,583,30,79,0,1,46
227,0,0,-5,68,20,162,-23.73,0,56
228,0,0,-5,174,30,133,0,0,41
229,1,1292,2155.1460958815,1135,20,168,3.89,0,37
230,1,475,983.048399031618,315,20,40,-3.79,0,32
231,0,0,-5,396,20,168,22.39,1,60
232,1,1407,2379.92832745606,1003,20,46,-24.57,0,65
233,0,0,-5,248,25,96,8.1,1,25
234,1,384,785.607355086109,558,30,181,34.57,1,30
235,1,872,1613.18231601566,726,30,108,0,1,43
236,1,236,524.890107553899,268,20,96,22.09,0,29
237,1,669,1158.22052642386,336,30,104,-23.41,1,39
238,1,331,830.926115797342,281,30,123,0,0,44
239,1,702,1250.86687658138,671,25,130,8.95,0,63
240,0,0,-5,286,20,153,29.86,1,54
241,0,0,-5,165,20,103,0,0,69
242,0,0,-5,148,30,41,0,0,74
243,1,136,454.32807424043,216,30,92,14.87,0,72
244,1,439,935.817540452279,419,25,26,9.87,0,63
245,1,203,516.501546061161,121,30,65,0,0,31
246,1,836,1473.49592341119,655,30,153,-5.72,1,47
247,1,483,946.072241545057,606,20,143,32.01,0,27
248,1,433,802.405157273552,328,25,102,-3.27,0,52
249,1,740,1232.59930504378,690,25,60,21.99,1,52
250,0,0,-5,261,25,84,0,0,50
251,1,489,904.520178939776,634,20,144,29.25,0,48
252,1,883,1575.23058353546,627,30,61,0,1,26
253,1,637,1135.27852189558,602,25,145,4.58,0,59
254,1,830,1545.68476141995,445,30,84,-41.21,0,69
255,1,380,785.882627028596,552,20,76,29.24,0,64
256,1,238,682.08004008572,266,30,42,16.59,0,37
257,0,0,-5,70,20,80,-31.15,1,67
258,1,813,1361.13232682902,741,20,118,17.78,0,28
259,0,0,-5,347,25,170,0,1,45
260,1,882,1761.23366076231,656,30,47,-6.47,1,31
261,0,0,-5,431,20,135,0,1,61
262,1,616,1228.54952218159,500,30,124,5.32,1,35
263,0,0,-5,140,25,97,21.55,1,53
264,0,0,-5,157,20,45,0,0,61
265,1,337,798.450702144523,265,25,113,1.68,0,38
266,1,309,669.415756818916,396,25,104,25.04,0,37
267,1,411,852.55446457693,247,30,83,0,1,31
268,1,709,1195.31410012844,640,25,8,23.94,0,29
269,1,299,802.558434149401,307,20,62,0,0,62
270,1,846,1542.59063654226,931,25,123,35.01,1,46
271,1,347,738.895574232501,203,20,51,0,0,34
272,1,1194,2038.24041753247,979,30,100,-1.23,0,54
273,1,1043,1885.1616909672,1035,25,122,18.7,1,68
274,1,571,1157.50332696621,497,30,70,4.34,0,53
275,0,0,-5,284,25,141,14.98,0,26
276,0,0,-5,306,25,81,-14.15,1,51
277,0,0,-5,142,20,141,3.63,0,68
278,1,1426,2383.94602203716,1031,30,74,-11.28,1,33
279,1,212,556.531058067363,167,25,46,0,1,61
280,0,0,-5,210,20,155,0,0,27
281,0,0,-5,296,25,100,-23.57,1,28
282,1,608,1082.17039728207,388,20,20,0,0,33
283,0,0,-5,110,30,146,19.38,0,31
284,1,703,1187.96705745039,518,20,94,-4.17,0,51
285,1,897,1534.41441450627,789,20,99,0,0,68
286,1,1124,1955.02552502798,787,20,34,-16.2,0,43
287,1,465,874.300068872719,312,20,76,0,0,28
288,0,0,-5,451,20,96,33.56,1,36
289,1,742,1363.4249147001,621,20,44,0,0,51
290,1,651,1287.39909737321,570,25,132,-5.57,0,55
291,0,0,-5,433,20,115,3,1,60
292,1,957,1691.86614442542,804,25,59,9.17,1,41
293,1,453,969.866458457509,469,30,158,3.04,0,42
294,0,0,-5,160,20,171,2.84,0,63
295,0,0,-5,221,30,93,23.23,1,72
296,1,796,1422.15753499347,657,25,144,-10.83,1,62
297,0,0,-5,422,20,167,7.32,1,34
298,0,0,-5,284,20,56,0,1,65
299,0,0,-5,206,25,145,31.78,0,26
300,1,513,1027.05977505899,531,20,164,8.15,0,36
301,1,740,1263.13236416608,635,30,114,0,1,61
302,1,739,1488.70406170697,516,25,64,-8.94,1,27
303,0,0,-5,413,25,136,0,1,46
304,0,0,-5,79,30,110,12.2,1,35
305,0,0,-5,331,20,68,13.75,0,58
306,0,0,-5,117,25,110,8.8,0,37
307,0,0,-5,74,25,74,0,0,43
308,0,0,-5,600,30,147,0,0,71
309,1,834,1403.50294644581,646,30,41,0,0,70
310,1,702,1378.61508550145,627,30,107,2.82,1,57
311,1,790,1385.37874722481,485,20,47,-15.81,0,37
312,1,560,1051.98134985886,411,20,90,0,0,25
313,0,0,-5,252,20,152,27.66,1,59
314,0,0,-5,318,20,141,0,0,60
315,0,0,-5,218,25,111,0,0,47
316,1,331,871.405125771593,374,20,73,13.99,0,47
317,0,0,-5,263,30,190,0,0,54
318,0,0,-5,206,25,137,0,1,40
319,1,572,1098.24839481907,391,30,182,-8.24,0,36
320,0,0,-5,93,20,98,-13.78,0,42
321,1,486,987.5389403812,481,25,95,0,0,72
322,1,457,999.32021070297,547,30,54,19.18,1,71
323,0,0,-5,132,25,72,7.67,0,48
324,1,913,1593.43491559524,751,20,94,3.55,1,41
325,0,0,-5,183,25,148,0,1,48
326,1,418,871.45795328782,405,30,44,12.31,1,72
327,1,360,835.075460249337,276,30,83,-2.81,1,40
328,1,437,841.30814039019,172,25,72,-18.66,0,45
329,0,0,-5,388,25,101,24.79,0,39
330,0,0,-5,289,20,179,0,0,74
331,1,827,1480.87690051607,693,20,114,-4.78,0,52
332,0,0,-5,183,20,115,-21.15,0,30
333,0,0,-5,148,20,95,0,1,54
334,1,702,1241.59693163374,375,25,120,-27.88,0,27
335,1,637,1326.22852293515,623,25,141,0,0,65
336,0,0,-5,219,30,123,0,0,68
337,0,0,-5,180,30,108,36.8,1,75
338,0,0,-5,194,30,144,-24.47,1,26
339,1,963,1694.32927566965,881,25,148,4.47,0,53
340,0,0,-5,85,20,48,0,1,65
341,0,0,-5,163,25,104,0,0,64
342,0,0,-5,149,30,146,-29.77,0,46
343,1,1203,2018.56514889819,945,20,49,0,1,55
344,0,0,-5,242,30,149,1.48,1,62
345,1,1244,2147.98383460259,995,25,89,0,1,27
346,1,436,837.911461978465,366,20,86,4.44,0,38
347,1,572,1135.2373163582,652,20,34,32.02,0,49
348,1,404,821.094860464103,438,25,107,24.32,0,30
349,0,0,-5,298,20,137,0,1,71
350,1,769,1449.64394447803,619,30,61,0,0,55
351,1,760,1427.69393949718,637,30,107,0,1,52
352,0,0,-5,92,20,157,0,0,26
353,1,990,1758.63045329615,718,30,93,-11.97,1,51
354,1,818,1494.40852992929,521,20,74,-24.02,0,48
355,0,0,-5,176,30,105,0,0,62
356,0,0,-5,188,20,111,0,1,63
357,1,195,624.125194921177,186,30,75,0,0,56
358,1,1262,2216.70265494179,951,20,33,-10.45,0,46
359,0,0,-5,494,20,190,0,0,66
360,1,741,1301.82461217579,639,25,109,0,1,68
361,1,470,871.743301267898,427,30,144,6.55,1,58
362,0,0,-5,375,25,134,0,1,29
363,1,953,1467.16096320558,729,20,40,0,1,51
364,1,325,639.739633566736,374,20,57,24.25,0,51
365,0,0,-5,295,20,164,0,1,73
366,1,827,1438.15833518732,637,20,131,-9.18,0,42
367,1,930,1556.62424898162,758,30,69,0,1,68
368,1,369,812.924767025826,237,25,77,0,1,32
369,1,598,1119.03765174367,479,30,104,0,0,41
370,1,456,870.461526407883,207,20,51,-14.61,0,27
371,1,117,425.32017671815,204,30,83,24.03,0,27
372,0,0,-5,147,30,44,-13.09,0,70
373,0,0,-5,446,30,137,0,0,58
374,1,609,1156.26488609862,602,30,148,0,0,67
375,1,613,1132.53775109832,427,25,76,0,0,25
376,1,773,1379.77190653292,588,30,116,0,1,27
377,1,500,1071.31172664895,388,20,76,0,0,30
378,1,370,730.974767395938,203,20,79,0,1,32
379,1,429,900.712586952323,301,20,63,-10.26,0,60
380,0,0,-5,132,30,137,8.74,1,50
381,1,640,1156.26607171928,572,25,122,0,0,73
382,0,0,-5,189,20,158,11.56,1,65
383,1,439,936.653709814333,453,20,75,20.64,0,28
384,0,0,-5,138,20,90,0,0,30
385,0,0,-5,95,20,101,-39.26,0,47
386,0,0,-5,74,25,153,0,0,40
387,0,0,-5,112,30,82,0,1,48
388,0,0,-5,132,30,135,0,1,35
389,1,1155,2059.2202964718,902,20,120,-17.94,0,49
390,1,1088,1802.37367955711,852,30,137,0,1,34
391,1,557,1184.58750574887,392,25,64,0,1,29
392,0,0,-5,625,25,172,-19.57,0,56
393,0,0,-5,65,25,106,0,0,36
394,1,984,1769.66565037486,831,20,36,0,1,50
395,1,1133,1918.43860830572,851,30,114,-6.05,0,46
396,1,150,444.368388255465,90,20,47,5.2,0,29
397,1,582,1219.31689947117,426,30,175,-15.49,0,35
398,0,0,-5,103,30,115,0,1,66
399,1,1056,1911.94404764529,684,20,89,-31.43,0,34
400,1,1371,2321.27161743801,997,30,141,-18.62,1,35
401,1,489,979.116492087428,358,30,112,-12.62,1,65
402,1,713,1204.59706202681,515,20,68,0,0,38
403,0,0,-5,182,30,158,5.65,0,43
404,1,934,1596.47520762978,656,30,35,0,1,34
405,0,0,-5,98,25,176,-2.31,1,46
406,0,0,-5,254,30,140,20.13,0,68
407,1,521,972.954596195157,453,20,107,2.21,1,53
408,0,0,-5,82,30,165,-11.94,1,60
409,0,0,-5,465,30,136,9.63,0,71
410,1,1204,2106.08591219197,952,20,59,0,1,35
411,1,1195,1973.05373477208,973,25,110,3.38,1,30
412,1,742,1332.53047839755,646,30,188,-4.06,1,56
413,1,753,1318.39239729046,603,20,67,0,0,74
414,1,763,1419.70309541893,640,25,41,0,0,68
415,0,0,-5,454,20,176,-11.72,1,58
416,1,325,674.364735916792,365,25,81,6.85,0,74
417,0,0,-5,300,25,142,33.29,1,64
418,1,884,1770.66618862112,757,30,90,0,1,52
419,1,1213,2112.47368692779,871,20,172,-30.76,0,50
420,1,490,902.220706857292,341,30,60,0,1,64
421,0,0,-5,229,20,138,0,1,63
422,1,746,1373.32592034536,566,20,59,0,1,33
423,0,0,-5,281,25,88,21.92,0,56
424,1,838,1429.5378028943,728,30,125,3.58,1,61
425,0,0,-5,139,20,64,15.66,1,41
426,1,1189,2023.25025252786,872,20,17,0,1,30
427,1,334,677.563022068131,249,30,73,4.41,1,50
428,1,693,1273.28144946292,466,25,17,-7.17,0,46
429,0,0,-5,347,20,121,0,1,33
430,0,0,-5,580,20,114,-35.92,0,69
431,0,0,-5,161,25,75,-3.57,0,73
432,0,0,-5,140,30,108,0,0,74
433,1,244,630.480900424642,119,20,63,0,1,30
434,1,1041,1786.92270576951,703,30,199,-28.45,1,42
435,0,0,-5,228,20,146,0,0,49
436,1,923,1632.2412822685,691,30,136,-8.88,1,46
437,1,472,976.070448678621,478,20,43,18.18,0,42
438,0,0,-5,303,30,107,0,1,29
439,0,0,-5,355,20,59,-29.2,1,70
440,1,1166,1938.58101831331,1005,20,116,0,0,62
441,1,419,880.998578422678,457,30,76,10.79,0,62
442,0,0,-5,283,25,153,0,1,50
443,1,796,1484.66154993994,564,25,53,-14.01,0,71
444,0,0,-5,231,25,162,7.58,1,68
445,1,521,929.646379586603,404,25,119,0,0,34
446,0,0,-5,133,30,70,0,1,66
447,0,0,-5,262,30,143,0,0,64
448,0,0,-5,514,25,123,0,1,72
449,1,561,1066.87386533085,622,25,63,19.21,0,70
450,1,275,608.598082516702,181,25,13,4.12,0,41
451,0,0,-5,63,20,97,2.07,1,37
452,0,0,-5,60,25,102,0,0,68
453,0,0,-5,555,20,147,11.86,0,71
454,1,337,756.178932732993,318,20,104,8.2,1,54
455,0,0,-5,62,30,168,0,1,51
456,0,0,-5,473,20,106,0,0,74
457,0,0,-5,591,25,157,0,1,46
458,1,1122,1976.58821931351,876,20,61,-4.99,1,48
459,0,0,-5,71,20,87,0,1,30
460,0,0,-5,181,20,150,-0.54,0,44
461,0,0,-5,383,30,137,12.69,0,66
462,1,564,958.233029955934,464,20,143,5.2,1,30
463,0,0,-5,303,30,154,14.31,1,59
464,0,0,-5,102,20,117,0.32,1,47
465,1,1161,2003.25585503315,728,20,35,-33.02,1,65
466,0,0,-5,458,30,177,22.28,1,73
467,0,0,-5,589,20,192,3.35,0,42
468,0,0,-5,153,20,147,0,0,66
469,0,0,-5,181,30,91,-18.18,0,44
470,0,0,-5,179,20,63,25.92,1,31
471,0,0,-5,308,20,124,41.25,1,60
472,1,348,747.618177526443,226,25,74,0,1,42
473,1,108,370.289337966898,241,25,30,26.33,1,72
474,0,0,-5,77,30,125,16.71,1,39
475,0,0,-5,270,20,34,0,0,54
476,0,0,-5,416,30,158,-4.5,0,63
477,0,0,-5,63,25,64,16.48,1,40
478,1,703,1178.92577250664,753,20,37,34.45,1,29
479,1,308,684.059267199529,414,30,116,24.16,1,36
480,0,0,-5,128,20,125,0,0,30
481,1,1038,1993.43127671409,572,25,87,-41.76,1,32
482,1,664,1256.95017369794,520,30,64,8.32,1,30
483,0,0,-5,245,30,107,0,0,46
484,0,0,-5,321,30,161,0,0,36
485,1,978,1672.54286461434,660,30,85,-12.85,0,37
486,1,1253,2161.46807138119,980,20,164,-14.8,0,39
487,1,705,1265.41760465952,527,25,61,0,0,39
488,0,0,-5,316,20,167,22.16,1,43
489,1,775,1369.35571213509,659,20,113,-6.09,1,65
490,1,641,1269.71450218096,452,30,73,-5.57,1,31
491,1,725,1254.42087989132,650,20,68,0,0,75
492,1,655,1247.815356804,687,25,118,17.24,0,43
493,1,269,676.105935220765,147,30,43,-5.6,1,56
494,0,0,-5,202,25,96,-14.36,0,30
495,0,0,-5,83,20,152,11.67,0,59
496,1,905,1714.51921962512,722,25,62,0,1,44
497,0,0,-5,319,20,152,0,0,45
498,0,0,-5,189,20,132,2.36,1,30
499,1,709,1298.07282316755,539,20,73,0,0,34
500,0,0,-5,474,20,119,-6.03,0,54
