Date/Time,Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),LV ActivePower (kW)
01 01 2018 18:50,10.25072002,2938.394607,208.0106964,2535.353027
01 01 2018 19:00,10.46477032,3048.823833,205.7528992,2584.665039
01 01 2018 19:10,11.39078045,3393.645541,200.6542969,2960.183105
01 01 2018 19:20,11.56554031,3437.597135,198.1242981,3062.978027
01 01 2018 19:30,11.2802496,3362.668742,198.5381927,3024.39209
01 01 2018 19:40,11.33677959,3378.826271,200.4904022,3187.9729
01 01 2018 19:50,11.80463982,3488.248491,199.2469025,3387.228027
01 01 2018 20:00,11.3635397,3386.244486,199.8054962,3209.018066
01 01 2018 20:10,11.63259029,3452.881108,198.2677002,3272.665039
01 01 2018 20:20,11.44476032,3407.867876,195.6320038,3209.698975
01 01 2018 20:30,11.27190018,3360.225775,196.6611023,3134.518066
01 01 2018 20:40,11.05900955,3292.880925,196.5158997,2977.824951
01 01 2018 20:50,12.10377979,3537.173706,198.2570038,3431.772949
01 01 2018 21:00,12.92813969,3597.469467,201.5825958,3604.209961
01 01 2018 21:10,13.31941986,3600,201.9421997,3601.327881
01 01 2018 21:20,13.12152004,3600,203.5077972,3604.426025
01 01 2018 21:30,13.23544979,3600,202.6929932,3604.391113
01 01 2018 21:40,13.23589993,3600,202.9362946,3604.337891
01 01 2018 21:50,13.02956009,3600,201.2539063,3554.687988
01 01 2018 22:00,12.96393967,3597.794635,201.3408966,3479.407959
01 01 2018 22:10,12.90295029,3597.13106,200.9795074,3472.333008
01 01 2018 22:20,12.76634026,3593.704942,200.9960022,3491.510986
01 01 2018 22:30,12.89834976,3597.059449,200.5142059,3536.989014
01 01 2018 22:40,12.74211025,3592.814313,202.8952942,3528.658936
01 01 2018 22:50,12.31826019,3562.990095,202.841095,3581.540039
01 01 2018 23:00,12.41880989,3572.556143,202.4118042,3570.079102
01 01 2018 23:10,12.54298973,3582.204643,201.6253052,3597.604004
01 01 2018 23:20,12.67599964,3589.945634,199.3220978,3441.025879
01 01 2018 23:30,13.00304985,3600,197.1307068,3373.969971
01 01 2018 23:40,13.29767036,3600,196.4936066,3369.812988
01 01 2018 23:50,12.84405994,3595.984792,195.3150024,3375.903076
02 01 2018 00:00,12.70538998,3591.300461,196.0422058,3377.649902
02 01 2018 00:10,12.1833601,3547.627655,197.7438965,3374.423096
02 01 2018 00:20,12.20514011,3550.307222,196.8088074,3401.081055
02 01 2018 00:30,12.60188007,3585.959181,193.8157043,3469.412109
02 01 2018 00:40,12.84455013,3595.996394,194.3466034,3511.809082
02 01 2018 00:50,12.49705982,3578.911555,196.009201,3536.759033
02 01 2018 01:00,12.09607029,3536.105139,197.9526978,3467.808105
02 01 2018 01:10,12.19612026,3549.206917,201.330307,3460.677002
02 01 2018 01:20,12.55035019,3582.702554,201.1882019,3589.443115
02 01 2018 01:30,12.6156702,3586.762967,202.6235962,3527.718994
02 01 2018 01:40,13.10278034,3600,201.7666016,3561.26709
02 01 2018 01:50,13.68774986,3600,199.0195007,3604.068115
02 01 2018 02:00,14.10241985,3600,196.2552032,3604.176025
02 01 2018 02:10,14.39330959,3600,195.8798981,3593.200928
02 01 2018 02:20,14.07954979,3600,197.6403046,3493.821045
02 01 2018 02:30,14.05440044,3600,197.2447968,3470.701904
02 01 2018 02:40,13.51247025,3600,195.9954071,3436.610107
02 01 2018 02:50,13.71004963,3600,192.4197998,3401.455078
02 01 2018 03:00,13.7423296,3600,191.0137024,3395.23291
02 01 2018 03:10,13.14186001,3600,192.2046967,3417.503906
02 01 2018 03:20,12.86771011,3596.50506,192.771698,3465.108887
02 01 2018 03:30,12.84727001,3596.060138,192.4705048,3467.417969
02 01 2018 03:40,12.73211002,3592.421666,192.5679016,3522.406982
02 01 2018 03:50,12.51620007,3580.322941,194.9992065,3510.10791
02 01 2018 04:00,12.59866047,3585.767414,196.0422974,3513.844971
02 01 2018 04:10,13.23031998,3600,196.4087982,3564.008057
02 01 2018 04:20,13.0946703,3600,198.5249939,3475.278076
02 01 2018 04:30,12.91687965,3597.329407,198.0101013,3561.990967
02 01 2018 04:40,12.63354969,3587.762741,197.6634979,3521.554932
02 01 2018 04:50,12.82567024,3595.524457,201.1040955,3493.60791
02 01 2018 05:00,12.54162025,3582.111096,200.3634033,3555.304932
02 01 2018 05:10,12.10496998,3537.337786,196.9826965,3377.12793
02 01 2018 05:20,12.36250019,3567.394707,199.798996,3479.626953
02 01 2018 05:30,12.60391045,3586.079315,201.2702942,3539.112061
02 01 2018 05:40,12.21222019,3551.161616,198.9846039,3430.436035
02 01 2018 05:50,11.98762035,3520.011831,202.5711975,3301.917969
02 01 2018 06:00,11.67932987,3463.031603,200.7035065,3235.543945
02 01 2018 06:10,12.46971989,3576.798254,197.8733978,3519.022949
02 01 2018 06:20,12.49489975,3578.748756,201.1011047,3469.537109
02 01 2018 06:30,11.78983021,3485.417643,200.3565979,3296.186035
02 01 2018 06:40,10.90355015,3237.314957,199.4629059,3045.51001
02 01 2018 06:50,12.18807983,3548.214895,202.7460022,3444.741943
02 01 2018 07:00,11.97813034,3518.508247,199.4022064,3417.746094
02 01 2018 07:10,10.67446995,3144.977295,197.2297058,2807.613037
02 01 2018 07:20,9.69664669,2588.59196,200.3191986,2493.393066
02 01 2018 07:30,11.41759014,3400.782508,200.488205,3215.196045
02 01 2018 07:40,12.68927002,3590.573175,199.5281067,3589.590088
02 01 2018 07:50,13.05860043,3600,200.6078033,3599.149902
02 01 2018 08:00,11.52081966,3426.922472,195.8547058,3375.177002
02 01 2018 08:10,11.51231003,3424.84719,197.7467041,3346.980957
02 01 2018 08:20,12.41629982,3572.336603,199.1638031,3567.967041
02 01 2018 08:30,12.16014957,3544.686608,198.3968964,3519.264893
02 01 2018 08:40,11.67107964,3461.269666,194.6569977,3485.191895
02 01 2018 08:50,11.14585972,3321.545696,195.8325043,3145.562988
02 01 2018 09:00,10.77289963,3186.225079,193.1703949,2978.310059
02 01 2018 09:10,10.92975998,3247.07462,195.0997009,3179.008057
02 01 2018 09:20,12.14006042,3542.069502,198.2947998,3461.581055
02 01 2018 09:30,11.19556046,3337.205225,200.7570038,3082.549072
02 01 2018 09:40,12.94869041,3597.678446,204.0805969,3493.657959
02 01 2018 09:50,14.87942982,3600,197.5942993,3601.045898
02 01 2018 10:00,15.12405968,3600,196.3455963,3597.564941
02 01 2018 10:10,16.29367065,3600,196.8367004,3602.172119
02 01 2018 10:20,16.12397957,3600,192.2306061,3601.99292
02 01 2018 10:30,15.27460003,3600,190.949295,3600.791016
02 01 2018 10:40,13.56672001,3600,192.9456024,3590.75
02 01 2018 10:50,15.36779976,3600,194.7528076,3601.845947
02 01 2018 11:00,15.86174965,3600,195.0402985,3601.870117
02 01 2018 11:10,14.92051029,3600,197.9895935,3591.655029
02 01 2018 11:20,13.60853004,3600,201.4945068,3579.024902
02 01 2018 11:30,14.46385956,3600,200.4884033,3598.131104
02 01 2018 11:40,12.68828964,3590.527705,202.2259979,3525.333008
02 01 2018 11:50,13.55690002,3600,202.153595,3560.699951
02 01 2018 12:00,13.32281017,3600,203.2893982,3537.676025
02 01 2018 12:10,12.60700989,3586.261512,201.0937042,3491.291016
02 01 2018 12:20,12.31476021,3562.628404,197.5440979,3530.766113
02 01 2018 12:30,10.3801899,3006.71767,200.9197998,2915.839111
02 01 2018 12:40,9.11702919,2219.691985,201.0245056,2178.658936
02 01 2018 12:50,9.253190994,2308.322526,198.9759979,2244.412109
02 01 2018 13:00,9.072306633,2190.704763,198.2364044,1278.89502
02 01 2018 13:10,10.34463024,2988.424599,196.6472015,2832.934082
02 01 2018 13:20,11.10330963,3307.71074,200.1464996,3205.9729
02 01 2018 13:30,11.06910992,3296.300642,198.8968048,3149.284912
02 01 2018 13:40,11.32581043,3375.742901,201.1446075,3273.656006
02 01 2018 13:50,11.01513958,3277.761152,204.9272003,3114.099121
02 01 2018 14:00,10.90725994,3238.706158,204.813797,3111.060059
02 01 2018 14:10,11.76941013,3481.44923,209.778595,3361.011963
02 01 2018 14:20,11.87483025,3501.130346,209.6006012,3421.419922
02 01 2018 14:30,12.16926003,3545.851555,208.3181,3520.148926
02 01 2018 14:40,12.82061958,3595.389466,211.1817932,3589.427002
02 01 2018 14:50,12.57161999,3584.095307,209.4647064,3495.115967
02 01 2018 15:00,11.39929962,3395.929165,205.625,3298.761963
02 01 2018 15:10,10.54543018,3087.174334,200.6107025,2894.440918
02 01 2018 15:20,12.30932999,3562.063389,202.0561981,3486.628906
02 01 2018 15:30,12.1683197,3545.731948,203.7207031,3455.24707
02 01 2018 15:40,12.28707981,3559.699203,204.6085968,3556.785889
02 01 2018 15:50,12.01319027,3523.986209,201.7415009,3375.582031
02 01 2018 16:00,12.21352959,3551.318734,201.7156067,3493.979004
02 01 2018 16:10,12.93774033,3597.57459,199.9685059,3549.147949
02 01 2018 16:20,13.66942024,3600,203.870697,3483.315918
02 01 2018 16:30,13.69785976,3600,204.8023071,3589.858887
02 01 2018 16:40,12.75835991,3593.421089,202.6508026,3584.235107
02 01 2018 16:50,12.76517963,3593.664238,201.2570953,3599.008057
02 01 2018 17:00,13.07721996,3600,203.4407043,3602.637939
02 01 2018 17:10,12.59340954,3585.451317,205.1535034,3550.563965
02 01 2018 17:20,12.51366997,3580.139581,205.008194,3552.782959
02 01 2018 17:30,12.53439999,3581.613183,204.1203003,3585.010986
02 01 2018 17:40,11.96442986,3516.3102,201.9989014,3421.176025
02 01 2018 17:50,11.94577026,3513.264349,194.3786926,3406.040039
02 01 2018 18:00,12.20707989,3550.542117,189.5238037,3515.610107
02 01 2018 18:10,12.2751503,3558.399068,190.5794983,3515.965088
02 01 2018 18:20,12.72264004,3592.036307,187.6125031,3475.418945
02 01 2018 18:30,12.26537037,3557.31619,189.4371948,3471.156982
02 01 2018 18:40,11.70368958,3468.159913,192.2619019,3281.754883
02 01 2018 18:50,10.96352959,3259.412905,190.4571991,2955.11499
02 01 2018 19:00,11.29796982,3367.805139,192.8582001,3061.735107
02 01 2018 19:10,10.66594982,3141.292611,194.0843964,2679.110107
02 01 2018 19:20,10.8332901,3210.350601,195.2017975,2721.081055
02 01 2018 19:30,10.57837009,3102.339998,195.3432007,2649.136963
02 01 2018 19:40,10.38854027,3010.962279,201.797699,2707.74292
02 01 2018 19:50,10.08041954,2841.099422,204.2073975,2508.832031
02 01 2018 20:00,9.838738441,2687.688082,199.747406,2316.647949
02 01 2018 20:10,11.43999958,3406.637064,200.2402954,3081.542969
02 01 2018 20:20,11.94402981,3512.977172,201.1663971,3397.638916
02 01 2018 20:30,11.85929012,3498.353994,201.7106018,3391.716064
02 01 2018 20:40,12.81147957,3595.135782,201.3484955,3587.510986
02 01 2018 20:50,12.91353989,3597.284381,201.6768951,3603.112061
02 01 2018 21:00,12.72832012,3592.269026,202.4132996,3591.093018
02 01 2018 21:10,11.66357994,3459.656972,202.6618958,3221.044922
02 01 2018 21:20,11.0952301,3305.038612,204.061203,2887.733887
02 01 2018 21:30,10.16094971,2888.183469,203.3379059,2364.534912
02 01 2018 21:40,9.202415466,2275.211448,197.8013,1935.847046
02 01 2018 21:50,8.539284706,1852.273851,195.5061035,1549.480957
02 01 2018 22:00,8.809141159,2021.754239,187.4846039,1625.755981
02 01 2018 22:10,9.608460426,2523.60898,188.0238953,1994.222046
02 01 2018 22:20,9.844923973,2691.848533,190.6604004,2362
02 01 2018 22:30,9.338670731,2364.198743,196.7335968,2097.771973
02 01 2018 22:40,8.424916267,1781.899877,197.0158997,1564.590942
02 01 2018 22:50,7.656233788,1339.713949,188.6903992,1107.474976
02 01 2018 23:00,8.144581795,1613.847713,181.6596069,1303.116943
02 01 2018 23:10,8.54713726,1857.140175,173.5366974,1561.182007
02 01 2018 23:20,8.381804466,1755.627598,171.3834076,1544.999023
02 01 2018 23:30,7.850449085,1445.553534,179.8197937,1456.738037
02 01 2018 23:40,8.656551361,1925.374082,188.2382965,1795.644043
02 01 2018 23:50,10.92311954,3244.617174,179.039093,2773.291016
03 01 2018 00:00,10.4051199,3019.332696,176.9255981,2782.568115
03 01 2018 00:10,9.498130798,2468.761378,174.677002,2446.424072
03 01 2018 00:20,11.93025017,3510.684928,180.6725006,3412.39209
03 01 2018 00:30,11.07629013,3298.717792,183.8755035,3255.337891
03 01 2018 00:40,10.45788002,3045.466801,192.1911011,2796.876953
03 01 2018 00:50,9.791149139,2655.255241,197.104599,2467.954102
03 01 2018 01:00,7.626486778,1323.911052,202.940506,1278.886963
03 01 2018 01:10,7.287635803,1150.913828,207.3871002,1042.537964
03 01 2018 01:20,6.228209019,703.7205269,216.9989014,609.0761719
03 01 2018 01:30,4.47162199,216.0170723,222.5090942,175.4407043
03 01 2018 01:40,4.127829075,147.1041396,215.4514008,112.1109009
03 01 2018 01:50,5.032844067,344.1094784,202.5102997,271.9171143
03 01 2018 02:00,6.267045021,717.8434981,211.2003021,737.4487915
03 01 2018 02:10,7.763337135,1397.52319,193.6107025,1375.579956
03 01 2018 02:20,8.21955204,1658.119112,172.135498,1520.890015
03 01 2018 02:30,7.974888802,1515.649475,168.3569031,1349.112061
03 01 2018 02:40,6.794364929,926.0444806,171.1295013,889.1298218
03 01 2018 02:50,5.536108017,479.4472407,162.7037964,412.115509
03 01 2018 03:00,5.491714954,466.6197137,150.2816925,444.6036072
03 01 2018 03:10,6.076754093,650.187023,149.6408997,655.7307129
03 01 2018 03:20,6.69093895,882.7282325,152.2225037,882.5654297
03 01 2018 03:30,6.848011971,949.0116113,157.1643066,998.3845825
03 01 2018 03:40,7.759384155,1395.364787,152.699707,1193.395996
03 01 2018 03:50,7.417626858,1215.659509,152.076004,1122.712036
03 01 2018 04:00,7.472226143,1243.600054,154.7837982,1214.125977
03 01 2018 04:10,7.080772877,1052.768027,160.2183075,1086.307007
03 01 2018 04:20,7.053721905,1040.356847,165.8153992,1060.603027
03 01 2018 04:30,7.766314983,1399.150382,170.8444977,1451.713989
03 01 2018 04:40,7.833246231,1435.998878,173.0240936,1361.459961
03 01 2018 04:50,7.959300995,1506.776853,173.9763947,1490.569946
03 01 2018 05:00,7.283742905,1149.012424,176.7931976,1153.139038
03 01 2018 05:10,7.001252174,1016.552582,178.0930023,953.9760132
03 01 2018 05:20,6.758135796,910.7282546,174.0330048,799.0856934
03 01 2018 05:30,6.179992199,686.4114027,167.9960022,616.2548218
03 01 2018 05:40,6.301719189,730.5901706,168.8119965,646.9244995
03 01 2018 05:50,7.517776966,1267.134969,184.7017975,1323.682007
03 01 2018 06:00,8.094202995,1584.395551,194.0092926,1568.885986
03 01 2018 06:10,7.854953766,1448.061049,197.8014984,1580.902954
03 01 2018 06:20,7.719468117,1373.675076,191.2086945,1495.180054
03 01 2018 06:30,8.847901344,2046.438946,195.0639038,2063.868896
03 01 2018 06:40,9.631019592,2540.491731,198.074707,2368.76001
03 01 2018 06:50,9.767664909,2638.971731,191.838501,2516.419922
03 01 2018 07:00,9.185004234,2263.873095,190.0070038,2108.770996
03 01 2018 07:10,9.927650452,2746.29034,179.3226929,2568.111084
03 01 2018 07:20,12.03275967,3526.952507,175.9355011,3445.219971
03 01 2018 07:30,10.87308979,3225.769174,180.7583008,2994.106934
03 01 2018 07:40,10.38061047,3006.931915,177.4212036,2594.937012
03 01 2018 07:50,10.34302044,2987.588083,164.6313934,2326.825928
03 01 2018 08:00,9.283791542,2328.307526,157.3659973,1941.463989
03 01 2018 08:10,8.263951302,1684.577838,151.1777039,1581.487061
03 01 2018 08:20,7.161077023,1090.179344,144.4230042,1013.286987
03 01 2018 08:30,5.502151966,469.6191644,145.3318024,375.6176147
03 01 2018 08:40,4.645584106,253.4672425,155.7653046,198.1511993
03 01 2018 08:50,3.847867012,100.642022,162.271698,87.44045258
03 01 2018 09:00,4.553710938,233.4558636,148.0536041,189.1378021
03 01 2018 09:10,5.735952854,539.5070619,136.6712036,434.4317932
03 01 2018 09:20,5.057969093,350.3694191,139.4640045,336.5007935
03 01 2018 09:30,4.922440052,317.1718028,141.7938995,296.6101074
03 01 2018 09:40,3.821350098,96.25248176,148.5747986,92.9240036
03 01 2018 09:50,3.580841064,61.57702143,165.8957062,85.70230103
03 01 2018 10:00,4.716145039,269.2057367,187.6051941,309.5114136
03 01 2018 10:10,5.080855846,356.114453,188.4362946,381.1726074
03 01 2018 10:20,5.343267918,425.0226087,202.2389984,417.2662964
03 01 2018 10:30,5.452712059,455.4989836,201.0330963,446.343811
03 01 2018 10:40,4.29698801,180.2207304,191.4851074,206.6020966
03 01 2018 10:50,4.736260891,273.7530825,183.4333954,251.3757019
03 01 2018 11:00,4.780562878,283.8646662,187.9405975,275.0136108
03 01 2018 11:10,4.894141197,310.4131199,180.8480072,314.2744141
03 01 2018 11:20,4.487487793,219.355975,185.8578033,238.7823029
03 01 2018 11:30,5.314783096,417.2631565,180.8168945,409.0264893
03 01 2018 11:40,5.711400986,531.9193571,186.1788025,506.4703064
03 01 2018 11:50,5.374886036,433.7182755,196.3742065,427.9566956
03 01 2018 12:00,6.895505905,969.6346499,193.9367065,952.2675781
03 01 2018 12:10,7.240921021,1128.237686,187.7236023,1019.905029
03 01 2018 12:20,6.709988117,890.6123118,185.273407,1015.357971
03 01 2018 12:30,6.851963043,950.7168123,183.7971039,979.7229004
03 01 2018 12:40,5.078312874,355.4740901,185.1383972,379.4078979
03 01 2018 12:50,6.521288872,814.34348,189.263504,841.5977783
03 01 2018 13:00,6.171179771,683.2747912,189.2765045,672.6187744
03 01 2018 13:10,5.449243069,454.5165791,190.636795,452.0786133
03 01 2018 13:20,5.851128101,575.9105762,196.9326935,558.9979248
03 01 2018 13:30,5.094088078,359.454764,193.4658051,331.7192993
03 01 2018 13:40,4.598594189,243.1654974,197.9337006,212.1006927
03 01 2018 13:50,3.629702091,67.87244481,199.7156067,79.72102356
03 01 2018 14:00,4.472650051,216.232972,205.3706055,183.0128021
03 01 2018 14:10,4.918616772,316.2552558,204.3323059,279.1960144
03 01 2018 14:20,5.625835896,505.9378767,209.3771057,460.2166138
03 01 2018 14:30,6.316774845,736.1652234,211.6537018,647.7111206
03 01 2018 14:40,6.237164974,706.9630418,212.0509033,685.0780029
03 01 2018 14:50,6.449378014,786.3313199,211.607605,709.8339844
03 01 2018 15:00,5.782717228,554.1258994,212.3511047,493.3555908
03 01 2018 15:10,5.346119881,425.803377,216.8318024,366.0793152
03 01 2018 15:20,4.379333019,196.8860292,220.0410004,183.0379028
03 01 2018 15:30,3.011370897,16.3742125,238.6905975,7.347679138
03 01 2018 15:40,3.743307114,83.98626485,245.0682068,0
03 01 2018 15:50,3.24625206,28.73127208,238.0765076,12.34420013
03 01 2018 16:00,2.185888052,0,238.4102936,-0.3930675983
03 01 2018 16:10,2.142015934,0,234.7624054,0
03 01 2018 16:20,2.501405954,0,223.3088074,0
03 01 2018 16:30,2.668577909,0,226.0516968,0
03 01 2018 16:40,3.034003019,17.18059304,221.0865021,0
03 01 2018 16:50,3.197354078,25.43122108,232.6795959,0
03 01 2018 17:00,3.907810926,110.9796039,241.9730988,0
03 01 2018 17:10,3.801294088,93.00718811,221.5258942,65.98790741
03 01 2018 17:20,4.43715477,208.8146524,225.1553955,157.8495026
03 01 2018 17:30,3.677906036,74.4575207,220.4692993,50.42205048
03 01 2018 17:40,4.115369797,144.7212631,222.5281067,88.1881485
03 01 2018 17:50,4.987364769,332.9015993,220.7682037,242.3132935
03 01 2018 18:00,4.871101856,304.9535561,222.9488983,262.8019104
03 01 2018 18:10,5.921298981,598.7577677,212.7292938,584.6671143
03 01 2018 18:20,5.030583858,343.5487361,216.0464935,298.586792
03 01 2018 18:30,4.997858047,335.4735677,206.8820038,279.7724915
03 01 2018 18:40,6.434377193,780.5598676,208.842804,823.4796143
03 01 2018 18:50,6.996636868,1014.475559,212.2098999,883.265625
03 01 2018 19:00,7.625429153,1323.35127,205.5773926,1155.17395
